,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
17,1,1,1,0,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,36.0,None,None,None,None,None,None,2.0,None,distance,0.9169719169719169,ok,58.02503620414063
18,0,0,1,0,1,1,1,0,nnClassifier,tanh,None,24,None,None,invscaling,None,None,None,None,9,None,lbfgs,None,0.5164835164835165,ok,63.64653236907907
19,1,1,1,0,1,0,1,1,nnClassifier,identity,None,17,None,None,constant,None,None,None,None,2,None,sgd,None,0.5238095238095238,ok,65.51347309793346
20,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,5.0,log2,19.0,2.0,None,None,None,None,0.938949938949939,ok,66.56823447300121
21,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,7.0,log2,19.0,3.0,None,None,None,None,0.945054945054945,ok,67.79049585107714
22,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,3.0,log2,19.0,5.0,None,None,None,None,0.8986568986568987,ok,68.58523396914825
23,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,27.0,log2,19.0,3.0,None,None,None,None,0.9487179487179487,ok,69.90890809497796
24,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,37.0,log2,16.0,11.0,None,None,None,None,0.9487179487179487,ok,71.25623187306337
25,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,35.0,log2,15.0,12.0,None,None,None,None,0.9499389499389499,ok,72.31397630297579
26,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,34.0,auto,14.0,14.0,None,None,None,None,0.9474969474969475,ok,73.37670046999119
27,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,62.0,log2,15.0,13.0,None,None,None,None,0.9499389499389499,ok,74.42517059110105
28,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,68.0,log2,9.0,15.0,None,None,None,None,0.9487179487179487,ok,75.51050088903867
29,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,60.0,log2,15.0,9.0,None,None,None,None,0.9499389499389499,ok,76.56236534705386
30,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,50.0,log2,16.0,9.0,None,None,None,None,0.9474969474969475,ok,77.61524020694196
31,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,20.0,auto,13.0,19.0,None,None,None,None,0.9487179487179487,ok,78.6775133931078
32,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,99.0,sqrt,7.0,8.0,None,None,None,None,0.9438339438339438,ok,79.77781046298333
33,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,60.0,log2,17.0,18.0,None,None,None,None,0.9487179487179487,ok,80.82027370599099
