activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,28,mse,1,0,0,0,1,0,10,invscaling,89,sqrt,5,17,randomForestRegressor,2,9,sgd,uniform,0.6220767129754445
identity,brute,14,mse,1,0,0,0,1,0,35,adaptive,46,sqrt,2,15,nnRegressor,1,1,lbfgs,distance,0.6135426276432449
identity,brute,28,mse,1,0,0,0,1,0,35,adaptive,46,sqrt,2,15,nnRegressor,1,1,lbfgs,distance,0.6135426276432449
identity,brute,28,poisson,1,0,0,0,1,0,13,invscaling,17,sqrt,10,21,randomForestRegressor,6,7,adam,uniform,-0.0005751541280829553
tanh,auto,29,poisson,1,0,1,1,0,0,10,invscaling,89,sqrt,5,17,randomForestRegressor,2,9,sgd,uniform,-0.0005751541280829553
logistic,brute,26,mse,0,1,1,1,1,1,39,constant,11,auto,5,39,kneighborsRegressor,6,9,adam,uniform,0.4752911533753843
tanh,ball_tree,26,mse,0,0,1,1,1,1,39,constant,11,auto,10,39,kneighborsRegressor,6,9,adam,uniform,0.48222890512603234
logistic,ball_tree,26,mse,0,1,1,1,1,0,10,invscaling,89,sqrt,5,17,randomForestRegressor,2,9,sgd,uniform,0.4890562685919684
tanh,auto,29,mse,1,0,1,0,1,0,10,invscaling,89,sqrt,5,17,randomForestRegressor,2,9,sgd,uniform,0.6424636358676235
tanh,auto,29,mse,1,0,1,0,1,0,10,invscaling,89,sqrt,5,17,randomForestRegressor,2,9,sgd,uniform,0.6424636358676235
tanh,auto,29,mse,1,0,1,0,1,0,13,invscaling,17,sqrt,10,21,randomForestRegressor,6,3,adam,uniform,0.641809943095676
tanh,auto,29,mse,1,0,1,0,1,0,9,invscaling,17,sqrt,10,21,randomForestRegressor,6,3,adam,uniform,0.641809943095676
identity,brute,28,mse,1,0,0,0,1,0,10,invscaling,89,sqrt,5,17,randomForestRegressor,2,9,sgd,uniform,0.6220767129754445
identity,brute,28,mse,1,0,0,0,1,0,10,invscaling,89,sqrt,5,17,randomForestRegressor,2,9,sgd,uniform,0.6220767129754445
identity,brute,28,mse,1,0,0,0,1,0,10,invscaling,89,sqrt,5,17,randomForestRegressor,2,9,sgd,uniform,0.6220767129754445
identity,brute,28,mse,1,0,0,0,1,0,35,adaptive,46,sqrt,2,15,nnRegressor,1,1,lbfgs,distance,0.6135426276432449
identity,brute,28,mse,1,0,0,0,1,0,35,adaptive,46,sqrt,2,15,nnRegressor,1,1,lbfgs,distance,0.6135426276432449
identity,brute,14,mse,1,0,0,0,1,0,35,adaptive,46,sqrt,2,15,nnRegressor,1,1,lbfgs,distance,0.6135426276432449
tanh,auto,29,mse,1,0,1,0,1,0,4,invscaling,89,sqrt,2,17,randomForestRegressor,2,9,sgd,uniform,0.6414626338295343
tanh,auto,29,mse,1,0,1,0,1,0,13,invscaling,17,log2,10,21,randomForestRegressor,6,3,adam,uniform,0.641809943095676
tanh,auto,29,mse,1,0,1,0,0,0,9,invscaling,17,sqrt,10,21,randomForestRegressor,6,3,adam,uniform,0.4837207056611281
tanh,auto,29,mse,1,0,1,0,0,0,10,invscaling,89,sqrt,5,17,randomForestRegressor,2,9,sgd,uniform,0.4761964328219662
identity,brute,28,mse,1,0,0,1,1,0,10,invscaling,89,sqrt,5,17,randomForestRegressor,2,9,sgd,uniform,0.6232982991886991
identity,brute,28,mse,1,0,0,0,1,0,10,invscaling,89,sqrt,5,17,randomForestRegressor,2,9,sgd,uniform,0.6220767129754445
identity,brute,28,mae,1,0,0,0,1,0,35,adaptive,46,sqrt,2,15,nnRegressor,1,1,lbfgs,distance,0.6135426276432449
identity,brute,28,mse,1,0,0,0,1,0,35,adaptive,46,sqrt,2,15,nnRegressor,1,1,lbfgs,distance,0.6135426276432449
identity,brute,28,mse,1,0,0,0,0,0,35,adaptive,46,sqrt,2,2,nnRegressor,1,1,lbfgs,distance,0.4175240893082518
identity,brute,14,mse,1,0,0,0,1,0,10,invscaling,89,sqrt,5,17,randomForestRegressor,2,9,sgd,uniform,0.6220767129754445
