activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,44,auto,16,21,nnRegressor,3,10,adam,distance,0.5704695456304046,735.4791830140166
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,51,auto,13,19,nnRegressor,3,10,adam,distance,0.5512123573495284,735.479247052921
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,73,auto,15,19,nnRegressor,3,10,adam,distance,0.544379441093884,735.479310892988
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,50,auto,16,25,nnRegressor,3,9,adam,distance,0.4930497257718979,735.4793752320111
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,62,auto,14,23,nnRegressor,4,10,adam,distance,0.5079186129701688,735.4794391819742
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,14,auto,15,19,nnRegressor,3,10,adam,distance,0.5436311094631955,735.4795033710543
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,20,auto,18,21,nnRegressor,3,10,adam,distance,0.5467129500873231,866.2043711938895
relu,auto,15,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,47,auto,17,17,nnRegressor,4,10,adam,distance,0.5270375920607298,866.2044539039489
relu,auto,16,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,31,auto,17,19,nnRegressor,1,10,adam,distance,0.5450353285840186,866.2045196029358
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,63,auto,16,20,nnRegressor,3,10,adam,distance,0.5704695456304046,866.204584371997
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,52,auto,17,18,nnRegressor,3,10,adam,distance,0.5643626092703509,866.2046491520014
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,50,auto,18,20,nnRegressor,3,10,adam,distance,0.5667182377417421,866.204724211013
relu,auto,16,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,34,auto,15,20,nnRegressor,2,9,adam,distance,0.5366548283886711,866.2047886908986
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,22,auto,17,20,nnRegressor,1,10,adam,distance,0.5079186129701688,866.2048527300358
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,29,auto,14,20,nnRegressor,3,10,adam,distance,0.5667182377417421,866.2049165100325
