activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,26,gini,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,38,invscaling,16,log2,17,17,kneighborsClassifier,9,10,adam,uniform,0.6153846153846154
logistic,auto,14,gini,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,13,constant,17,log2,10,38,randomForestClassifier,2,5,adam,uniform,0.8852258852258852
relu,kd_tree,15,entropy,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,12,constant,25,sqrt,8,26,nnClassifier,4,7,sgd,distance,0.4884004884004884
tanh,brute,13,gini,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,26,constant,48,auto,19,34,randomForestClassifier,5,5,lbfgs,distance,0.518925518925519
identity,auto,30,entropy,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,19,adaptive,52,auto,18,34,randomForestClassifier,9,3,adam,uniform,0.5042735042735043
tanh,kd_tree,10,gini,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,5,invscaling,65,log2,8,11,nnClassifier,8,5,adam,uniform,0.5164835164835165
logistic,kd_tree,18,entropy,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,36,adaptive,34,auto,3,21,nnClassifier,7,1,lbfgs,distance,0.47619047619047616
relu,kd_tree,8,gini,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,20,invscaling,73,auto,12,20,kneighborsClassifier,4,6,sgd,uniform,0.4932844932844933
identity,auto,20,entropy,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,39,constant,51,log2,3,31,nnClassifier,7,4,lbfgs,uniform,0.5164835164835165
logistic,ball_tree,24,gini,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,14,constant,94,sqrt,18,25,nnClassifier,6,7,lbfgs,uniform,0.5128205128205128
tanh,auto,18,entropy,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,5,adaptive,89,sqrt,4,10,randomForestClassifier,6,2,lbfgs,distance,0.8803418803418803
logistic,auto,22,gini,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,2,constant,3,log2,8,33,nnClassifier,6,9,sgd,distance,0.4542124542124542
relu,auto,25,gini,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,15,invscaling,71,sqrt,16,18,nnClassifier,3,8,lbfgs,uniform,0.49572649572649574
tanh,auto,21,gini,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,37,invscaling,50,sqrt,15,7,nnClassifier,3,9,sgd,distance,0.42002442002442003
relu,ball_tree,14,gini,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,constant,26,auto,8,2,nnClassifier,7,6,lbfgs,uniform,0.48595848595848595
tanh,auto,21,entropy,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,17,invscaling,86,log2,2,25,kneighborsClassifier,1,3,sgd,uniform,0.5787545787545788
