feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,1,0,0,0,0,1,1,1,1,1,0,nnRegressor,relu,NA,31,NA,nan,constant,nan,NA,nan,nan,7,nan,lbfgs,NA,0.7703298705764542,797.7021749019623
1,1,1,0,1,1,1,1,0,1,1,0,1,1,nnRegressor,tanh,NA,32,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,0.8107033384413054,806.0344932079315
1,1,0,0,0,1,0,0,0,0,1,0,1,0,nnRegressor,logistic,NA,10,NA,nan,invscaling,nan,NA,nan,nan,3,nan,adam,NA,0.7761864377055008,837.025173664093
1,1,0,1,0,1,0,1,0,1,1,1,1,0,nnRegressor,logistic,NA,24,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,-0.0026258308645665807,840.9231643676758
1,1,1,0,1,0,1,1,1,1,1,1,1,1,nnRegressor,relu,NA,28,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,0.8125233642688838,855.5340557098389
0,0,0,0,0,1,0,1,0,1,0,0,1,0,nnRegressor,logistic,NA,27,NA,nan,adaptive,nan,NA,nan,nan,5,nan,lbfgs,NA,0.715273348678344,862.4073250293732
1,1,0,1,0,0,1,0,1,1,1,1,1,0,nnRegressor,logistic,NA,10,NA,nan,invscaling,nan,NA,nan,nan,8,nan,adam,NA,0.7995481053759992,894.3856017589569
1,1,1,1,1,1,1,0,0,1,0,1,1,0,nnRegressor,logistic,NA,29,NA,nan,constant,nan,NA,nan,nan,9,nan,lbfgs,NA,0.7903129977540144,901.2639684677124
1,0,0,1,0,0,1,0,1,1,1,0,1,1,nnRegressor,logistic,NA,12,NA,nan,adaptive,nan,NA,nan,nan,4,nan,adam,NA,0.7976299294269154,928.2173562049866
1,0,0,1,0,1,0,0,1,1,1,1,1,1,nnRegressor,tanh,NA,19,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,0.799158378535811,936.2612743377686
1,0,1,0,0,0,1,1,0,1,1,1,1,0,nnRegressor,logistic,NA,22,NA,nan,constant,nan,NA,nan,nan,4,nan,adam,NA,0.7691142105201616,953.8274254798889
1,1,0,0,1,0,0,0,0,1,0,0,1,0,nnRegressor,tanh,NA,31,NA,nan,constant,nan,NA,nan,nan,2,nan,adam,NA,0.7798898742421578,968.4736018180847
1,1,0,1,1,1,1,0,0,1,1,1,1,1,nnRegressor,logistic,NA,28,NA,nan,constant,nan,NA,nan,nan,4,nan,adam,NA,0.814983709771067,983.7874376773834
1,0,1,1,0,1,0,1,0,0,0,1,1,1,nnRegressor,tanh,NA,27,NA,nan,invscaling,nan,NA,nan,nan,8,nan,lbfgs,NA,0.7753946663198963,991.7001061439514
1,1,0,1,1,0,1,1,1,0,0,1,1,1,nnRegressor,tanh,NA,21,NA,nan,constant,nan,NA,nan,nan,6,nan,lbfgs,NA,0.8123865408439492,1000.0464117527008
1,1,0,1,1,1,0,0,0,0,0,0,1,1,nnRegressor,logistic,NA,31,NA,nan,adaptive,nan,NA,nan,nan,3,nan,sgd,NA,0.7962174048514961,1012.647833108902
1,1,0,1,0,0,0,1,1,0,1,1,1,1,nnRegressor,logistic,NA,27,NA,nan,adaptive,nan,NA,nan,nan,3,nan,lbfgs,NA,-0.002625830665980544,1016.4512934684753
1,0,0,1,0,1,0,1,1,1,1,1,1,0,nnRegressor,logistic,NA,22,NA,nan,adaptive,nan,NA,nan,nan,3,nan,adam,NA,0.7712890692628517,1034.215913772583
1,0,0,0,1,0,1,1,1,1,1,0,1,1,nnRegressor,logistic,NA,22,NA,nan,constant,nan,NA,nan,nan,8,nan,lbfgs,NA,0.7881564404629506,1041.0631618499756
1,1,0,0,0,1,0,1,1,1,0,0,1,0,nnRegressor,logistic,NA,19,NA,nan,constant,nan,NA,nan,nan,10,nan,lbfgs,NA,0.7960592054032671,1047.8940489292145
1,1,1,1,1,0,0,1,1,0,0,0,1,1,nnRegressor,logistic,NA,32,NA,nan,constant,nan,NA,nan,nan,5,nan,adam,NA,0.7896767454551185,1062.1193842887878
1,1,1,1,1,1,1,1,1,0,1,1,0,1,nnRegressor,relu,NA,20,NA,nan,adaptive,nan,NA,nan,nan,2,nan,adam,NA,0.7624511327475548,1080.222216129303
1,1,0,1,0,0,0,1,1,1,1,1,1,1,nnRegressor,tanh,NA,25,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,0.8081735549608232,1088.2950358390808
1,1,0,1,1,0,0,1,1,0,0,0,1,1,nnRegressor,logistic,NA,27,NA,nan,constant,nan,NA,nan,nan,10,nan,adam,NA,0.7938011315610132,1104.3288359642029
