feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,kneighborsClassifier,NA,auto,nan,NA,26,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9575518262586377,294.0262734889984
0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9575518262586377,298.3975393772125
0,1,0,kneighborsClassifier,NA,auto,nan,NA,4,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9575518262586377,302.824214220047
0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.9545903257650543,307.45136404037476
0,0,1,kneighborsClassifier,NA,auto,nan,NA,14,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.932872655478776,312.0939893722534
0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,9,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9575518262586377,316.5998435020447
0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,8,NA,distance,0.9545903257650543,321.07716941833496
1,0,0,kneighborsClassifier,NA,auto,nan,NA,34,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9575518262586377,325.7176477909088
1,0,0,kneighborsClassifier,NA,brute,nan,NA,33,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9575518262586377,330.8313875198364
1,0,0,kneighborsClassifier,NA,brute,nan,NA,10,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9575518262586377,335.3988335132599
1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9565646594274433,340.03072929382324
0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9575518262586377,344.7774438858032
0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9496544916090819,349.4104001522064
0,0,1,kneighborsClassifier,NA,auto,nan,NA,21,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9624876604146101,353.94931149482727
0,0,1,kneighborsClassifier,NA,brute,nan,NA,40,NA,nan,NA,nan,nan,nan,1,NA,distance,0.932872655478776,358.6503417491913
1,0,1,kneighborsClassifier,NA,auto,nan,NA,16,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9575518262586377,363.37987899780273
0,0,0,kneighborsClassifier,NA,brute,nan,NA,21,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.0,367.9916727542877
1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,1,NA,distance,0.926949654491609,372.4815034866333
1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,31,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9575518262586377,377.5133595466614
0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9575518262586377,382.1623466014862
1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,21,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9575518262586377,387.0388026237488
0,1,1,kneighborsClassifier,NA,brute,nan,NA,30,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9575518262586377,391.8157799243927
0,0,1,kneighborsClassifier,NA,auto,nan,NA,18,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9634748272458046,396.1431567668915
1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,31,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9575518262586377,400.6403524875641
0,0,1,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9575518262586377,404.98941469192505
0,1,0,kneighborsClassifier,NA,brute,nan,NA,20,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9575518262586377,409.8541898727417
1,0,1,kneighborsClassifier,NA,auto,nan,NA,7,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9565646594274433,414.3585612773895
1,0,0,kneighborsClassifier,NA,brute,nan,NA,15,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9575518262586377,418.9751777648926
1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,21,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9575518262586377,423.23715257644653
1,1,0,kneighborsClassifier,NA,brute,nan,NA,12,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9575518262586377,428.07639837265015
1,0,0,kneighborsClassifier,NA,brute,nan,NA,36,NA,nan,NA,nan,nan,nan,6,NA,distance,0.9575518262586377,432.63510179519653
0,0,1,kneighborsClassifier,NA,auto,nan,NA,30,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9427443237907206,437.03980112075806
1,0,0,kneighborsClassifier,NA,brute,nan,NA,38,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9575518262586377,441.36681389808655
1,1,1,kneighborsClassifier,NA,auto,nan,NA,30,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9575518262586377,445.9767699241638
0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,30,NA,nan,NA,nan,nan,nan,6,NA,distance,0.945705824284304,450.8296630382538
0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,8,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9605133267522211,456.0744466781616
0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,9,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9575518262586377,460.69218730926514
1,1,1,kneighborsClassifier,NA,brute,nan,NA,21,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9575518262586377,465.93326449394226
1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9575518262586377,470.08164048194885
0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9634748272458046,474.6926233768463
0,0,1,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9624876604146101,479.49683356285095
1,0,1,kneighborsClassifier,NA,auto,nan,NA,37,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9575518262586377,484.4362373352051
