feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,0,1,1,1,1,nnClassifier,logistic,NA,16,NA,nan,adaptive,nan,NA,nan,nan,7,nan,sgd,NA,0.5262515262515263,125.21716237068176
1,1,0,1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,36,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9474969474969475,129.85840511322021
0,1,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,96,log2,16,6,nan,nan,NA,NA,0.945054945054945,135.6831295490265
0,1,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,70,log2,7,35,nan,nan,NA,NA,0.9438339438339438,141.9680736064911
1,1,1,0,1,1,1,0,nnClassifier,relu,NA,8,NA,nan,invscaling,nan,NA,nan,nan,5,nan,lbfgs,NA,0.5347985347985348,149.43077635765076
1,0,1,0,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,3,NA,nan,NA,nan,nan,nan,8,NA,distance,0.9487179487179487,154.10579895973206
0,1,1,0,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,32,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9401709401709402,158.75648069381714
1,0,1,0,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,19,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9365079365079365,163.32777500152588
0,1,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,56,log2,18,40,nan,nan,NA,NA,0.9487179487179487,169.11067461967468
0,0,1,1,1,1,1,1,nnClassifier,identity,NA,18,NA,nan,constant,nan,NA,nan,nan,3,nan,sgd,NA,0.5323565323565324,175.98313355445862
1,1,0,0,0,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,10,NA,distance,0.7716727716727717,180.51068758964539
1,1,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,59,log2,11,8,nan,nan,NA,NA,0.9499389499389499,186.19114899635315
1,0,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,68,log2,10,22,nan,nan,NA,NA,0.9487179487179487,191.8803551197052
1,1,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,40,log2,12,36,nan,nan,NA,NA,0.9523809523809523,197.2818500995636
1,1,1,1,1,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,17,NA,nan,NA,nan,nan,nan,8,NA,distance,0.945054945054945,202.2090072631836
1,0,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,13,auto,18,8,nan,nan,NA,NA,0.9548229548229549,207.9628827571869
1,1,1,0,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9316239316239316,213.10448575019836
1,1,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,86,auto,9,30,nan,nan,NA,NA,0.7643467643467643,219.0750527381897
1,0,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,2,auto,4,16,nan,nan,NA,NA,0.9181929181929182,223.83352208137512
1,0,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,15,auto,10,24,nan,nan,NA,NA,0.9474969474969475,229.46144151687622
1,1,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,8,sqrt,20,13,nan,nan,NA,NA,0.9523809523809523,234.80658864974976
0,0,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,4,log2,19,35,nan,nan,NA,NA,0.9438339438339438,240.3604860305786
0,1,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,14,auto,9,6,nan,nan,NA,NA,0.9462759462759462,245.93987846374512
1,1,0,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,92,auto,14,33,nan,nan,NA,NA,0.9499389499389499,251.2920274734497
1,0,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,22,log2,9,11,nan,nan,NA,NA,0.9462759462759462,257.17068338394165
0,0,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,47,log2,15,7,nan,nan,NA,NA,0.9487179487179487,262.79414224624634
1,1,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,59,sqrt,14,8,nan,nan,NA,NA,0.9474969474969475,268.4409167766571
1,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,48,sqrt,6,36,nan,nan,NA,NA,0.9499389499389499,273.9889214038849
1,0,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,18,auto,17,35,nan,nan,NA,NA,0.9499389499389499,279.21790075302124
1,1,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,7,auto,19,21,nan,nan,NA,NA,0.9499389499389499,284.92492842674255
0,1,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,50,auto,1,14,nan,nan,NA,NA,0.945054945054945,290.8600170612335
0,0,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,6,sqrt,15,25,nan,nan,NA,NA,0.9560439560439561,296.28672337532043
1,1,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,36,auto,3,7,nan,nan,NA,NA,0.9474969474969475,301.57622933387756
1,0,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,auto,19,21,nan,nan,NA,NA,0.9474969474969475,306.9588134288788
1,1,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,25,sqrt,3,2,nan,nan,NA,NA,0.9474969474969475,312.71098589897156
1,0,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,3,log2,8,21,nan,nan,NA,NA,0.9242979242979243,318.2396402359009
0,1,0,1,1,1,1,1,nnClassifier,identity,NA,32,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,0.5286935286935287,323.24435806274414
1,0,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,21,log2,5,40,nan,nan,NA,NA,0.9499389499389499,328.8488209247589
1,1,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,log2,6,39,nan,nan,NA,NA,0.938949938949939,334.46722078323364
1,1,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,2,sqrt,11,5,nan,nan,NA,NA,0.9145299145299145,339.5268290042877
1,0,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,6,log2,10,2,nan,nan,NA,NA,0.9474969474969475,345.63571524620056
0,1,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,98,sqrt,14,25,nan,nan,NA,NA,0.9511599511599511,351.6010596752167
0,1,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,6,sqrt,15,37,nan,nan,NA,NA,0.9474969474969475,357.06080055236816
1,0,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,6,auto,14,15,nan,nan,NA,NA,0.9474969474969475,362.670706987381
0,1,0,1,1,0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.7362637362637363,367.60681772232056
0,0,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,89,sqrt,16,31,nan,nan,NA,NA,0.9462759462759462,373.7738480567932
0,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,46,log2,11,29,nan,nan,NA,NA,0.9584859584859585,379.79243087768555
1,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,5,sqrt,10,5,nan,nan,NA,NA,0.9352869352869353,385.77412509918213
1,0,0,0,0,0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,21,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.4981684981684982,390.4987783432007
0,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,48,log2,2,23,nan,nan,NA,NA,0.9560439560439561,396.76439905166626
1,0,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,log2,15,26,nan,nan,NA,NA,0.9328449328449329,402.02381467819214
1,0,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,auto,20,21,nan,nan,NA,NA,0.78998778998779,408.62365221977234
1,0,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,12,log2,18,38,nan,nan,NA,NA,0.9536019536019537,414.2357211112976
0,0,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,68,log2,12,7,nan,nan,NA,NA,0.9560439560439561,420.96218514442444
0,0,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,19,sqrt,3,22,nan,nan,NA,NA,0.9560439560439561,426.778183221817
0,1,0,0,0,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,1,NA,distance,0.6959706959706959,431.4505817890167
0,0,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,82,log2,5,39,nan,nan,NA,NA,0.9548229548229549,437.2701234817505
0,0,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,33,auto,9,13,nan,nan,NA,NA,0.9560439560439561,443.32355856895447
1,0,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,65,auto,12,13,nan,nan,NA,NA,0.9499389499389499,449.88797402381897
0,1,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,56,auto,1,36,nan,nan,NA,NA,0.9511599511599511,456.45980525016785
0,0,0,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,auto,12,4,nan,nan,NA,NA,0.9474969474969475,461.9363853931427
1,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,68,sqrt,3,37,nan,nan,NA,NA,0.9548229548229549,468.63740491867065
0,0,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,72,log2,4,31,nan,nan,NA,NA,0.9536019536019537,474.309219121933
1,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,6,log2,15,21,nan,nan,NA,NA,0.9523809523809523,479.89046001434326
0,1,1,0,1,1,0,0,kneighborsClassifier,NA,auto,nan,NA,2,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9438339438339438,484.7437229156494
0,1,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,18,log2,11,31,nan,nan,NA,NA,0.9523809523809523,490.6017074584961
0,1,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,1,sqrt,20,17,nan,nan,NA,NA,0.9462759462759462,496.00893545150757
1,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,96,log2,17,27,nan,nan,NA,NA,0.9523809523809523,501.38944268226624
0,0,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,1,sqrt,15,15,nan,nan,NA,NA,0.9426129426129426,506.66528964042664
1,1,1,0,0,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.5274725274725275,510.9813799858093
0,1,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,10,auto,14,28,nan,nan,NA,NA,0.9548229548229549,516.1273410320282
0,1,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,log2,20,31,nan,nan,NA,NA,0.9499389499389499,522.0891098976135
0,0,1,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,32,sqrt,8,29,nan,nan,NA,NA,0.5470085470085471,527.9723961353302
0,0,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,44,auto,13,23,nan,nan,NA,NA,0.9523809523809523,533.1143054962158
1,1,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,46,sqrt,10,40,nan,nan,NA,NA,0.9523809523809523,538.6223788261414
1,0,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,96,auto,3,30,nan,nan,NA,NA,0.9536019536019537,543.7454783916473
1,0,0,0,0,1,0,0,nnClassifier,tanh,NA,32,NA,nan,adaptive,nan,NA,nan,nan,7,nan,sgd,NA,0.5482295482295483,560.6333374977112
0,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,38,auto,20,9,nan,nan,NA,NA,0.9536019536019537,565.9728310108185
0,0,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,72,log2,6,2,nan,nan,NA,NA,0.9584859584859585,571.5508182048798
