activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,25,gini,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,27,adaptive,1,log2,16,24,nnClassifier,10,7,sgd,distance,0.4805429864253394
tanh,ball_tree,24,entropy,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,27,invscaling,42,log2,14,3,kneighborsClassifier,10,6,adam,uniform,0.8624434389140272
relu,kd_tree,29,entropy,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,7,constant,54,sqrt,16,4,kneighborsClassifier,7,4,adam,uniform,0.8570135746606334
relu,kd_tree,13,entropy,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,14,constant,64,auto,2,15,nnClassifier,2,6,lbfgs,distance,0.5339366515837104
identity,kd_tree,18,gini,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,35,adaptive,89,log2,13,16,randomForestClassifier,4,4,adam,distance,0.8995475113122172
tanh,kd_tree,22,entropy,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,10,constant,80,auto,5,10,kneighborsClassifier,8,3,sgd,distance,0.702262443438914
logistic,kd_tree,26,entropy,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,28,adaptive,78,auto,12,39,nnClassifier,7,4,adam,uniform,0.497737556561086
logistic,auto,27,entropy,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,15,constant,74,log2,8,3,kneighborsClassifier,3,1,adam,distance,0.9438914027149321
relu,auto,25,gini,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,38,adaptive,76,auto,15,20,randomForestClassifier,2,6,sgd,distance,0.8588235294117647
relu,kd_tree,15,gini,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,8,invscaling,38,sqrt,11,24,randomForestClassifier,6,4,adam,distance,0.8687782805429864
