feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,2,auto,15,35,nan,nan,NA,NA,0.8131868131868132,669.6160998344421
0,1,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,13,sqrt,10,25,nan,nan,NA,NA,0.8412698412698413,675.5608785152435
0,1,1,0,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,2,auto,4,28,nan,nan,NA,NA,0.8058608058608059,679.8501658439636
0,1,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,77,auto,14,6,nan,nan,NA,NA,0.8351648351648352,684.9314050674438
1,1,1,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,2,auto,3,28,nan,nan,NA,NA,0.8058608058608059,689.2471916675568
0,0,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,33,sqrt,20,8,nan,nan,NA,NA,0.6788766788766789,694.3764250278473
0,1,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,77,auto,2,38,nan,nan,NA,NA,0.8437118437118437,699.4827921390533
1,1,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,1,auto,15,8,nan,nan,NA,NA,0.8376068376068376,704.4768090248108
0,1,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,1,sqrt,7,37,nan,nan,NA,NA,0.8412698412698413,709.6103410720825
1,1,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,1,log2,13,22,nan,nan,NA,NA,0.8376068376068376,715.3561818599701
0,1,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,sqrt,8,40,nan,nan,NA,NA,0.8424908424908425,721.1473355293274
1,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,1,sqrt,2,29,nan,nan,NA,NA,0.8376068376068376,727.2030141353607
1,1,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,99,auto,1,26,nan,nan,NA,NA,0.8400488400488401,733.2258112430573
1,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,3,auto,15,22,nan,nan,NA,NA,0.8266178266178266,737.7695581912994
0,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,5,log2,3,17,nan,nan,NA,NA,0.8278388278388278,742.6811451911926
