feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,0,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8933463796477495,412.025226354599
1,1,0,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,3,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9001956947162426,416.9199664592743
1,1,0,0,0,0,1,kneighborsClassifier,NA,brute,nan,NA,37,NA,nan,NA,nan,nan,nan,3,NA,distance,0.7172211350293543,421.8420374393463
0,0,0,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8904109589041096,426.33830308914185
1,0,1,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9178082191780822,431.3279507160187
0,0,1,0,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8796477495107632,435.775648355484
1,0,1,0,1,0,1,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9060665362035225,440.56378698349
0,0,0,0,0,1,1,kneighborsClassifier,NA,auto,nan,NA,2,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8483365949119374,445.3287708759308
0,0,1,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,38,NA,nan,NA,nan,nan,nan,2,NA,distance,0.913894324853229,450.43601298332214
0,1,1,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9050880626223092,454.9556682109833
1,1,1,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9168297455968689,459.6490182876587
1,0,0,0,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8972602739726028,464.45689249038696
0,1,1,0,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8277886497064579,469.458295583725
1,0,0,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8972602739726028,473.90501499176025
1,0,0,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,3,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8943248532289628,479.0701353549957
0,1,0,1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,3,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8649706457925636,483.82651138305664
1,0,1,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,4,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9168297455968689,488.5052680969238
0,1,1,0,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8972602739726028,493.56350207328796
1,0,0,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,1,NA,distance,0.898238747553816,498.1477038860321
1,0,0,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8874755381604696,502.9260129928589
0,0,1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9148727984344422,507.84498500823975
0,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,57,sqrt,6,20,nan,nan,NA,NA,0.6643835616438356,513.7005562782288
0,0,0,0,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8542074363992173,518.4095957279205
1,0,1,0,0,1,1,kneighborsClassifier,NA,brute,nan,NA,7,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8904109589041096,523.2981700897217
