feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,1,1,0,nnClassifier,logistic,NA,8,NA,nan,invscaling,nan,NA,nan,nan,10,nan,adam,NA,1.0,214.94729375839233
0,0,1,0,0,1,nnClassifier,relu,NA,29,NA,nan,adaptive,nan,NA,nan,nan,10,nan,sgd,NA,1.0,229.207585811615
0,0,1,0,0,0,nnClassifier,relu,NA,21,NA,nan,adaptive,nan,NA,nan,nan,4,nan,lbfgs,NA,1.0,234.04770183563232
1,1,0,0,0,0,nnClassifier,relu,NA,29,NA,nan,invscaling,nan,NA,nan,nan,1,nan,adam,NA,1.0,246.127858877182
0,1,1,0,0,0,nnClassifier,tanh,NA,12,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,1.0,251.12566876411438
1,1,1,1,1,0,nnClassifier,identity,NA,14,NA,nan,adaptive,nan,NA,nan,nan,9,nan,adam,NA,1.0,259.2353060245514
0,1,0,0,0,1,nnClassifier,relu,NA,20,NA,nan,adaptive,nan,NA,nan,nan,10,nan,lbfgs,NA,1.0,264.40690422058105
0,0,0,1,1,0,nnClassifier,identity,NA,28,NA,nan,constant,nan,NA,nan,nan,6,nan,lbfgs,NA,1.0,269.18506050109863
1,0,1,0,0,0,nnClassifier,logistic,NA,16,NA,nan,invscaling,nan,NA,nan,nan,10,nan,adam,NA,1.0,278.5977394580841
1,0,0,1,0,1,nnClassifier,relu,NA,18,NA,nan,adaptive,nan,NA,nan,nan,5,nan,sgd,NA,1.0,297.3824670314789
1,1,1,0,1,1,nnClassifier,relu,NA,11,NA,nan,invscaling,nan,NA,nan,nan,6,nan,adam,NA,1.0,306.189715385437
1,1,1,1,0,0,nnClassifier,identity,NA,11,NA,nan,adaptive,nan,NA,nan,nan,6,nan,adam,NA,1.0,314.63481760025024
