,feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
47,0,1,1,randomForestClassifier,None,None,None,gini,None,None,52.0,log2,18.0,25.0,None,None,None,None,0.947198275862069,ok,84.3096982371062
48,0,1,1,randomForestClassifier,None,None,None,gini,None,None,8.0,log2,15.0,31.0,None,None,None,None,0.947198275862069,ok,85.05588010605425
49,0,1,1,nnClassifier,logistic,None,13.0,None,None,invscaling,None,None,None,None,3.0,None,adam,None,0.9353448275862069,ok,95.37027581012808
50,1,0,0,kneighborsClassifier,None,ball_tree,None,None,6,None,None,None,None,None,None,5,None,uniform,0.947198275862069,ok,95.425024199998
51,0,1,1,randomForestClassifier,None,None,None,gini,None,None,33.0,sqrt,19.0,24.0,None,None,None,None,0.947198275862069,ok,96.27281675999984
52,0,1,1,randomForestClassifier,None,None,None,gini,None,None,62.0,sqrt,12.0,30.0,None,None,None,None,0.947198275862069,ok,97.14752253307961
53,0,1,1,randomForestClassifier,None,None,None,gini,None,None,32.0,sqrt,20.0,24.0,None,None,None,None,0.947198275862069,ok,97.98970343498513
54,0,1,1,nnClassifier,tanh,None,27.0,None,None,constant,None,None,None,None,8.0,None,adam,None,0.9353448275862069,ok,103.01298630400561
55,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,1.0,log2,10.0,36.0,None,None,None,None,0.947198275862069,ok,104.22801049007103
56,0,1,1,randomForestClassifier,None,None,None,gini,None,None,44.0,sqrt,19.0,27.0,None,None,None,None,0.947198275862069,ok,105.0727655349765
57,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,55.0,log2,2.0,36.0,None,None,None,None,0.947198275862069,ok,106.43682534410618
58,0,1,1,nnClassifier,identity,None,25.0,None,None,adaptive,None,None,None,None,8.0,None,sgd,None,0.9256465517241379,ok,114.45082139014266
59,1,0,0,kneighborsClassifier,None,ball_tree,None,None,18,None,None,None,None,None,None,1,None,uniform,0.8987068965517241,ok,114.50417640409432
60,1,0,0,kneighborsClassifier,None,ball_tree,None,None,40,None,None,None,None,None,None,3,None,uniform,0.9428879310344828,ok,114.55823499616235
