activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,17,gini,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,23,adaptive,83,auto,9,37,randomForestClassifier,8,2,adam,distance,0.9010989010989011
identity,ball_tree,18,entropy,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,30,invscaling,95,log2,19,23,nnClassifier,1,5,lbfgs,uniform,0.0018315018315018315
logistic,brute,8,entropy,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,34,constant,72,auto,6,5,nnClassifier,7,6,adam,distance,0.29120879120879123
relu,brute,9,gini,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,8,invscaling,44,sqrt,2,10,randomForestClassifier,9,7,adam,uniform,0.9157509157509157
logistic,kd_tree,18,gini,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,37,adaptive,89,sqrt,20,5,nnClassifier,6,10,lbfgs,distance,0.27289377289377287
identity,brute,10,gini,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,2,adaptive,14,sqrt,20,17,randomForestClassifier,5,5,sgd,uniform,0.9487179487179487
tanh,ball_tree,9,entropy,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,3,constant,98,sqrt,6,4,nnClassifier,4,9,adam,distance,0.326007326007326
relu,ball_tree,21,gini,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,13,invscaling,46,auto,16,3,kneighborsClassifier,10,8,sgd,distance,0.8772893772893773
identity,brute,10,entropy,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,33,invscaling,89,auto,20,21,nnClassifier,7,7,adam,uniform,0.21428571428571427
identity,brute,27,gini,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,10,adaptive,26,log2,18,7,randomForestClassifier,9,3,lbfgs,distance,0.9139194139194139
relu,brute,21,entropy,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,30,adaptive,60,auto,14,33,nnClassifier,8,4,lbfgs,distance,0.315018315018315
tanh,brute,27,entropy,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,37,adaptive,35,auto,14,19,kneighborsClassifier,4,4,lbfgs,uniform,0.8388278388278388
relu,kd_tree,24,gini,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,38,adaptive,62,auto,10,5,kneighborsClassifier,2,6,sgd,uniform,0.8791208791208791
relu,brute,24,entropy,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,37,invscaling,63,log2,3,29,randomForestClassifier,10,2,sgd,distance,0.8992673992673993
logistic,auto,18,gini,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,35,constant,48,auto,15,6,nnClassifier,9,4,lbfgs,distance,0.3058608058608059
relu,brute,10,gini,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,31,adaptive,88,log2,2,13,randomForestClassifier,10,8,adam,uniform,0.9761904761904762
tanh,ball_tree,10,entropy,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,27,constant,46,sqrt,20,10,kneighborsClassifier,4,4,adam,distance,0.9047619047619048
tanh,brute,15,entropy,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,12,constant,72,sqrt,10,35,kneighborsClassifier,7,9,adam,distance,0.8168498168498168
logistic,kd_tree,23,entropy,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,25,adaptive,9,auto,13,17,nnClassifier,3,1,sgd,uniform,0.21794871794871795
tanh,auto,15,gini,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,11,adaptive,83,sqrt,14,8,kneighborsClassifier,2,9,lbfgs,uniform,0.836996336996337
tanh,auto,29,entropy,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,2,adaptive,73,auto,16,38,randomForestClassifier,7,9,adam,uniform,0.8882783882783882
relu,kd_tree,10,gini,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,4,adaptive,84,auto,15,25,kneighborsClassifier,2,3,sgd,distance,0.8406593406593407
relu,brute,25,gini,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,23,invscaling,13,auto,11,13,nnClassifier,2,6,adam,distance,0.30036630036630035
relu,auto,12,entropy,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,39,constant,63,log2,4,26,randomForestClassifier,8,10,sgd,uniform,0.9340659340659341
tanh,brute,29,entropy,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,22,constant,85,log2,13,6,nnClassifier,9,8,adam,distance,0.29120879120879123
relu,ball_tree,25,entropy,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,33,invscaling,7,sqrt,15,18,randomForestClassifier,1,5,sgd,uniform,0.945054945054945
identity,auto,25,entropy,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,11,invscaling,13,log2,8,33,randomForestClassifier,2,8,sgd,uniform,0.9120879120879121
identity,auto,31,entropy,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,10,adaptive,81,sqrt,2,30,kneighborsClassifier,7,9,sgd,distance,0.8296703296703297
relu,kd_tree,9,entropy,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,3,invscaling,92,auto,13,13,nnClassifier,1,1,lbfgs,distance,0.3516483516483517
relu,ball_tree,24,entropy,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,6,constant,96,log2,7,24,kneighborsClassifier,9,7,adam,distance,0.9047619047619048
identity,auto,26,gini,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,25,invscaling,66,auto,8,5,nnClassifier,1,6,sgd,uniform,0.0018315018315018315
relu,kd_tree,10,gini,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,24,constant,22,auto,5,32,nnClassifier,3,2,lbfgs,uniform,0.3021978021978022
tanh,kd_tree,24,entropy,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,22,constant,14,auto,5,15,nnClassifier,5,9,sgd,uniform,0.30952380952380953
identity,ball_tree,11,entropy,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,36,adaptive,75,sqrt,6,19,nnClassifier,7,9,adam,uniform,0.3058608058608059
relu,ball_tree,8,gini,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,36,invscaling,60,log2,16,25,kneighborsClassifier,9,1,adam,distance,0.8846153846153846
tanh,brute,27,entropy,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,37,adaptive,100,sqrt,5,24,kneighborsClassifier,3,4,lbfgs,uniform,0.8223443223443223
tanh,ball_tree,30,gini,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,26,adaptive,5,auto,20,34,nnClassifier,9,8,adam,uniform,0.2802197802197802
tanh,ball_tree,9,entropy,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,6,invscaling,74,log2,14,31,nnClassifier,2,10,adam,distance,0.24725274725274726
relu,brute,25,entropy,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,19,constant,55,auto,2,8,nnClassifier,10,2,lbfgs,distance,0.30952380952380953
identity,ball_tree,16,gini,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,6,invscaling,10,auto,19,24,randomForestClassifier,7,3,sgd,distance,0.978021978021978
relu,auto,29,entropy,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,39,invscaling,14,auto,7,17,randomForestClassifier,4,7,sgd,uniform,0.8992673992673993
tanh,brute,25,gini,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,8,adaptive,29,auto,8,39,kneighborsClassifier,3,10,adam,distance,0.8388278388278388
identity,brute,16,gini,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,15,invscaling,34,auto,13,16,randomForestClassifier,1,1,sgd,distance,0.9102564102564102
identity,kd_tree,31,entropy,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,19,constant,58,auto,7,36,nnClassifier,8,8,sgd,distance,0.25457875457875456
tanh,ball_tree,19,entropy,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,38,constant,28,sqrt,19,23,kneighborsClassifier,2,5,sgd,uniform,0.8644688644688645
relu,kd_tree,24,gini,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,18,constant,79,sqrt,8,15,kneighborsClassifier,4,1,lbfgs,uniform,0.8974358974358975
logistic,kd_tree,13,gini,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,18,constant,58,sqrt,10,2,randomForestClassifier,9,9,lbfgs,uniform,0.9688644688644689
tanh,auto,16,entropy,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,6,constant,33,auto,17,17,nnClassifier,4,3,lbfgs,distance,0.31135531135531136
logistic,kd_tree,23,gini,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,23,constant,54,log2,2,34,randomForestClassifier,10,5,sgd,distance,0.9743589743589743
logistic,auto,8,entropy,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,27,invscaling,32,log2,7,17,kneighborsClassifier,8,6,adam,uniform,0.8205128205128205
tanh,auto,24,entropy,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,6,adaptive,52,auto,5,10,randomForestClassifier,7,5,sgd,distance,0.9230769230769231
logistic,brute,23,gini,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,11,invscaling,11,log2,16,38,nnClassifier,4,7,sgd,distance,0.0
logistic,ball_tree,30,gini,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,33,adaptive,32,auto,7,7,nnClassifier,8,7,sgd,distance,0.3058608058608059
logistic,kd_tree,20,entropy,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,33,constant,61,auto,9,26,kneighborsClassifier,3,4,sgd,uniform,0.8608058608058609
identity,kd_tree,31,entropy,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,21,invscaling,97,log2,12,13,randomForestClassifier,5,1,lbfgs,distance,0.9194139194139194
identity,ball_tree,23,entropy,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,18,adaptive,3,sqrt,4,18,randomForestClassifier,2,4,lbfgs,distance,0.8827838827838828
relu,auto,20,gini,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,38,adaptive,75,auto,19,27,kneighborsClassifier,7,5,lbfgs,uniform,0.9010989010989011
logistic,ball_tree,11,entropy,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,15,constant,10,log2,3,14,kneighborsClassifier,10,9,lbfgs,distance,0.9358974358974359
logistic,ball_tree,20,entropy,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,15,constant,25,auto,19,28,nnClassifier,6,1,sgd,uniform,0.22527472527472528
logistic,ball_tree,15,gini,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,36,invscaling,6,log2,8,4,kneighborsClassifier,1,9,adam,distance,0.8644688644688645
tanh,kd_tree,17,entropy,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,7,invscaling,55,sqrt,9,22,kneighborsClassifier,10,2,sgd,distance,0.8589743589743589
identity,auto,11,entropy,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,29,constant,46,auto,15,13,nnClassifier,9,2,lbfgs,distance,0.28205128205128205
relu,kd_tree,20,entropy,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,26,constant,19,log2,5,13,randomForestClassifier,10,3,adam,distance,0.9322344322344323
