feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.8333333333333334,430.06130957603455
0,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8555555555555555,434.6065411567688
1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8703703703703703,439.9228687286377
0,1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,4,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8333333333333334,444.4775128364563
0,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,25,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.825925925925926,449.074378490448
0,0,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8555555555555555,453.72922468185425
0,0,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.7185185185185186,458.3778200149536
1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,16,auto,13,13,nan,nan,NA,NA,0.8722222222222222,464.1339704990387
1,1,0,0,1,kneighborsClassifier,NA,auto,nan,NA,20,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8629629629629629,468.6822395324707
1,0,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.8555555555555555,473.9754958152771
1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9111111111111111,478.06667256355286
1,1,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8629629629629629,483.20590019226074
1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,4,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8851851851851852,487.54996943473816
