,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
60,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,nnClassifier,logistic,None,29,None,None,adaptive,None,None,None,None,5,None,adam,None,0.98828125,ok,249.94729290297255
61,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,47.0,log2,5.0,30.0,None,None,None,None,0.650390625,ok,252.51244112011045
62,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,nnClassifier,identity,None,27,None,None,invscaling,None,None,None,None,10,None,lbfgs,None,0.986328125,ok,252.7022372360807
63,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,nnClassifier,relu,None,17,None,None,invscaling,None,None,None,None,1,None,sgd,None,0.99609375,ok,257.05675900005735
64,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,nnClassifier,logistic,None,27,None,None,invscaling,None,None,None,None,6,None,adam,None,0.99609375,ok,260.0506228711456
65,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,nnClassifier,relu,None,25,None,None,invscaling,None,None,None,None,4,None,sgd,None,0.99609375,ok,269.39967277203687
66,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,nnClassifier,tanh,None,23,None,None,invscaling,None,None,None,None,3,None,sgd,None,0.99609375,ok,280.18980114208534
67,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,nnClassifier,relu,None,26,None,None,invscaling,None,None,None,None,4,None,sgd,None,0.99609375,ok,289.3102197209373
68,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,relu,None,12,None,None,invscaling,None,None,None,None,8,None,sgd,None,0.99609375,ok,294.5446071429178
69,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,relu,None,31,None,None,invscaling,None,None,None,None,8,None,sgd,None,0.99609375,ok,302.671456040116
70,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,logistic,None,19,None,None,constant,None,None,None,None,7,None,sgd,None,0.99609375,ok,304.93009428703226
71,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,tanh,None,23,None,None,constant,None,None,None,None,9,None,sgd,None,0.986328125,ok,313.92363427812234
72,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,logistic,None,21,None,None,constant,None,None,None,None,7,None,sgd,None,0.99609375,ok,316.23399703903124
73,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,identity,None,18,None,None,constant,None,None,None,None,8,None,sgd,None,0.986328125,ok,321.5336259899195
74,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,tanh,None,22,None,None,constant,None,None,None,None,9,None,sgd,None,0.986328125,ok,328.05090994993225
75,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,kneighborsClassifier,None,brute,None,None,7.0,None,None,None,None,None,None,9.0,None,distance,0.005859375,ok,328.1447066341061
76,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,88.0,sqrt,13.0,25.0,None,None,None,None,0.40625,ok,335.68937010713853
