,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
62,0,1,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,23.0,sqrt,14.0,19.0,None,None,None,None,0.46477495107632094,ok,268.68558299401775
63,0,0,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,12.0,None,None,None,None,None,None,2.0,None,uniform,0.7045009784735812,ok,268.76327313599177
64,0,1,1,1,1,1,1,nnClassifier,tanh,None,31,None,None,adaptive,None,None,None,None,1,None,sgd,None,0.004892367906066536,ok,286.02725224290043
65,1,1,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,20.0,None,None,None,None,None,None,5.0,None,distance,0.8786692759295499,ok,286.1677906550467
66,0,1,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,18.0,None,None,None,None,None,None,7.0,None,distance,0.8816046966731899,ok,286.22485190606676
67,0,1,1,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,5.0,None,None,None,None,None,None,4.0,None,distance,0.8835616438356164,ok,286.2914226579014
68,0,1,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,3.0,None,None,None,None,None,None,3.0,None,distance,0.8825831702544031,ok,286.35257541690953
69,1,1,0,1,1,1,1,kneighborsClassifier,None,brute,None,None,24.0,None,None,None,None,None,None,9.0,None,distance,0.8845401174168297,ok,286.5340492678806
70,1,1,0,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,35.0,None,None,None,None,None,None,4.0,None,distance,0.8816046966731899,ok,286.60081745591015
71,0,1,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,27.0,None,None,None,None,None,None,8.0,None,uniform,0.576320939334638,ok,286.80814985604957
72,1,1,0,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,15.0,None,None,None,None,None,None,5.0,None,distance,0.8776908023483366,ok,286.86443336098455
73,0,1,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,19.0,None,None,None,None,None,None,2.0,None,distance,0.8904109589041096,ok,286.91748988395557
74,1,1,0,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,30.0,None,None,None,None,None,None,2.0,None,uniform,0.7025440313111546,ok,287.00106356292963
75,0,1,1,1,0,1,1,kneighborsClassifier,None,auto,None,None,15.0,None,None,None,None,None,None,1.0,None,distance,0.8718199608610567,ok,287.0550422698725
76,0,1,1,0,1,1,1,kneighborsClassifier,None,auto,None,None,13.0,None,None,None,None,None,None,1.0,None,distance,0.8796477495107632,ok,287.1063674038742
77,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,44.0,log2,2.0,24.0,None,None,None,None,0.684931506849315,ok,288.5880294898525
78,0,1,1,1,1,1,0,kneighborsClassifier,None,auto,None,None,11.0,None,None,None,None,None,None,2.0,None,distance,0.7671232876712328,ok,288.64325257507153
79,0,1,1,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,22.0,None,None,None,None,None,None,6.0,None,uniform,0.6007827788649707,ok,288.7222716140095
80,0,0,1,1,0,1,1,nnClassifier,logistic,None,16,None,None,invscaling,None,None,None,None,7,None,lbfgs,None,0.025440313111545987,ok,294.78023690590635
81,0,1,1,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,16.0,None,None,None,None,None,None,4.0,None,distance,0.8767123287671232,ok,294.844253184041
82,0,1,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,25.0,None,None,None,None,None,None,7.0,None,distance,0.8816046966731899,ok,294.90343492804095
83,1,1,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,2.0,auto,9.0,14.0,None,None,None,None,0.2945205479452055,ok,295.3776567040477
84,1,0,0,1,1,1,1,kneighborsClassifier,None,brute,None,None,21.0,None,None,None,None,None,None,9.0,None,distance,0.8747553816046967,ok,295.56382861197926
85,0,1,1,1,0,1,1,kneighborsClassifier,None,auto,None,None,4.0,None,None,None,None,None,None,3.0,None,distance,0.8708414872798435,ok,295.62364878389053
86,0,1,1,0,1,1,1,nnClassifier,identity,None,18,None,None,constant,None,None,None,None,6,None,adam,None,0.011741682974559686,ok,308.3716840369161
87,1,1,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,29.0,None,None,None,None,None,None,2.0,None,uniform,0.7025440313111546,ok,308.4498973910231
88,0,0,1,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,67.0,log2,13.0,6.0,None,None,None,None,0.5097847358121331,ok,309.19538679602556
89,0,1,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,38.0,None,None,None,None,None,None,7.0,None,distance,0.8816046966731899,ok,309.2513884168584
90,0,1,1,0,0,1,1,kneighborsClassifier,None,auto,None,None,33.0,None,None,None,None,None,None,6.0,None,distance,0.8365949119373777,ok,309.3057101268787
91,0,1,1,1,1,1,1,nnClassifier,identity,None,10,None,None,invscaling,None,None,None,None,2,None,adam,None,0.003913894324853229,ok,337.72538388497196
92,0,1,1,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,27.0,None,None,None,None,None,None,1.0,None,distance,0.7563600782778865,ok,337.7799900099635
93,0,0,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,18.0,None,None,None,None,None,None,3.0,None,distance,0.8767123287671232,ok,337.9130030060187
94,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,88.0,auto,17.0,31.0,None,None,None,None,0.5929549902152642,ok,339.09848350891843
95,0,1,1,0,0,1,1,kneighborsClassifier,None,auto,None,None,7.0,None,None,None,None,None,None,5.0,None,uniform,0.4755381604696673,ok,339.1775360980537
96,0,1,1,1,1,0,0,nnClassifier,logistic,None,29,None,None,constant,None,None,None,None,4,None,sgd,None,0.0,ok,341.2724124400411
97,1,1,0,1,1,1,1,kneighborsClassifier,None,brute,None,None,40.0,None,None,None,None,None,None,9.0,None,distance,0.8845401174168297,ok,341.4565470239613
98,1,0,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,35.0,None,None,None,None,None,None,10.0,None,distance,0.8825831702544031,ok,341.5112780369818
99,1,1,0,1,1,1,1,kneighborsClassifier,None,brute,None,None,13.0,None,None,None,None,None,None,4.0,None,distance,0.8845401174168297,ok,341.69464861392044
