,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
43,1,1,0,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,31,None,None,None,None,None,None,3,None,distance,0.9070450097847358,ok,126.27910303184763
44,1,1,1,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,25.0,auto,6.0,9.0,None,None,None,None,0.738747553816047,ok,127.69148425385356
45,1,1,0,1,1,1,0,nnClassifier,logistic,None,15.0,None,None,constant,None,None,None,None,7.0,None,adam,None,0.033268101761252444,ok,162.18761748890392
46,0,1,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,24,None,None,None,None,None,None,3,None,uniform,0.5577299412915852,ok,162.2615249180235
47,1,1,0,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,19,None,None,None,None,None,None,4,None,distance,0.8933463796477495,ok,162.3111992010381
48,1,1,1,1,1,1,0,nnClassifier,identity,None,28.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,0.0,ok,176.54594783787616
49,0,1,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,99.0,sqrt,19.0,32.0,None,None,None,None,0.5684931506849316,ok,177.46172020887025
50,1,1,0,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,34,None,None,None,None,None,None,5,None,distance,0.9041095890410958,ok,177.51058286894113
51,1,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,28,None,None,None,None,None,None,4,None,distance,0.9099804305283757,ok,177.56228566193022
52,0,1,1,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,28,None,None,None,None,None,None,4,None,distance,0.5626223091976517,ok,177.61310809385031
53,1,0,1,1,0,1,1,nnClassifier,logistic,None,13.0,None,None,adaptive,None,None,None,None,6.0,None,adam,None,0.03522504892367906,ok,216.2789051758591
54,1,1,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,24.0,auto,11.0,40.0,None,None,None,None,0.6692759295499021,ok,217.15712061803788
55,0,0,1,1,0,0,1,kneighborsClassifier,None,kd_tree,None,None,16,None,None,None,None,None,None,5,None,uniform,0.39921722113502933,ok,217.22344566998072
56,1,1,1,1,0,1,0,kneighborsClassifier,None,brute,None,None,12,None,None,None,None,None,None,7,None,distance,0.7964774951076321,ok,217.4135887878947
57,1,0,1,1,0,0,1,kneighborsClassifier,None,kd_tree,None,None,27,None,None,None,None,None,None,4,None,uniform,0.49608610567514677,ok,217.48161234287545
58,0,1,1,1,0,1,1,nnClassifier,identity,None,26.0,None,None,invscaling,None,None,None,None,1.0,None,lbfgs,None,0.0,ok,218.1944342989009
59,1,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,8,None,None,None,None,None,None,3,None,distance,0.9119373776908023,ok,218.24778226483613
60,1,0,1,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,85.0,sqrt,5.0,8.0,None,None,None,None,0.7338551859099804,ok,219.7644239689689
61,0,1,1,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,7,None,None,None,None,None,None,7,None,distance,0.5714285714285714,ok,219.8222031330224
62,1,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,3,None,None,None,None,None,None,6,None,distance,0.9021526418786693,ok,219.8822850638535
63,1,0,1,1,0,1,1,nnClassifier,relu,None,18.0,None,None,constant,None,None,None,None,10.0,None,sgd,None,0.046966731898238745,ok,244.88021732401103
64,1,1,1,1,0,0,1,kneighborsClassifier,None,kd_tree,None,None,9,None,None,None,None,None,None,3,None,uniform,0.5645792563600783,ok,244.9538211049512
65,1,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,20,None,None,None,None,None,None,3,None,distance,0.9119373776908023,ok,245.00503094191663
66,1,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,20,None,None,None,None,None,None,3,None,distance,0.9119373776908023,ok,245.0562545878347
67,1,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,20,None,None,None,None,None,None,3,None,distance,0.9119373776908023,ok,245.10767545294948
68,1,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,16,None,None,None,None,None,None,1,None,distance,0.9119373776908023,ok,245.15627591498196
69,1,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,16,None,None,None,None,None,None,1,None,distance,0.9119373776908023,ok,245.27270420384593
70,1,1,1,1,0,1,1,kneighborsClassifier,None,auto,None,None,13,None,None,None,None,None,None,1,None,distance,0.910958904109589,ok,245.32292599999346
71,1,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,18,None,None,None,None,None,None,1,None,distance,0.9119373776908023,ok,245.37250222289003
72,1,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,16,None,None,None,None,None,None,1,None,distance,0.9119373776908023,ok,245.42222041403875
73,1,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,16,None,None,None,None,None,None,1,None,distance,0.9119373776908023,ok,245.4721283838153
74,1,1,1,1,0,1,1,kneighborsClassifier,None,auto,None,None,11,None,None,None,None,None,None,1,None,distance,0.910958904109589,ok,245.5231015328318
75,1,1,1,1,0,1,1,kneighborsClassifier,None,brute,None,None,5,None,None,None,None,None,None,2,None,distance,0.9070450097847358,ok,245.6359226659406
76,1,1,1,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,41.0,log2,10.0,31.0,None,None,None,None,0.678082191780822,ok,246.8263214228209
77,1,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,10,None,None,None,None,None,None,5,None,distance,0.9129158512720157,ok,246.88387558795512
78,0,1,1,1,0,1,0,kneighborsClassifier,None,kd_tree,None,None,7,None,None,None,None,None,None,6,None,distance,0.7367906066536204,ok,246.94022264587693
79,1,0,1,1,0,1,1,nnClassifier,tanh,None,10.0,None,None,constant,None,None,None,None,5.0,None,lbfgs,None,0.029354207436399216,ok,254.1284851618111
80,1,1,1,1,0,1,1,kneighborsClassifier,None,auto,None,None,10,None,None,None,None,None,None,9,None,distance,0.9099804305283757,ok,254.1882692349609
81,1,1,1,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,12.0,auto,12.0,19.0,None,None,None,None,0.6448140900195695,ok,255.00919026881456
82,1,1,1,1,0,1,1,kneighborsClassifier,None,brute,None,None,5,None,None,None,None,None,None,5,None,uniform,0.6027397260273972,ok,255.22749492293224
83,0,1,1,1,0,1,0,kneighborsClassifier,None,kd_tree,None,None,9,None,None,None,None,None,None,7,None,distance,0.738747553816047,ok,255.28404959803447
84,1,0,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,22,None,None,None,None,None,None,5,None,distance,0.9041095890410958,ok,255.3331288548652
85,1,1,1,1,0,1,1,nnClassifier,logistic,None,26.0,None,None,invscaling,None,None,None,None,7.0,None,adam,None,0.0410958904109589,ok,277.50542050180957
86,1,1,1,1,0,0,1,kneighborsClassifier,None,kd_tree,None,None,14,None,None,None,None,None,None,9,None,distance,0.8571428571428571,ok,277.5631600948982
87,0,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,81.0,sqrt,8.0,25.0,None,None,None,None,0.5322896281800391,ok,278.40617791493423
88,1,1,1,1,0,1,1,kneighborsClassifier,None,auto,None,None,4,None,None,None,None,None,None,2,None,uniform,0.7240704500978473,ok,278.48786260699853
89,1,0,1,1,0,1,1,kneighborsClassifier,None,brute,None,None,18,None,None,None,None,None,None,6,None,distance,0.9031311154598826,ok,278.6879223578144
90,1,1,1,1,0,1,1,nnClassifier,identity,None,20.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,0.0009784735812133072,ok,297.7046244458761
91,1,1,1,1,0,0,1,kneighborsClassifier,None,kd_tree,None,None,25,None,None,None,None,None,None,3,None,distance,0.8737769080234834,ok,297.7567220139317
92,0,1,1,1,0,1,0,kneighborsClassifier,None,kd_tree,None,None,8,None,None,None,None,None,None,4,None,distance,0.7348336594911937,ok,297.8115375950001
93,1,0,1,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,45.0,sqrt,4.0,9.0,None,None,None,None,0.7563600782778865,ok,299.3771388968453
94,1,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,14,None,None,None,None,None,None,4,None,distance,0.9090019569471625,ok,299.43590270983987
95,1,1,1,1,0,0,1,kneighborsClassifier,None,kd_tree,None,None,2,None,None,None,None,None,None,5,None,uniform,0.5675146771037182,ok,299.5156634808518
96,1,1,1,0,0,1,0,nnClassifier,relu,None,32.0,None,None,invscaling,None,None,None,None,9.0,None,adam,None,0.03816046966731898,ok,317.8222103458829
97,0,1,1,1,0,1,1,kneighborsClassifier,None,auto,None,None,18,None,None,None,None,None,None,2,None,distance,0.8962818003913894,ok,317.8746844858397
98,1,0,1,1,0,1,1,kneighborsClassifier,None,brute,None,None,12,None,None,None,None,None,None,2,None,distance,0.9060665362035225,ok,317.9877570499666
99,1,1,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,16.0,log2,17.0,36.0,None,None,None,None,0.6722113502935421,ok,318.85311790090054
