activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,11,gini,1,1,1,1,1,1,1,1,24,constant,66,auto,8,24,nnClassifier,5,10,adam,distance,0.5409035409035409,1344.0446167129558
relu,auto,26,gini,1,1,1,1,1,1,1,1,4,constant,28,auto,7,34,nnClassifier,5,10,adam,distance,0.5347985347985348,1344.0446538319811
relu,auto,15,gini,1,1,1,1,1,1,1,1,5,constant,54,auto,6,34,nnClassifier,5,10,adam,distance,0.5286935286935287,1344.044690790819
relu,auto,12,gini,1,1,1,1,1,1,1,1,11,constant,71,auto,6,26,nnClassifier,4,10,adam,distance,0.5299145299145299,1344.0447273808531
relu,auto,18,gini,1,1,1,1,1,1,1,1,8,constant,60,auto,6,31,nnClassifier,5,10,adam,distance,0.5335775335775336,1344.0447642798536
relu,auto,16,gini,1,1,1,1,1,1,1,1,4,constant,35,auto,8,28,nnClassifier,5,9,adam,distance,0.5262515262515263,1344.0448009788524
relu,auto,17,gini,1,1,1,1,1,1,1,1,15,constant,51,auto,6,29,nnClassifier,5,10,adam,distance,0.5372405372405372,1344.0448376578279
relu,auto,15,gini,1,1,1,1,1,1,1,1,3,constant,40,auto,8,24,nnClassifier,4,10,adam,distance,0.5396825396825397,1344.0448744769674
relu,auto,20,gini,1,1,1,1,1,1,1,1,11,constant,52,auto,6,25,nnClassifier,6,6,adam,distance,0.5323565323565324,1344.0449109359179
relu,auto,15,gini,1,1,1,1,1,1,1,1,14,constant,29,auto,4,29,nnClassifier,2,10,adam,distance,0.5567765567765568,2375.9505438338965
relu,auto,15,gini,1,1,1,1,1,1,1,1,16,constant,52,auto,9,18,nnClassifier,5,10,adam,distance,0.5286935286935287,2375.950605083024
relu,auto,14,gini,1,1,1,1,1,1,1,1,16,constant,84,auto,4,33,nnClassifier,5,10,adam,distance,0.5335775335775336,2375.9506440018304
relu,auto,18,gini,1,1,1,1,1,1,1,1,9,constant,26,auto,10,24,nnClassifier,5,8,adam,distance,0.5335775335775336,2375.950681990944
relu,auto,16,gini,1,1,1,1,1,1,1,1,12,constant,54,auto,7,34,nnClassifier,5,10,adam,distance,0.5286935286935287,2375.9507202908862
relu,auto,21,gini,1,1,1,1,1,1,1,1,6,constant,63,auto,6,32,nnClassifier,3,10,adam,distance,0.5372405372405372,2375.9507582799997
relu,auto,15,gini,1,1,1,1,1,1,1,1,12,constant,37,auto,6,36,nnClassifier,4,10,adam,distance,0.5311355311355311,2375.950796579011
relu,auto,16,gini,1,1,1,1,1,1,1,1,7,constant,64,auto,6,21,nnClassifier,4,6,adam,distance,0.5299145299145299,2375.950834397925
relu,auto,16,gini,1,1,1,1,1,1,1,1,4,constant,61,auto,8,29,nnClassifier,5,10,adam,distance,0.5299145299145299,2375.950872167945
relu,auto,22,gini,1,1,1,1,1,1,1,1,19,constant,54,auto,7,28,nnClassifier,6,9,adam,distance,0.5335775335775336,2375.950909746811
relu,auto,14,gini,1,1,1,1,1,1,1,1,7,constant,54,auto,9,27,nnClassifier,6,10,adam,distance,0.5396825396825397,2375.950947305886
relu,auto,15,gini,1,1,1,1,1,1,1,1,20,constant,62,auto,10,28,nnClassifier,4,10,adam,distance,0.5335775335775336,2375.950984254945
relu,auto,22,gini,1,1,1,1,1,1,1,1,4,constant,32,auto,7,34,nnClassifier,5,10,adam,distance,0.5384615384615384,2375.9510213439353
relu,auto,15,gini,1,1,1,1,1,1,1,1,5,constant,54,auto,6,34,nnClassifier,5,10,adam,distance,0.5286935286935287,2375.9510583239608
relu,auto,16,gini,1,1,1,1,1,1,1,1,13,constant,67,auto,10,27,nnClassifier,2,10,adam,distance,0.5470085470085471,2375.951095332857
relu,auto,17,gini,1,1,1,1,1,1,1,1,7,constant,56,auto,6,29,nnClassifier,5,10,adam,distance,0.5311355311355311,2375.951132331975
relu,auto,17,gini,1,1,1,1,1,1,1,1,8,constant,39,auto,4,32,nnClassifier,9,10,adam,distance,0.5299145299145299,2375.9511689408682
relu,auto,19,gini,1,1,1,1,1,1,1,1,11,constant,54,auto,6,29,nnClassifier,4,10,adam,distance,0.5372405372405372,2375.951214460889
relu,auto,13,gini,1,1,1,1,1,1,1,1,2,constant,44,auto,8,28,nnClassifier,4,10,adam,distance,0.5567765567765568,2375.9512514998205
relu,auto,16,gini,1,1,1,1,1,1,1,1,14,constant,48,auto,6,21,nnClassifier,6,8,adam,distance,0.5335775335775336,2375.951288218843
relu,auto,15,gini,1,1,1,1,1,1,1,1,10,constant,33,auto,7,27,nnClassifier,6,9,adam,distance,0.5409035409035409,3382.980997961946
relu,auto,15,gini,1,1,1,1,1,1,1,1,12,constant,50,auto,5,14,nnClassifier,5,6,adam,distance,0.5286935286935287,3382.981061339844
relu,auto,15,gini,1,1,1,1,1,1,1,1,12,constant,80,auto,7,34,nnClassifier,5,10,adam,distance,0.5335775335775336,3382.9811010998674
relu,auto,22,gini,1,1,1,1,1,1,1,1,11,constant,22,auto,11,28,nnClassifier,5,5,adam,distance,0.5311355311355311,3382.9811395090073
relu,auto,15,gini,1,1,1,1,1,1,1,1,11,constant,54,auto,5,34,nnClassifier,7,10,adam,distance,0.5299145299145299,3382.9811772678513
relu,auto,23,gini,1,1,1,1,1,1,1,1,6,constant,59,auto,6,34,nnClassifier,6,10,adam,distance,0.5347985347985348,3382.981221786933
relu,auto,19,gini,1,1,1,1,1,1,1,1,8,constant,41,auto,6,33,nnClassifier,4,10,adam,distance,0.5567765567765568,3382.9812598559074
relu,auto,15,gini,1,1,1,1,1,1,1,1,11,constant,60,auto,6,25,nnClassifier,5,6,adam,distance,0.5323565323565324,3382.981297375867
relu,auto,16,gini,1,1,1,1,1,1,1,1,3,constant,64,auto,4,25,nnClassifier,5,10,adam,distance,0.5299145299145299,3382.9813350348268
relu,auto,18,gini,1,1,1,1,1,1,1,1,23,constant,54,auto,6,24,nnClassifier,2,9,adam,distance,0.5335775335775336,3382.981372704031
relu,auto,12,gini,1,1,1,1,1,1,1,1,6,constant,53,auto,7,31,nnClassifier,6,10,adam,distance,0.5518925518925519,3382.9814099229407
relu,auto,17,gini,1,1,1,1,1,1,1,1,16,constant,58,auto,6,32,nnClassifier,4,10,adam,distance,0.5567765567765568,3382.981446802849
relu,auto,19,gini,1,1,1,1,1,1,1,1,4,constant,36,auto,6,34,nnClassifier,5,10,adam,distance,0.5335775335775336,3382.981483632
relu,auto,15,gini,1,1,1,1,1,1,1,1,5,constant,54,auto,6,34,nnClassifier,5,10,adam,distance,0.5286935286935287,3382.9815204909537
relu,auto,12,gini,1,1,1,1,1,1,1,1,14,constant,63,auto,10,31,nnClassifier,3,10,adam,distance,0.5470085470085471,3382.981556889834
relu,auto,14,gini,1,1,1,1,1,1,1,1,3,constant,53,auto,6,33,nnClassifier,5,10,adam,distance,0.5372405372405372,3382.981593220029
relu,auto,15,gini,1,1,1,1,1,1,1,1,8,constant,43,auto,4,36,nnClassifier,8,10,adam,distance,0.5372405372405372,3382.9816296889912
relu,auto,19,gini,1,1,1,1,1,1,1,1,8,constant,53,auto,6,28,nnClassifier,5,10,adam,distance,0.5470085470085471,3382.9816664578393
relu,auto,16,gini,1,1,1,1,1,1,1,1,5,constant,47,auto,7,32,nnClassifier,5,10,adam,distance,0.5323565323565324,3382.9817033368163
relu,auto,16,gini,1,1,1,1,1,1,1,1,10,constant,45,auto,6,25,nnClassifier,5,10,adam,distance,0.5470085470085471,3382.98174025584
