activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,10,entropy,0,0,1,0,1,1,1,6,invscaling,88,log2,10,35,randomForestClassifier,9,9,sgd,distance,0.6007827788649707
identity,ball_tree,30,entropy,0,1,0,1,1,0,0,3,constant,33,auto,19,28,kneighborsClassifier,7,1,sgd,distance,0.5802348336594912
identity,brute,9,entropy,1,0,0,1,1,1,1,38,adaptive,91,sqrt,15,27,kneighborsClassifier,9,2,adam,distance,0.8796477495107632
logistic,kd_tree,29,gini,0,0,0,0,0,1,0,20,invscaling,82,log2,20,20,kneighborsClassifier,2,2,sgd,distance,0.22798434442270057
relu,brute,30,entropy,1,0,1,0,1,0,1,31,constant,59,log2,8,26,randomForestClassifier,5,7,sgd,distance,0.6614481409001957
relu,auto,13,entropy,1,0,1,0,1,1,1,21,constant,60,log2,9,7,randomForestClassifier,4,10,lbfgs,uniform,0.7025440313111546
logistic,auto,15,gini,1,0,0,0,1,1,1,16,constant,94,log2,3,40,randomForestClassifier,5,10,lbfgs,distance,0.6330724070450098
identity,ball_tree,14,entropy,0,0,1,1,0,1,0,8,invscaling,92,log2,14,14,kneighborsClassifier,7,5,lbfgs,distance,0.723091976516634
relu,auto,31,gini,1,0,0,1,0,0,1,5,constant,63,sqrt,18,40,randomForestClassifier,8,6,sgd,uniform,0.42661448140900193
tanh,auto,13,gini,1,1,0,0,1,1,1,6,invscaling,88,log2,10,35,randomForestClassifier,9,9,sgd,distance,0.6565557729941291
tanh,ball_tree,10,entropy,0,0,1,0,1,0,0,3,constant,33,auto,19,28,kneighborsClassifier,7,1,sgd,distance,0.4863013698630137
identity,ball_tree,30,entropy,0,1,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8688845401174168
identity,brute,9,entropy,1,0,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8806262230919765
identity,brute,9,entropy,1,0,0,1,1,1,1,38,adaptive,91,sqrt,15,27,kneighborsClassifier,9,2,adam,distance,0.8796477495107632
identity,ball_tree,30,entropy,0,1,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8688845401174168
logistic,kd_tree,29,gini,0,0,0,0,1,1,1,38,adaptive,91,sqrt,15,27,kneighborsClassifier,10,2,adam,distance,0.8405088062622309
relu,brute,30,entropy,1,0,1,0,1,1,0,20,invscaling,82,log2,20,20,kneighborsClassifier,2,2,sgd,distance,0.7808219178082192
identity,ball_tree,14,entropy,0,0,1,1,0,1,0,8,invscaling,92,log2,14,14,kneighborsClassifier,7,5,lbfgs,distance,0.723091976516634
relu,auto,13,entropy,1,0,1,0,1,1,1,21,constant,60,log2,9,7,randomForestClassifier,4,10,lbfgs,uniform,0.7025440313111546
relu,auto,13,entropy,1,0,1,0,1,0,1,31,constant,59,log2,8,26,randomForestClassifier,5,7,sgd,distance,0.6614481409001957
relu,brute,30,entropy,1,0,1,0,1,0,1,31,constant,59,log2,8,26,randomForestClassifier,5,7,sgd,distance,0.6614481409001957
tanh,auto,13,gini,1,1,0,0,1,1,1,6,invscaling,88,log2,10,35,randomForestClassifier,9,9,sgd,distance,0.6565557729941291
identity,brute,9,entropy,1,0,0,1,1,1,1,38,adaptive,91,sqrt,15,39,kneighborsClassifier,9,2,adam,distance,0.8796477495107632
identity,brute,9,entropy,1,0,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,distance,0.8806262230919765
identity,ball_tree,30,entropy,0,1,0,1,1,0,1,7,adaptive,91,sqrt,15,27,kneighborsClassifier,10,2,adam,distance,0.8561643835616438
logistic,kd_tree,29,gini,0,0,0,0,1,1,0,20,invscaling,82,log2,20,20,kneighborsClassifier,2,2,sgd,distance,0.5821917808219178
relu,brute,30,entropy,1,0,1,1,1,1,0,8,invscaling,92,log2,14,14,kneighborsClassifier,7,5,lbfgs,distance,0.7729941291585127
identity,ball_tree,14,entropy,0,0,1,1,0,1,1,21,constant,60,log2,9,7,randomForestClassifier,4,10,lbfgs,uniform,0.598825831702544
relu,auto,14,entropy,1,0,1,0,1,1,1,31,constant,59,log2,8,26,randomForestClassifier,5,7,sgd,uniform,0.6927592954990215
relu,auto,13,entropy,1,0,1,0,1,0,1,31,constant,59,log2,8,26,randomForestClassifier,5,7,sgd,distance,0.6614481409001957
relu,brute,30,entropy,1,0,1,0,1,0,1,6,invscaling,88,log2,10,35,randomForestClassifier,9,9,sgd,distance,0.6457925636007827
tanh,auto,13,gini,1,1,0,0,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8767123287671232
identity,brute,9,entropy,1,0,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8806262230919765
identity,brute,9,entropy,1,0,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,distance,0.8806262230919765
identity,brute,9,entropy,1,0,0,1,1,1,1,38,adaptive,91,sqrt,15,27,kneighborsClassifier,9,2,adam,distance,0.8796477495107632
identity,brute,9,entropy,1,0,0,1,1,1,1,38,adaptive,91,sqrt,15,39,kneighborsClassifier,9,2,adam,distance,0.8796477495107632
tanh,auto,13,gini,1,1,0,0,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8767123287671232
identity,ball_tree,30,entropy,0,1,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8688845401174168
identity,ball_tree,30,entropy,0,1,0,1,1,0,1,7,adaptive,91,sqrt,15,27,kneighborsClassifier,10,2,adam,distance,0.8561643835616438
logistic,kd_tree,29,gini,0,0,0,0,1,1,1,38,adaptive,91,sqrt,15,27,kneighborsClassifier,10,2,adam,distance,0.8405088062622309
relu,brute,30,entropy,1,0,1,0,1,1,0,20,invscaling,82,log2,20,20,kneighborsClassifier,2,2,sgd,distance,0.7808219178082192
relu,brute,30,entropy,1,0,1,1,1,1,0,8,invscaling,92,log2,14,14,kneighborsClassifier,7,5,lbfgs,distance,0.7729941291585127
identity,brute,9,entropy,1,0,0,1,1,1,1,5,constant,5,sqrt,13,16,kneighborsClassifier,7,1,lbfgs,distance,0.8806262230919765
identity,brute,9,entropy,1,0,0,1,1,1,1,38,adaptive,91,sqrt,15,27,randomForestClassifier,9,2,lbfgs,distance,0.6487279843444227
identity,brute,9,entropy,1,0,0,1,1,1,1,38,adaptive,91,sqrt,15,39,kneighborsClassifier,9,2,adam,distance,0.8796477495107632
identity,brute,9,entropy,1,0,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8806262230919765
tanh,auto,13,gini,1,1,0,0,1,1,1,5,constant,5,sqrt,7,16,randomForestClassifier,7,1,lbfgs,uniform,0.47847358121330724
identity,ball_tree,30,entropy,0,1,0,1,1,0,0,7,adaptive,91,sqrt,15,27,kneighborsClassifier,10,2,adam,distance,0.5909980430528375
identity,ball_tree,30,entropy,0,1,0,1,1,1,1,38,adaptive,91,sqrt,15,28,kneighborsClassifier,10,2,adam,distance,0.8708414872798435
logistic,kd_tree,29,gini,0,0,0,0,1,1,0,20,invscaling,82,log2,20,20,kneighborsClassifier,2,2,sgd,distance,0.5821917808219178
relu,brute,30,entropy,1,0,1,0,1,1,0,8,invscaling,92,log2,14,14,kneighborsClassifier,7,5,lbfgs,distance,0.7729941291585127
relu,brute,30,entropy,1,0,1,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8884540117416829
relu,brute,30,entropy,1,0,1,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8884540117416829
identity,brute,9,entropy,1,0,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8806262230919765
identity,brute,9,entropy,1,0,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,distance,0.8806262230919765
identity,brute,9,entropy,1,0,0,1,1,1,1,5,constant,5,sqrt,13,16,kneighborsClassifier,7,1,lbfgs,distance,0.8806262230919765
identity,brute,9,entropy,1,0,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8806262230919765
identity,brute,9,entropy,1,0,0,1,1,1,1,38,adaptive,91,sqrt,15,27,kneighborsClassifier,9,2,adam,distance,0.8796477495107632
identity,brute,9,entropy,1,0,0,1,1,1,1,38,adaptive,91,sqrt,15,39,kneighborsClassifier,9,2,adam,distance,0.8796477495107632
identity,brute,9,entropy,1,0,0,1,1,1,1,38,adaptive,91,sqrt,15,39,kneighborsClassifier,9,2,adam,distance,0.8796477495107632
tanh,auto,13,gini,1,1,0,0,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8767123287671232
identity,ball_tree,30,entropy,0,1,0,1,1,1,1,38,adaptive,91,sqrt,15,28,kneighborsClassifier,10,2,adam,distance,0.8708414872798435
relu,brute,30,entropy,1,0,1,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,adam,uniform,0.8884540117416829
identity,brute,9,entropy,1,0,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,distance,0.8806262230919765
identity,brute,9,gini,1,0,0,1,1,1,1,5,constant,5,sqrt,13,16,kneighborsClassifier,7,1,lbfgs,distance,0.8806262230919765
identity,brute,9,entropy,1,0,0,1,1,0,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8845401174168297
identity,brute,9,entropy,1,0,0,1,1,1,1,38,adaptive,91,sqrt,15,27,kneighborsClassifier,9,2,adam,distance,0.8796477495107632
identity,brute,9,entropy,1,0,0,1,1,1,1,38,adaptive,91,sqrt,15,39,kneighborsClassifier,9,2,adam,distance,0.8796477495107632
identity,brute,9,entropy,0,1,0,1,1,1,1,38,adaptive,91,sqrt,15,39,kneighborsClassifier,9,2,adam,distance,0.8708414872798435
identity,brute,9,entropy,1,0,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8806262230919765
tanh,auto,13,gini,1,1,0,0,1,1,1,38,adaptive,91,sqrt,15,28,kneighborsClassifier,10,2,adam,distance,0.8767123287671232
identity,ball_tree,30,entropy,0,1,0,1,1,1,1,5,constant,5,sqrt,7,16,kneighborsClassifier,7,1,lbfgs,uniform,0.8688845401174168
