activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,26,auto,8,20,nnClassifier,8,7,adam,distance,0.5031674208144796,2600.830477952957
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,30,auto,4,28,nnClassifier,9,4,adam,distance,0.5049773755656108,2600.83053791197
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,29,auto,12,28,nnClassifier,6,9,adam,distance,0.5058823529411764,2600.830597650958
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,31,auto,3,26,nnClassifier,8,9,adam,distance,0.5040723981900452,2600.830657919869
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,57,auto,9,17,nnClassifier,8,5,adam,distance,0.5031674208144796,2600.83072706894
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,constant,22,auto,6,28,nnClassifier,10,8,adam,distance,0.5049773755656108,2600.830787668936
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,68,auto,2,23,nnClassifier,2,9,adam,distance,0.5004524886877828,2600.8308552079834
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,35,auto,7,25,nnClassifier,9,4,adam,distance,0.5058823529411764,2600.8309155669995
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,21,auto,2,17,nnClassifier,7,7,adam,distance,0.5031674208144796,2600.830975546036
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,22,auto,4,26,nnClassifier,8,6,adam,distance,0.502262443438914,2600.831036204938
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,34,auto,2,16,nnClassifier,7,5,adam,distance,0.5076923076923077,2600.8310969138984
