activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,22,entropy,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,32,constant,40,sqrt,19,4,nnClassifier,6,9,lbfgs,uniform,0.15173674588665448
tanh,kd_tree,23,gini,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,25,constant,100,log2,15,15,randomForestClassifier,5,8,sgd,distance,0.576782449725777
relu,auto,16,gini,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,7,adaptive,84,sqrt,17,2,randomForestClassifier,9,10,lbfgs,distance,0.5246800731261426
identity,kd_tree,30,gini,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,37,adaptive,59,auto,4,5,kneighborsClassifier,9,7,lbfgs,distance,0.45886654478976235
relu,ball_tree,19,gini,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,30,adaptive,60,auto,14,24,randomForestClassifier,2,3,adam,distance,0.5127970749542962
tanh,brute,15,gini,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,24,adaptive,30,log2,10,23,randomForestClassifier,7,9,lbfgs,distance,0.5630712979890311
relu,brute,19,gini,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,34,constant,94,auto,18,24,nnClassifier,9,4,adam,distance,0.24405850091407677
identity,auto,22,entropy,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,2,adaptive,24,log2,17,25,randomForestClassifier,5,3,sgd,uniform,0.5365630712979891
logistic,auto,13,entropy,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,11,adaptive,79,log2,12,31,randomForestClassifier,7,2,lbfgs,distance,0.4936014625228519
tanh,auto,19,entropy,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,9,adaptive,32,auto,14,4,kneighborsClassifier,6,1,sgd,uniform,0.4753199268738574
tanh,brute,16,gini,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,13,constant,63,auto,5,12,randomForestClassifier,3,7,sgd,uniform,0.5630712979890311
relu,auto,19,entropy,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,14,constant,15,auto,14,20,randomForestClassifier,7,3,sgd,distance,0.5685557586837294
tanh,auto,32,gini,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,39,constant,3,auto,3,10,kneighborsClassifier,4,1,adam,distance,0.36745886654478976
relu,kd_tree,29,entropy,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,17,invscaling,27,log2,19,9,nnClassifier,2,6,adam,uniform,0.24040219378427788
relu,ball_tree,18,entropy,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,31,adaptive,43,sqrt,15,38,randomForestClassifier,1,9,adam,distance,0.5548446069469836
logistic,brute,17,gini,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,39,invscaling,48,log2,7,13,nnClassifier,7,6,sgd,distance,0.0
logistic,kd_tree,14,gini,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,10,constant,96,sqrt,9,32,kneighborsClassifier,8,5,adam,uniform,0.4606946983546618
identity,ball_tree,26,gini,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,18,constant,65,log2,8,23,nnClassifier,10,7,sgd,uniform,0.051188299817184646
logistic,auto,20,gini,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,26,adaptive,20,sqrt,9,7,kneighborsClassifier,5,4,lbfgs,uniform,0.45612431444241314
identity,kd_tree,25,gini,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,26,constant,26,log2,20,10,kneighborsClassifier,4,6,sgd,uniform,0.40585009140767825
logistic,ball_tree,14,gini,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,15,invscaling,87,auto,10,29,randomForestClassifier,5,8,sgd,distance,0.5621572212065814
relu,auto,29,entropy,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39,constant,8,log2,7,15,randomForestClassifier,3,7,sgd,uniform,0.4579524680073126
identity,ball_tree,23,gini,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,35,adaptive,24,log2,19,35,randomForestClassifier,6,2,sgd,distance,0.5283363802559415
tanh,ball_tree,27,entropy,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,36,invscaling,37,sqrt,9,34,nnClassifier,4,10,sgd,distance,0.03016453382084095
tanh,brute,29,entropy,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,18,constant,42,auto,2,19,kneighborsClassifier,8,2,lbfgs,uniform,0.4954296160877514
identity,brute,13,gini,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,15,constant,54,log2,15,6,nnClassifier,7,2,sgd,distance,0.03656307129798903
identity,kd_tree,9,gini,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,5,adaptive,54,sqrt,17,17,kneighborsClassifier,10,4,adam,distance,0.48628884826325414
tanh,kd_tree,21,entropy,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,39,adaptive,85,auto,14,26,nnClassifier,3,6,sgd,uniform,0.2659963436928702
identity,auto,8,entropy,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,16,invscaling,87,auto,10,7,nnClassifier,2,1,lbfgs,distance,0.08043875685557587
logistic,auto,19,gini,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,31,adaptive,31,auto,14,5,nnClassifier,7,3,adam,distance,0.13893967093235832
logistic,brute,17,gini,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,25,invscaling,9,auto,7,11,kneighborsClassifier,9,10,lbfgs,uniform,0.47714808043875684
logistic,auto,22,entropy,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,36,invscaling,89,sqrt,4,25,kneighborsClassifier,6,2,sgd,uniform,0.4305301645338208
identity,brute,11,gini,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,32,constant,56,log2,16,23,kneighborsClassifier,2,1,adam,distance,0.5511882998171846
