,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
72,1,0,0,0,0,1,nnClassifier,logistic,None,12.0,None,None,constant,None,None,None,None,2.0,None,adam,None,1.0,ok,243.50063051120378
73,1,0,0,0,0,1,nnClassifier,identity,None,24.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,1.0,ok,252.30573947401717
74,0,0,0,0,1,1,nnClassifier,identity,None,24.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,1.0,ok,261.1182959070429
75,0,0,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,36.0,None,None,None,None,None,None,9.0,None,uniform,0.9731663685152058,ok,261.2150172709953
76,0,0,1,1,1,1,nnClassifier,relu,None,31.0,None,None,invscaling,None,None,None,None,5.0,None,lbfgs,None,1.0,ok,261.4753170341719
77,1,0,1,0,1,1,nnClassifier,logistic,None,16.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,1.0,ok,261.9298997691367
78,1,0,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,82,auto,8,6,None,None,None,None,0.9776386404293381,ok,262.63237050618045
79,1,1,1,1,1,1,nnClassifier,tanh,None,17.0,None,None,invscaling,None,None,None,None,10.0,None,sgd,None,1.0,ok,270.38718637404963
80,0,0,1,1,0,1,nnClassifier,tanh,None,29.0,None,None,constant,None,None,None,None,4.0,None,lbfgs,None,1.0,ok,270.93443941813894
81,1,0,0,0,0,1,kneighborsClassifier,None,ball_tree,None,None,26.0,None,None,None,None,None,None,6.0,None,uniform,0.9758497316636852,ok,271.03391288104467
82,1,0,0,0,0,0,nnClassifier,relu,None,10.0,None,None,constant,None,None,None,None,9.0,None,adam,None,1.0,ok,275.8324028640054
83,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,55,sqrt,14,35,None,None,None,None,0.9785330948121646,ok,276.7023751081433
84,1,1,0,1,0,1,nnClassifier,logistic,None,15.0,None,None,constant,None,None,None,None,7.0,None,sgd,None,1.0,ok,283.5506096580066
85,1,0,0,0,0,1,nnClassifier,relu,None,11.0,None,None,constant,None,None,None,None,8.0,None,lbfgs,None,1.0,ok,283.90837193117477
86,1,0,1,0,0,0,nnClassifier,relu,None,20.0,None,None,invscaling,None,None,None,None,6.0,None,sgd,None,1.0,ok,295.0026389542036
87,1,0,1,0,0,0,kneighborsClassifier,None,auto,None,None,17.0,None,None,None,None,None,None,2.0,None,distance,0.9588550983899821,ok,295.0720582092181
88,1,0,0,0,0,1,nnClassifier,logistic,None,12.0,None,None,constant,None,None,None,None,10.0,None,adam,None,1.0,ok,301.0237043341622
89,0,1,0,1,0,1,nnClassifier,relu,None,14.0,None,None,adaptive,None,None,None,None,5.0,None,adam,None,1.0,ok,304.5590445161797
90,0,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,30,log2,16,24,None,None,None,None,0.9731663685152058,ok,305.2088090130128
91,0,0,1,1,0,0,kneighborsClassifier,None,auto,None,None,6.0,None,None,None,None,None,None,5.0,None,uniform,0.9731663685152058,ok,305.3135897500906
92,0,0,1,1,0,0,nnClassifier,logistic,None,29.0,None,None,invscaling,None,None,None,None,6.0,None,lbfgs,None,1.0,ok,305.7486543119885
93,0,1,0,1,1,1,nnClassifier,tanh,None,21.0,None,None,adaptive,None,None,None,None,1.0,None,sgd,None,1.0,ok,323.35178506118245
94,0,1,0,1,1,1,nnClassifier,tanh,None,22.0,None,None,adaptive,None,None,None,None,1.0,None,sgd,None,1.0,ok,340.50563519611023
95,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,8,auto,18,27,None,None,None,None,0.9847942754919499,ok,341.3239326342009
96,1,0,0,0,0,1,nnClassifier,tanh,None,9.0,None,None,constant,None,None,None,None,2.0,None,adam,None,1.0,ok,350.3406961259898
97,0,1,0,1,1,0,nnClassifier,logistic,None,8.0,None,None,adaptive,None,None,None,None,4.0,None,adam,None,1.0,ok,359.569149651099
98,0,1,0,1,1,0,nnClassifier,logistic,None,19.0,None,None,adaptive,None,None,None,None,1.0,None,adam,None,1.0,ok,367.920137061039
99,0,1,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,15.0,None,None,None,None,None,None,9.0,None,distance,0.9838998211091234,ok,368.025270865066
