activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,27,gini,1,1,1,1,1,14,constant,42,sqrt,15,25,nnClassifier,8,10,sgd,uniform,0.5049088359046283,107.36600517318584
tanh,auto,15,entropy,1,1,0,1,1,11,adaptive,29,sqrt,20,10,kneighborsClassifier,2,10,sgd,uniform,0.9537166900420757,107.36603791313246
tanh,auto,18,entropy,1,1,0,1,1,32,adaptive,27,sqrt,15,5,nnClassifier,4,10,sgd,uniform,0.4992987377279102,107.36607080209069
tanh,auto,24,gini,1,1,1,1,1,32,constant,17,sqrt,11,19,kneighborsClassifier,3,6,adam,distance,0.9354838709677419,107.36610319209285
tanh,auto,8,entropy,1,1,0,1,1,10,constant,61,sqrt,20,15,kneighborsClassifier,2,9,adam,uniform,0.7713884992987378,107.36613552109338
tanh,auto,14,gini,1,1,1,1,1,11,invscaling,24,auto,17,15,randomForestClassifier,6,9,sgd,distance,0.8892005610098177,107.36616838118061
relu,auto,21,gini,1,1,1,1,1,22,constant,39,auto,12,24,nnClassifier,2,9,adam,distance,0.4992987377279102,455.63690679799765
relu,auto,28,gini,1,1,1,1,1,14,constant,32,auto,19,22,nnClassifier,1,4,adam,distance,0.4950911640953717,455.63695892714895
relu,auto,19,gini,1,1,1,1,1,14,constant,91,auto,11,30,nnClassifier,4,10,adam,distance,0.9467040673211781,455.6369926959742
relu,auto,13,gini,1,1,1,1,1,24,constant,87,auto,20,10,nnClassifier,2,10,adam,distance,0.9453015427769986,455.6370261760894
relu,auto,15,gini,1,1,1,1,1,28,constant,16,auto,10,25,nnClassifier,1,10,adam,distance,0.9509116409537167,455.63705906504765
relu,auto,14,gini,1,1,1,1,1,26,constant,11,auto,9,19,nnClassifier,3,9,adam,distance,0.5021037868162693,455.6370923651848
relu,auto,19,gini,1,1,1,1,1,27,constant,56,auto,20,22,nnClassifier,2,10,adam,distance,0.9467040673211781,455.6371251239907
relu,auto,15,gini,1,1,1,1,1,25,constant,24,auto,19,9,nnClassifier,1,10,adam,distance,0.49789621318373073,455.6371577940881
relu,auto,15,gini,1,1,1,1,1,22,constant,73,auto,17,16,nnClassifier,1,10,adam,distance,0.9453015427769986,455.63719130307436
relu,auto,17,gini,1,1,1,1,1,31,constant,30,auto,20,10,nnClassifier,2,10,adam,distance,0.4992987377279102,455.63722439296544
relu,auto,12,gini,1,1,1,1,1,11,constant,18,auto,18,23,nnClassifier,3,8,adam,distance,0.9453015427769986,455.6372573720291
relu,auto,16,gini,1,1,1,1,1,26,constant,86,auto,17,28,nnClassifier,2,5,adam,distance,0.4964936886395512,455.63729781098664
relu,auto,13,gini,1,1,1,1,1,27,constant,86,auto,18,27,nnClassifier,2,8,adam,distance,0.4950911640953717,455.6373304310255
relu,auto,20,gini,1,1,1,1,1,23,constant,81,auto,13,23,nnClassifier,6,10,adam,distance,0.4375876577840112,455.63736296002753
relu,auto,23,gini,1,1,1,1,1,11,constant,40,auto,11,21,nnClassifier,6,7,adam,distance,0.4992987377279102,455.6373955300078
relu,auto,15,gini,1,1,1,1,1,11,constant,29,auto,20,10,nnClassifier,2,10,adam,distance,0.9537166900420757,455.63742811908014
relu,auto,17,gini,1,1,1,1,1,28,constant,30,auto,17,5,nnClassifier,6,10,adam,distance,0.4964936886395512,455.6374606390018
relu,auto,20,gini,1,1,1,1,1,28,constant,21,auto,15,15,nnClassifier,2,10,adam,distance,0.9467040673211781,455.63749309815466
relu,auto,12,gini,1,1,1,1,1,12,constant,57,auto,20,11,nnClassifier,2,10,adam,distance,0.9509116409537167,455.6375256180763
relu,auto,17,gini,1,1,1,1,1,11,constant,28,auto,20,11,nnClassifier,2,10,adam,distance,0.9467040673211781,455.6375578471925
relu,auto,25,gini,1,1,1,1,1,26,constant,43,auto,16,26,nnClassifier,2,6,adam,distance,0.5007012622720898,1259.5084630011115
relu,auto,24,gini,1,1,1,1,1,11,constant,29,auto,20,18,nnClassifier,1,6,adam,distance,0.5049088359046283,1259.5085136501584
relu,auto,15,gini,1,1,1,1,1,16,constant,87,auto,15,26,nnClassifier,5,8,adam,distance,0.4992987377279102,1259.508547710022
relu,auto,11,gini,1,1,1,1,1,24,constant,83,auto,20,9,nnClassifier,4,9,adam,distance,0.49789621318373073,1259.5085820590612
relu,auto,15,gini,1,1,1,1,1,24,constant,19,auto,14,29,nnClassifier,1,10,adam,distance,0.5007012622720898,1259.5086157589685
relu,auto,17,gini,1,1,1,1,1,22,constant,15,auto,13,15,nnClassifier,3,9,adam,distance,0.4992987377279102,1259.5086490081158
relu,auto,20,gini,1,1,1,1,1,23,constant,55,auto,18,18,nnClassifier,1,10,adam,distance,0.4992987377279102,1259.5086830579676
relu,auto,16,gini,1,1,1,1,1,21,constant,28,auto,20,10,nnClassifier,1,10,adam,distance,0.5007012622720898,1259.5087164370343
relu,auto,15,gini,1,1,1,1,1,18,constant,69,auto,17,20,nnClassifier,2,8,adam,distance,0.5007012622720898,1259.5087495669723
relu,auto,21,gini,1,1,1,1,1,27,constant,28,auto,20,13,nnClassifier,2,10,adam,distance,0.49368863955119213,1259.5087825860828
relu,auto,8,gini,1,1,1,1,1,12,constant,22,auto,14,22,nnClassifier,3,9,adam,distance,0.5007012622720898,1259.5088156051934
relu,auto,15,gini,1,1,1,1,1,22,constant,82,auto,15,24,nnClassifier,2,9,adam,distance,0.4964936886395512,1259.5088489351328
relu,auto,12,gini,1,1,1,1,1,31,constant,82,auto,20,23,nnClassifier,2,4,adam,distance,0.49789621318373073,1259.5088819239754
relu,auto,16,gini,1,1,1,1,1,19,constant,77,auto,17,19,nnClassifier,4,10,adam,distance,0.5007012622720898,1259.5089148241095
relu,auto,27,gini,1,1,1,1,1,11,constant,44,auto,15,17,nnClassifier,8,10,adam,distance,0.5007012622720898,1259.5089478231966
relu,auto,15,gini,1,1,1,1,1,11,constant,29,auto,20,10,nnClassifier,2,10,adam,distance,0.49789621318373073,1259.5089806930628
relu,auto,14,gini,1,1,1,1,1,24,constant,30,auto,20,6,nnClassifier,3,10,adam,distance,0.5007012622720898,1259.5090137720108
relu,auto,16,gini,1,1,1,1,1,24,constant,25,auto,19,11,nnClassifier,2,10,adam,distance,0.4992987377279102,1259.509047032101
relu,auto,15,gini,1,1,1,1,1,10,constant,53,auto,20,15,nnClassifier,2,9,adam,distance,0.4964936886395512,1259.5090804211795
relu,auto,13,gini,1,1,1,1,1,11,constant,30,auto,19,13,nnClassifier,6,10,adam,distance,0.49368863955119213,1259.5091133411042
relu,auto,21,gini,1,1,1,1,1,29,constant,39,auto,20,30,nnClassifier,6,10,adam,distance,0.4964936886395512,2135.024347773986
relu,auto,20,gini,1,1,1,1,1,11,constant,28,auto,20,14,nnClassifier,2,9,adam,distance,0.5049088359046283,2135.0244011729956
relu,auto,19,gini,1,1,1,1,1,14,constant,83,auto,19,22,nnClassifier,7,10,adam,distance,0.49228611500701264,2135.0244364230894
relu,auto,11,gini,1,1,1,1,1,28,constant,79,auto,18,9,nnClassifier,5,8,adam,distance,0.49789621318373073,2135.024470502045
relu,auto,15,gini,1,1,1,1,1,20,constant,22,auto,12,25,nnClassifier,2,10,adam,distance,0.5007012622720898,2135.024523781147
relu,auto,14,gini,1,1,1,1,1,26,constant,19,auto,17,19,nnClassifier,7,5,adam,distance,0.4992987377279102,2135.024557201192
relu,auto,22,gini,1,1,1,1,1,19,constant,58,auto,16,14,nnClassifier,5,6,adam,distance,0.5063113604488079,2135.024590390036
relu,auto,16,gini,1,1,1,1,1,17,constant,32,auto,20,11,nnClassifier,1,10,adam,distance,0.5021037868162693,2135.0246235991362
relu,auto,15,gini,1,1,1,1,1,14,constant,65,auto,13,16,nnClassifier,1,10,adam,distance,0.49789621318373073,2135.0246567490976
relu,auto,25,gini,1,1,1,1,1,28,constant,27,auto,16,13,nnClassifier,3,6,adam,distance,0.5007012622720898,2135.024690258084
relu,auto,12,gini,1,1,1,1,1,12,constant,18,auto,18,24,nnClassifier,3,9,adam,distance,0.49789621318373073,2135.0247235081624
relu,auto,18,gini,1,1,1,1,1,18,constant,78,auto,16,20,nnClassifier,2,9,adam,distance,0.49789621318373073,2135.0247565170284
relu,auto,15,gini,1,1,1,1,1,27,constant,78,auto,16,19,nnClassifier,2,7,adam,distance,0.4964936886395512,2135.024789407151
relu,auto,15,gini,1,1,1,1,1,15,constant,73,auto,20,19,nnClassifier,1,10,adam,distance,0.49789621318373073,2135.024822846055
relu,auto,31,gini,1,1,1,1,1,15,constant,40,auto,12,15,nnClassifier,4,7,adam,distance,0.5035063113604488,2135.0248556560837
relu,auto,15,gini,1,1,1,1,1,11,constant,29,auto,20,10,nnClassifier,2,10,adam,distance,0.49789621318373073,2135.024888645159
relu,auto,15,gini,1,1,1,1,1,20,constant,29,auto,17,6,nnClassifier,6,10,adam,distance,0.4992987377279102,2135.024921625154
relu,auto,20,gini,1,1,1,1,1,20,constant,21,auto,18,13,nnClassifier,2,6,adam,distance,0.4964936886395512,2135.024954384193
relu,auto,11,gini,1,1,1,1,1,10,constant,49,auto,20,11,nnClassifier,2,9,adam,distance,0.49789621318373073,2135.024987013079
relu,auto,13,gini,1,1,1,1,1,11,constant,28,auto,19,15,nnClassifier,7,9,adam,distance,0.5035063113604488,2135.025019883178
relu,auto,19,gini,1,1,1,1,1,25,constant,35,auto,16,26,nnClassifier,7,6,adam,distance,0.4992987377279102,2986.709772926988
relu,auto,19,gini,1,1,1,1,1,15,constant,32,auto,19,14,nnClassifier,2,5,adam,distance,0.4992987377279102,2986.709826386068
relu,auto,23,gini,1,1,1,1,1,15,constant,79,auto,15,18,nnClassifier,9,10,adam,distance,0.5007012622720898,2986.709860856179
relu,auto,15,gini,1,1,1,1,1,24,constant,75,auto,20,5,nnClassifier,2,9,adam,distance,0.4992987377279102,2986.7098949451465
relu,auto,15,gini,1,1,1,1,1,16,constant,23,auto,13,21,nnClassifier,1,10,adam,distance,0.49789621318373073,2986.709929195
relu,auto,17,gini,1,1,1,1,1,24,constant,15,auto,13,23,nnClassifier,8,9,adam,distance,0.4992987377279102,2986.7099625740666
relu,auto,18,gini,1,1,1,1,1,18,constant,54,auto,20,18,nnClassifier,4,9,adam,distance,0.49789621318373073,2986.709996124031
relu,auto,15,gini,1,1,1,1,1,13,constant,28,auto,20,10,nnClassifier,2,10,adam,distance,0.5021037868162693,2986.7100293731783
relu,auto,15,gini,1,1,1,1,1,18,constant,61,auto,16,12,nnClassifier,1,10,adam,distance,0.5007012622720898,2986.710062972037
relu,auto,21,gini,1,1,1,1,1,24,constant,29,auto,14,10,nnClassifier,2,5,adam,distance,0.5035063113604488,2986.7100960521493
relu,auto,16,gini,1,1,1,1,1,13,constant,22,auto,20,20,nnClassifier,3,9,adam,distance,0.5007012622720898,2986.7101295210887
relu,auto,16,gini,1,1,1,1,1,22,constant,74,auto,15,16,nnClassifier,2,6,adam,distance,0.49789621318373073,2986.7101625511423
relu,auto,16,gini,1,1,1,1,1,23,constant,74,auto,12,23,nnClassifier,2,8,adam,distance,0.49789621318373073,2986.7101955101825
relu,auto,19,gini,1,1,1,1,1,19,constant,77,auto,20,15,nnClassifier,4,10,adam,distance,0.5007012622720898,2986.7102287600283
relu,auto,27,gini,1,1,1,1,1,13,constant,36,auto,16,15,nnClassifier,1,7,adam,distance,0.4992987377279102,2986.710261809174
relu,auto,15,gini,1,1,1,1,1,11,constant,29,auto,20,10,nnClassifier,2,10,adam,distance,0.49789621318373073,2986.710302878171
relu,auto,16,gini,1,1,1,1,1,16,constant,29,auto,16,6,nnClassifier,2,10,adam,distance,0.4992987377279102,2986.710336198099
relu,auto,23,gini,1,1,1,1,1,16,constant,25,auto,14,15,nnClassifier,3,10,adam,distance,0.4992987377279102,2986.7103696970735
relu,auto,9,gini,1,1,1,1,1,10,constant,49,auto,20,12,nnClassifier,2,10,adam,distance,0.4992987377279102,2986.710402847035
relu,auto,15,gini,1,1,1,1,1,11,constant,24,auto,18,12,nnClassifier,4,9,adam,distance,0.5049088359046283,2986.7104362361133
