activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,68,auto,7,28,nnClassifier,7,10,adam,distance,0.5079365079365079,1499.0122953010723
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,36,auto,5,18,nnClassifier,3,10,adam,distance,0.5238095238095238,1499.0123588901479
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,73,auto,16,19,nnClassifier,6,10,adam,distance,0.5103785103785103,1499.0124224890023
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,50,auto,8,12,nnClassifier,2,10,adam,distance,0.5152625152625152,1499.0124862480443
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,26,auto,7,11,nnClassifier,5,10,adam,distance,0.5018315018315018,1499.0125497072004
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,22,auto,5,18,nnClassifier,5,10,adam,distance,0.5079365079365079,1499.012613226194
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,25,auto,7,10,nnClassifier,7,10,adam,distance,0.5115995115995116,1499.0126766450703
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,15,auto,17,7,nnClassifier,5,8,adam,distance,0.49572649572649574,1499.0127402541693
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,79,auto,7,15,nnClassifier,4,8,adam,distance,0.5054945054945055,1499.0128041831776
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,32,auto,6,10,nnClassifier,4,10,adam,distance,0.5128205128205128,2178.0939741341863
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,29,auto,9,14,nnClassifier,5,10,adam,distance,0.5018315018315018,2178.0940631821286
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,53,auto,9,13,nnClassifier,5,10,adam,distance,0.5018315018315018,2178.0941293910146
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,53,auto,6,9,nnClassifier,5,10,adam,distance,0.5323565323565324,2178.0941944001243
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,75,auto,6,28,nnClassifier,5,8,adam,distance,0.5115995115995116,2178.094259479083
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,20,auto,7,13,nnClassifier,7,6,adam,distance,0.5152625152625152,2178.0943240581546
relu,auto,31,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,36,auto,13,17,nnClassifier,6,5,adam,distance,0.5042735042735043,2178.094388207188
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,78,auto,7,14,nnClassifier,4,10,adam,distance,0.5067155067155067,2178.0944523459766
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,26,auto,9,19,nnClassifier,5,10,adam,distance,0.5018315018315018,2178.094516474055
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,34,auto,11,12,nnClassifier,5,8,adam,distance,0.5091575091575091,2178.094580483157
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,60,auto,6,9,nnClassifier,2,10,adam,distance,0.5115995115995116,2178.0946441921405
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,64,auto,7,24,nnClassifier,7,9,adam,distance,0.5067155067155067,2178.094708441058
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,40,auto,5,22,nnClassifier,7,10,adam,distance,0.5238095238095238,2178.094772270182
