activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,28,entropy,0,0,1,0,1,1,1,1,22,invscaling,93,auto,15,7,nnClassifier,4,7,lbfgs,distance,0.514041514041514
logistic,kd_tree,11,entropy,0,1,1,1,0,0,0,1,32,constant,68,log2,12,31,randomForestClassifier,8,1,sgd,distance,0.8608058608058609
tanh,kd_tree,32,entropy,1,1,1,1,1,1,0,0,32,adaptive,2,auto,6,27,randomForestClassifier,5,4,adam,distance,0.8144078144078144
relu,brute,12,gini,1,1,0,0,0,1,0,1,30,adaptive,87,auto,15,3,kneighborsClassifier,7,10,lbfgs,distance,0.6910866910866911
relu,ball_tree,28,gini,0,0,1,0,1,1,1,0,8,adaptive,63,sqrt,9,10,kneighborsClassifier,1,9,lbfgs,distance,0.652014652014652
logistic,ball_tree,31,gini,0,0,0,1,1,0,1,0,22,constant,60,sqrt,4,14,randomForestClassifier,3,6,adam,uniform,0.48717948717948717
identity,ball_tree,13,entropy,0,1,1,0,1,0,1,1,6,adaptive,75,sqrt,12,24,nnClassifier,10,3,lbfgs,uniform,0.5372405372405372
tanh,auto,12,gini,0,0,1,1,0,0,0,0,2,constant,77,auto,8,28,kneighborsClassifier,2,9,sgd,uniform,0.6385836385836385
identity,ball_tree,15,gini,1,1,0,1,1,1,1,0,26,adaptive,32,log2,7,8,randomForestClassifier,5,4,lbfgs,distance,0.7057387057387058
tanh,kd_tree,19,entropy,1,0,1,1,1,0,0,1,24,adaptive,31,log2,20,19,randomForestClassifier,2,2,lbfgs,distance,0.6752136752136753
logistic,auto,27,entropy,0,0,0,1,0,1,1,1,5,constant,44,sqrt,4,23,nnClassifier,4,9,adam,uniform,0.3333333333333333
