,feature_0,feature_1,feature_2,feature_3,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
89,1,1,0,1,kneighborsClassifier,None,brute,None,None,19.0,None,None,None,None,None,None,6.0,None,uniform,1.0,ok,164.37234908505343
90,1,0,0,1,kneighborsClassifier,None,brute,None,None,13.0,None,None,None,None,None,None,4.0,None,uniform,1.0,ok,164.5461324020289
91,1,0,0,1,kneighborsClassifier,None,brute,None,None,9.0,None,None,None,None,None,None,4.0,None,uniform,1.0,ok,164.71458036988042
92,1,0,0,1,kneighborsClassifier,None,brute,None,None,9.0,None,None,None,None,None,None,3.0,None,uniform,1.0,ok,164.8376309769228
93,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
94,1,0,1,1,nnClassifier,logistic,None,10.0,None,None,invscaling,None,None,None,None,4.0,None,sgd,None,0.5358796296296297,ok,167.7748506818898
95,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,98,auto,7,30,None,None,None,None,1.0,ok,168.32656104001217
96,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,94,auto,20,15,None,None,None,None,1.0,ok,168.82331574591808
97,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
98,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,83,auto,10,34,None,None,None,None,1.0,ok,169.40336001990363
99,1,1,0,1,nnClassifier,relu,None,22.0,None,None,constant,None,None,None,None,1.0,None,lbfgs,None,0.5358796296296297,ok,169.51414518803358
