activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,ball_tree,28,gini,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,36,constant,75,auto,13,29,nnClassifier,5,9,sgd,distance,0.185546875,186.58546884800307
relu,ball_tree,18,gini,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,25,constant,9,auto,18,16,nnClassifier,4,9,sgd,distance,0.986328125,186.58551825699396
tanh,ball_tree,8,gini,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,27,constant,51,auto,10,37,nnClassifier,1,10,sgd,distance,0.439453125,186.5855670669116
tanh,auto,18,gini,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,17,constant,56,auto,18,8,nnClassifier,6,7,sgd,distance,0.111328125,186.58561556600034
relu,ball_tree,12,gini,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,16,constant,95,auto,19,33,nnClassifier,5,7,sgd,distance,0.013671875,186.58566429489292
identity,ball_tree,11,gini,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,9,constant,73,auto,17,16,nnClassifier,1,9,sgd,distance,0.056640625,186.58571277395822
tanh,ball_tree,10,gini,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,28,constant,84,auto,4,18,nnClassifier,2,5,sgd,distance,0.611328125,186.58576117292978
logistic,auto,16,gini,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,23,constant,43,auto,19,26,nnClassifier,2,5,adam,distance,0.466796875,186.5858097828459
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,46,auto,18,39,nnClassifier,2,10,adam,distance,0.9921875,581.6085585530382
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,44,auto,17,24,nnClassifier,2,10,adam,distance,0.9921875,581.6086280909367
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,48,auto,18,33,nnClassifier,2,10,adam,distance,0.9921875,581.6086786808446
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,78,auto,13,38,nnClassifier,1,7,adam,distance,0.990234375,581.6087288400158
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,46,auto,18,26,nnClassifier,1,10,adam,distance,0.9921875,581.6087786289863
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,52,auto,13,12,nnClassifier,2,10,adam,distance,0.9921875,581.6088285178412
relu,auto,9,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,75,auto,17,19,nnClassifier,1,4,adam,distance,0.9921875,581.6088777268305
relu,auto,9,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,21,auto,19,37,nnClassifier,2,8,adam,distance,0.9921875,581.6089273870457
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,26,auto,13,38,nnClassifier,1,10,adam,distance,0.9921875,581.6089762358461
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,47,auto,19,17,nnClassifier,3,8,adam,distance,0.9921875,581.609024544945
relu,auto,9,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,21,auto,19,32,nnClassifier,1,9,adam,distance,0.9921875,581.6090805439744
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,31,auto,17,20,nnClassifier,2,10,adam,distance,0.990234375,581.6091288330499
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,71,auto,17,33,nnClassifier,1,10,adam,distance,0.990234375,581.6091776029207
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,13,auto,18,20,nnClassifier,1,10,adam,distance,0.9921875,581.6092259420548
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,48,auto,14,38,nnClassifier,1,10,adam,distance,0.990234375,581.6092745908536
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,52,auto,18,12,nnClassifier,4,10,adam,distance,0.990234375,581.6093231199775
relu,auto,9,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,91,auto,19,37,nnClassifier,1,10,adam,distance,0.9921875,581.6093715999741
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,69,auto,20,20,nnClassifier,3,10,adam,distance,0.9921875,581.60942009883
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,80,auto,8,22,nnClassifier,1,9,adam,distance,0.98828125,581.6094688379671
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,47,auto,20,30,nnClassifier,2,9,adam,distance,0.990234375,581.6095171668567
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,46,auto,18,39,nnClassifier,2,10,adam,distance,0.98828125,861.5267577529885
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,46,auto,16,28,nnClassifier,2,10,adam,distance,0.990234375,861.5268427419942
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,49,auto,18,37,nnClassifier,1,9,adam,distance,0.9921875,861.5268973610364
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,74,auto,17,39,nnClassifier,3,10,adam,distance,0.9921875,861.5269504999742
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,46,auto,16,30,nnClassifier,4,10,adam,distance,0.9921875,861.5270021590404
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,48,auto,17,16,nnClassifier,2,10,adam,distance,0.990234375,861.5270622679964
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,71,auto,15,23,nnClassifier,5,7,adam,distance,0.9921875,861.5271143680438
relu,auto,8,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,25,auto,19,34,nnClassifier,6,9,adam,distance,0.9921875,861.5271657370031
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,30,auto,17,38,nnClassifier,2,10,adam,distance,0.9921875,861.5272168458905
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,43,auto,17,21,nnClassifier,1,10,adam,distance,0.990234375,861.5272684348747
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,25,auto,18,36,nnClassifier,5,9,adam,distance,0.9921875,861.5273194038309
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,35,auto,17,24,nnClassifier,1,10,adam,distance,0.9921875,861.5273698328529
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,67,auto,20,36,nnClassifier,1,10,adam,distance,0.9921875,861.5274209729396
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,17,auto,18,24,nnClassifier,1,10,adam,distance,0.9921875,861.5274720119778
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,44,auto,18,39,nnClassifier,2,10,adam,distance,0.9921875,861.5275443210267
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,48,auto,18,16,nnClassifier,3,7,adam,distance,0.990234375,861.5275951698422
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,87,auto,18,36,nnClassifier,5,8,adam,distance,0.9921875,861.5276457590517
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,67,auto,17,24,nnClassifier,1,10,adam,distance,0.98828125,861.5276962779462
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,76,auto,12,26,nnClassifier,1,10,adam,distance,0.9921875,861.5277464168612
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,43,auto,17,34,nnClassifier,2,9,adam,distance,0.990234375,861.5277960058302
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,46,auto,18,39,nnClassifier,2,10,adam,distance,0.98828125,1117.7625447988976
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,48,auto,14,32,nnClassifier,2,10,adam,distance,0.990234375,1117.7626133880112
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,53,auto,18,40,nnClassifier,2,6,adam,distance,0.9921875,1117.7626653069165
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,70,auto,19,39,nnClassifier,1,10,adam,distance,0.990234375,1117.7627173059154
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,47,auto,18,26,nnClassifier,2,9,adam,distance,0.990234375,1117.7627709158696
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,45,auto,13,20,nnClassifier,2,9,adam,distance,0.990234375,1117.7628238948528
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,67,auto,12,27,nnClassifier,3,10,adam,distance,0.990234375,1117.762874054024
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,27,auto,19,38,nnClassifier,2,5,adam,distance,0.990234375,1117.762924152892
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,30,auto,13,34,nnClassifier,1,10,adam,distance,0.990234375,1117.7629739718977
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,45,auto,19,25,nnClassifier,2,9,adam,distance,0.9921875,1117.7630243010353
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,29,auto,17,34,nnClassifier,2,5,adam,distance,0.990234375,1117.763080160832
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,38,auto,17,26,nnClassifier,2,10,adam,distance,0.9921875,1117.7631307500415
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,63,auto,16,36,nnClassifier,1,10,adam,distance,0.9921875,1117.7631810989697
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,21,auto,18,20,nnClassifier,5,9,adam,distance,0.9921875,1117.7632312178612
relu,auto,9,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,48,auto,15,39,nnClassifier,1,10,adam,distance,0.990234375,1117.7632810568903
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,52,auto,18,20,nnClassifier,6,6,adam,distance,0.990234375,1117.7633314768318
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,83,auto,19,32,nnClassifier,7,6,adam,distance,0.98828125,1117.7633816159796
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,63,auto,16,20,nnClassifier,1,10,adam,distance,0.9921875,1117.7634317248594
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,72,auto,16,30,nnClassifier,3,10,adam,distance,0.9921875,1117.7634817040525
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,43,auto,17,30,nnClassifier,2,5,adam,distance,0.990234375,1117.7635321728885
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,46,auto,18,39,nnClassifier,2,10,adam,distance,0.98828125,1393.9738827089313
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,49,auto,14,28,nnClassifier,2,10,adam,distance,0.990234375,1393.973950607935
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,53,auto,18,36,nnClassifier,2,10,adam,distance,0.990234375,1393.9740018169396
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,66,auto,16,38,nnClassifier,1,8,adam,distance,0.9921875,1393.9740627158899
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,47,auto,14,30,nnClassifier,2,9,adam,distance,0.9921875,1393.9741131458431
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,49,auto,13,24,nnClassifier,2,10,adam,distance,0.990234375,1393.9741629350465
relu,auto,9,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,67,auto,16,31,nnClassifier,2,6,adam,distance,0.990234375,1393.9742127838545
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,31,auto,18,37,nnClassifier,4,8,adam,distance,0.9921875,1393.974262972828
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,34,auto,15,38,nnClassifier,2,10,adam,distance,0.9921875,1393.9743129420094
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,43,auto,19,29,nnClassifier,2,8,adam,distance,0.9921875,1393.9743629018776
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,33,auto,20,38,nnClassifier,3,6,adam,distance,0.9921875,1393.9744127909653
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,34,auto,18,30,nnClassifier,2,10,adam,distance,0.990234375,1393.9744624199811
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,65,auto,19,37,nnClassifier,2,10,adam,distance,0.9921875,1393.974512449
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,21,auto,18,24,nnClassifier,4,10,adam,distance,0.98828125,1393.9745619378518
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,49,auto,13,39,nnClassifier,1,10,adam,distance,0.9921875,1393.9746115880553
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,51,auto,18,23,nnClassifier,2,10,adam,distance,0.990234375,1393.9746609369759
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,79,auto,18,36,nnClassifier,3,8,adam,distance,0.990234375,1393.974710265873
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,constant,67,auto,20,24,nnClassifier,1,8,adam,distance,0.9921875,1393.9747595649678
relu,auto,10,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,68,auto,15,26,nnClassifier,2,10,adam,distance,0.990234375,1393.9748088738415
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,44,auto,20,34,nnClassifier,2,3,adam,distance,0.990234375,1393.974858402973
