activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,41,auto,18,12,nnClassifier,8,7,adam,distance,0.990234375,681.8962039670441
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,56,auto,16,9,nnClassifier,9,7,adam,distance,0.9921875,681.8962530258577
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,52,auto,17,22,nnClassifier,9,7,adam,distance,0.990234375,681.8963024348486
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,51,auto,18,28,nnClassifier,10,6,adam,distance,0.9921875,681.8963515048381
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,80,auto,14,4,nnClassifier,6,7,adam,distance,0.9921875,681.8964005238377
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,45,auto,18,11,nnClassifier,9,10,adam,distance,0.990234375,681.8964501528535
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,68,auto,15,20,nnClassifier,8,5,adam,distance,0.990234375,681.896499583032
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,46,auto,12,8,nnClassifier,10,8,adam,distance,0.990234375,681.8965490718838
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,18,auto,9,14,nnClassifier,7,7,adam,distance,0.990234375,681.8965987008996
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,53,auto,11,19,nnClassifier,6,4,adam,distance,0.990234375,824.8656007319223
