activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,70,auto,12,28,nnClassifier,3,2,adam,distance,0.38278388278388276,708.1329199799802
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,82,auto,10,32,nnClassifier,4,3,adam,distance,0.38278388278388276,708.1329767289571
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,35,auto,15,36,nnClassifier,6,5,adam,distance,0.358974358974359,708.1330328090116
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,17,auto,9,34,nnClassifier,1,4,adam,distance,0.3553113553113553,708.1330883479677
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,25,auto,13,37,nnClassifier,2,5,adam,distance,0.3553113553113553,708.1331438769121
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,86,auto,11,25,nnClassifier,3,5,adam,distance,0.3901098901098901,708.1331991469488
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,62,auto,8,21,nnClassifier,1,5,adam,distance,0.38278388278388276,708.1332542160526
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,77,auto,10,15,nnClassifier,2,3,adam,distance,0.38461538461538464,708.1333163960371
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,25,auto,13,37,nnClassifier,1,3,adam,distance,0.3882783882783883,708.1333713550121
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,84,auto,11,37,nnClassifier,2,2,adam,distance,0.38644688644688646,708.1334267640486
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,30,auto,10,15,nnClassifier,3,2,adam,distance,0.38278388278388276,708.1334821640048
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,83,auto,11,37,nnClassifier,2,3,adam,distance,0.3626373626373626,708.1335369530134
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,62,auto,17,34,nnClassifier,9,5,adam,distance,0.37362637362637363,708.1336047919467
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,16,auto,12,18,nnClassifier,2,5,adam,distance,0.34798534798534797,708.1336600119248
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,71,auto,11,31,nnClassifier,2,3,adam,distance,0.38278388278388276,708.1337149508763
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,19,auto,8,16,nnClassifier,1,5,adam,distance,0.38644688644688646,708.1337695110124
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,71,auto,13,36,nnClassifier,3,6,adam,distance,0.3882783882783883,708.1338248800021
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,59,auto,10,35,nnClassifier,2,5,adam,distance,0.3553113553113553,708.1338797588833
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,65,auto,13,30,nnClassifier,4,9,adam,distance,0.3956043956043956,708.1339347788598
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,77,auto,12,37,nnClassifier,2,3,adam,distance,0.3553113553113553,1180.3627891959623
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,66,auto,9,32,nnClassifier,4,6,adam,distance,0.3553113553113553,1180.362859094981
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,82,auto,12,32,nnClassifier,2,4,adam,distance,0.35714285714285715,1180.3629155738745
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,31,auto,12,36,nnClassifier,6,4,adam,distance,0.3516483516483517,1180.3629713838454
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,21,auto,11,32,nnClassifier,5,3,adam,distance,0.38278388278388276,1180.363026282983
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,29,auto,11,33,nnClassifier,2,1,adam,distance,0.3315018315018315,1180.363080662908
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,90,auto,7,29,nnClassifier,1,7,adam,distance,0.3553113553113553,1180.363135362044
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,66,auto,12,25,nnClassifier,5,7,adam,distance,0.3956043956043956,1180.3631900008768
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,81,auto,11,18,nnClassifier,2,7,adam,distance,0.3424908424908425,1180.3632445810363
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,29,auto,9,37,nnClassifier,5,3,adam,distance,0.3882783882783883,1180.363299109973
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,83,auto,11,37,nnClassifier,1,3,adam,distance,0.3498168498168498,1180.3633536698762
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,34,auto,7,19,nnClassifier,3,3,adam,distance,0.3608058608058608,1180.363408338977
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,83,auto,11,37,nnClassifier,2,3,adam,distance,0.3626373626373626,1180.3634627880529
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,58,auto,17,32,nnClassifier,5,6,adam,distance,0.3717948717948718,1180.36351723806
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,20,auto,12,22,nnClassifier,6,4,adam,distance,0.3498168498168498,1180.363581876969
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,75,auto,11,30,nnClassifier,3,4,adam,distance,0.3424908424908425,1180.3636366759893
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,23,auto,12,20,nnClassifier,1,2,adam,distance,0.38278388278388276,1180.3636911958456
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,67,auto,9,39,nnClassifier,4,4,adam,distance,0.3608058608058608,1180.363745765062
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,63,auto,11,37,nnClassifier,2,3,adam,distance,0.3424908424908425,1180.3638007738627
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,61,auto,17,30,nnClassifier,5,5,adam,distance,0.358974358974359,1180.3638557039667
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,76,auto,13,37,nnClassifier,2,5,adam,distance,0.3608058608058608,1660.9003858340438
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,63,auto,11,28,nnClassifier,1,6,adam,distance,0.3608058608058608,1660.9004546229262
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,83,auto,12,31,nnClassifier,1,2,adam,distance,0.3424908424908425,1660.9005109518766
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,35,auto,10,38,nnClassifier,10,4,adam,distance,0.34798534798534797,1660.9005786220077
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,25,auto,12,35,nnClassifier,5,4,adam,distance,0.37362637362637363,1660.9006341409404
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,25,auto,11,33,nnClassifier,2,5,adam,distance,0.3424908424908425,1660.9006890598685
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,91,auto,11,26,nnClassifier,1,3,adam,distance,0.38278388278388276,1660.9007438400295
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,70,auto,15,23,nnClassifier,3,3,adam,distance,0.358974358974359,1660.900798409013
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,77,auto,12,22,nnClassifier,2,4,adam,distance,0.3534798534798535,1660.9008529488929
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,33,auto,8,36,nnClassifier,5,3,adam,distance,0.3553113553113553,1660.9009071278851
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,84,auto,11,37,nnClassifier,1,2,adam,distance,0.38278388278388276,1660.900961686857
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,32,auto,11,19,nnClassifier,3,1,adam,distance,0.3553113553113553,1660.9010161869228
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,83,auto,11,37,nnClassifier,2,3,adam,distance,0.3626373626373626,1660.9010708159767
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,54,auto,16,29,nnClassifier,6,3,adam,distance,0.3498168498168498,1660.9011250848416
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,16,auto,12,18,nnClassifier,6,4,adam,distance,0.3516483516483517,1660.901179234963
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,74,auto,11,34,nnClassifier,1,4,adam,distance,0.3626373626373626,1660.9012338640168
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,27,auto,8,24,nnClassifier,3,6,adam,distance,0.38278388278388276,1660.9012881240342
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,63,auto,9,36,nnClassifier,4,3,adam,distance,0.35714285714285715,1660.901342503028
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,61,auto,12,37,nnClassifier,2,4,adam,distance,0.3315018315018315,1660.901396771893
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,57,auto,16,34,nnClassifier,1,7,adam,distance,0.3498168498168498,1660.9014580219518
