activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,brute,17,gini,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,26,constant,22,sqrt,7,12,randomForestClassifier,10,6,adam,uniform,0.9413919413919414,128.08211155002937
identity,brute,30,gini,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,14,constant,19,auto,12,21,nnClassifier,10,6,sgd,distance,0.2509157509157509,128.08216635906138
logistic,brute,20,entropy,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,15,invscaling,75,sqrt,14,11,nnClassifier,10,6,sgd,distance,0.2893772893772894,128.08222176809795
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,36,auto,6,22,nnClassifier,10,7,adam,distance,0.8388278388278388,276.64042947394773
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,50,auto,10,13,nnClassifier,9,4,adam,distance,0.989010989010989,276.64050224306993
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,68,auto,11,17,nnClassifier,10,8,adam,distance,0.9798534798534798,276.6405579810962
relu,auto,13,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,85,auto,14,16,nnClassifier,8,7,adam,distance,0.21794871794871795,276.6406276701018
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,81,auto,9,24,nnClassifier,10,5,adam,distance,0.9816849816849816,276.6406827389728
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,56,auto,4,15,nnClassifier,7,5,adam,distance,0.0,276.64073841809295
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,57,auto,9,10,nnClassifier,7,5,adam,distance,0.8644688644688645,276.6407925870735
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,constant,62,auto,10,22,nnClassifier,8,2,adam,distance,0.3076923076923077,276.6408476161305
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,24,auto,8,20,nnClassifier,9,8,adam,distance,0.9816849816849816,276.6409022640437
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,29,auto,8,12,nnClassifier,7,7,adam,distance,0.8351648351648352,276.64095662301406
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,60,auto,10,26,nnClassifier,10,8,adam,distance,0.0,276.6410107121337
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,43,auto,8,16,nnClassifier,10,1,adam,distance,0.315018315018315,276.6410643409472
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,50,auto,8,28,nnClassifier,10,7,adam,distance,0.8443223443223443,276.6411183299497
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,49,auto,9,14,nnClassifier,10,6,adam,distance,0.9816849816849816,276.6411725990474
relu,auto,30,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,49,auto,11,21,nnClassifier,10,7,adam,distance,0.86996336996337,276.6412266679108
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,24,auto,12,15,nnClassifier,10,7,adam,distance,0.978021978021978,276.64128112699836
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,81,auto,10,17,nnClassifier,10,7,adam,distance,0.9835164835164835,276.64133567595854
