activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,20,mse,1,1,1,0,1,1,0,0,0,1,0,1,1,0,15,constant,48,auto,18,21,kneighborsRegressor,7,1,lbfgs,distance,0.4989313821697682
tanh,ball_tree,26,poisson,1,1,0,0,1,1,1,0,0,0,1,0,1,0,36,constant,14,sqrt,5,22,nnRegressor,8,8,adam,distance,0.7199363927489173
tanh,brute,21,mse,0,0,0,0,0,1,1,0,0,0,1,1,1,0,8,adaptive,29,auto,2,24,randomForestRegressor,9,7,lbfgs,distance,0.6540430012340566
tanh,auto,16,mae,1,1,0,1,1,1,0,1,1,1,1,0,0,1,24,constant,93,log2,11,14,kneighborsRegressor,3,3,adam,uniform,0.6550883108116068
relu,ball_tree,15,mse,1,1,0,1,0,1,0,1,0,1,1,1,0,0,12,constant,96,auto,13,29,kneighborsRegressor,10,1,adam,uniform,0.4408112671848746
relu,brute,16,poisson,0,0,0,0,1,0,0,0,1,1,1,1,0,0,2,constant,92,sqrt,12,6,kneighborsRegressor,8,8,sgd,uniform,0.5979713536829081
logistic,kd_tree,24,mae,0,1,1,1,0,0,0,0,0,1,0,0,1,0,31,constant,69,log2,4,6,randomForestRegressor,8,4,adam,distance,0.6720688151665315
tanh,kd_tree,17,mae,0,0,1,1,1,1,1,0,1,0,1,0,0,0,37,adaptive,86,log2,13,36,nnRegressor,5,6,sgd,uniform,0.5449964424698689
relu,kd_tree,31,mae,1,0,0,0,0,0,0,1,1,0,1,1,1,0,22,invscaling,12,log2,4,32,kneighborsRegressor,6,5,lbfgs,uniform,0.647164579292804
identity,auto,9,poisson,1,0,1,1,1,1,0,0,0,1,0,1,1,1,38,adaptive,60,log2,14,30,nnRegressor,3,6,adam,uniform,0.7095733973229523
tanh,kd_tree,16,mse,1,1,1,0,1,1,1,0,1,1,1,1,1,1,27,constant,75,sqrt,2,31,nnRegressor,1,8,adam,uniform,0.7759583965226144
identity,brute,12,mse,1,1,0,1,1,1,0,1,1,0,1,0,0,0,20,adaptive,66,auto,14,28,randomForestRegressor,7,6,adam,distance,0.6170788614429039
relu,kd_tree,32,poisson,1,0,0,1,1,1,1,1,0,0,1,1,1,0,7,adaptive,13,sqrt,13,36,kneighborsRegressor,4,7,adam,distance,0.651789362617607
relu,brute,25,mse,0,1,0,1,0,0,0,0,1,1,1,0,1,1,9,constant,57,log2,20,16,kneighborsRegressor,10,6,lbfgs,uniform,0.6904728648560641
