activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,12,gini,1,1,0,0,0,14,adaptive,66,auto,5,19,kneighborsClassifier,3,6,lbfgs,uniform,0.9242636746143057
relu,ball_tree,13,gini,0,0,1,1,0,20,constant,18,sqrt,9,4,nnClassifier,3,8,sgd,uniform,0.5133239831697055
relu,auto,24,entropy,0,1,1,1,0,3,constant,100,log2,7,4,randomForestClassifier,5,1,lbfgs,uniform,0.7769985974754559
tanh,brute,24,entropy,0,1,1,0,0,32,constant,81,log2,7,3,nnClassifier,5,6,adam,distance,0.5007012622720898
tanh,auto,31,entropy,1,0,1,0,1,21,adaptive,48,log2,14,5,randomForestClassifier,5,8,sgd,uniform,0.938288920056101
identity,kd_tree,16,gini,0,0,1,1,0,25,constant,63,auto,6,20,kneighborsClassifier,4,7,sgd,uniform,0.761570827489481
relu,auto,16,gini,0,0,1,1,1,4,invscaling,67,sqrt,4,9,kneighborsClassifier,8,6,lbfgs,uniform,0.8092566619915849
relu,brute,25,gini,1,1,1,0,1,22,constant,16,sqrt,14,36,kneighborsClassifier,9,1,sgd,distance,0.908835904628331
identity,kd_tree,24,entropy,0,0,0,1,1,18,constant,52,log2,6,21,nnClassifier,3,7,sgd,distance,0.5399719495091164
tanh,kd_tree,17,gini,1,0,0,0,0,31,invscaling,19,sqrt,18,7,randomForestClassifier,10,4,lbfgs,distance,0.9354838709677419
relu,auto,12,gini,0,1,1,1,1,22,invscaling,64,sqrt,11,29,kneighborsClassifier,1,9,adam,distance,0.7685834502103787
identity,brute,16,entropy,0,1,0,0,1,40,constant,41,sqrt,15,14,nnClassifier,10,1,lbfgs,uniform,0.5301542776998598
logistic,auto,29,gini,1,0,0,0,0,21,constant,63,log2,5,12,kneighborsClassifier,1,7,lbfgs,uniform,0.9368863955119214
tanh,brute,15,gini,0,0,0,0,1,13,constant,37,sqrt,3,6,randomForestClassifier,6,3,adam,uniform,0.697054698457223
relu,auto,11,gini,0,0,0,0,0,14,adaptive,76,sqrt,14,11,randomForestClassifier,9,10,sgd,uniform,0
tanh,ball_tree,21,gini,0,1,1,0,1,2,invscaling,25,log2,4,11,nnClassifier,10,5,adam,distance,0.5133239831697055
relu,kd_tree,12,gini,0,1,1,0,0,12,invscaling,64,auto,8,31,kneighborsClassifier,9,9,sgd,distance,0.49368863955119213
logistic,brute,30,entropy,1,0,0,0,1,4,invscaling,100,sqrt,13,21,kneighborsClassifier,8,5,sgd,uniform,0.9424964936886395
identity,kd_tree,30,entropy,0,0,0,0,1,25,adaptive,58,auto,11,38,kneighborsClassifier,5,1,adam,uniform,0.5694249649368864
identity,brute,12,entropy,1,1,0,0,1,22,invscaling,7,sqrt,15,10,nnClassifier,5,10,lbfgs,distance,0.5245441795231417
identity,ball_tree,11,gini,1,0,0,1,1,4,constant,22,log2,17,23,kneighborsClassifier,8,2,lbfgs,distance,0.9116409537166901
relu,ball_tree,18,gini,0,1,0,1,1,4,constant,54,log2,7,4,nnClassifier,5,7,adam,uniform,0.5371669004207573
