activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,17,entropy,0,0,13,adaptive,9,auto,7,24,kneighborsClassifier,1,7,sgd,uniform,0
tanh,auto,30,entropy,0,1,15,invscaling,32,sqrt,6,38,nnClassifier,5,1,lbfgs,distance,0.48867924528301887
identity,kd_tree,30,entropy,1,0,4,constant,67,auto,6,30,nnClassifier,9,5,sgd,uniform,0.5452830188679245
logistic,brute,19,gini,1,1,19,constant,64,log2,8,24,nnClassifier,10,10,sgd,distance,0.5641509433962264
logistic,kd_tree,10,entropy,1,0,32,adaptive,97,log2,18,16,randomForestClassifier,8,10,adam,distance,0.6018867924528302
identity,brute,26,entropy,1,1,38,invscaling,36,auto,10,33,nnClassifier,8,9,sgd,uniform,0.530188679245283
identity,auto,23,gini,0,1,7,invscaling,73,log2,8,25,kneighborsClassifier,9,10,sgd,uniform,0.7037735849056603
tanh,brute,26,entropy,1,1,28,adaptive,73,auto,4,34,randomForestClassifier,9,10,sgd,uniform,0.8905660377358491
logistic,ball_tree,16,gini,1,1,20,constant,30,sqrt,10,28,nnClassifier,4,6,adam,distance,0.4867924528301887
logistic,auto,11,gini,0,0,13,constant,98,sqrt,5,11,randomForestClassifier,7,3,sgd,uniform,0
relu,auto,13,entropy,1,0,20,adaptive,43,log2,13,31,kneighborsClassifier,2,10,adam,uniform,0.5924528301886792
identity,ball_tree,8,entropy,1,1,24,adaptive,14,auto,14,7,kneighborsClassifier,8,10,adam,distance,0.8962264150943396
tanh,kd_tree,11,entropy,1,0,40,invscaling,63,sqrt,18,14,kneighborsClassifier,1,4,adam,uniform,0.6169811320754717
relu,kd_tree,13,gini,1,1,15,invscaling,51,log2,18,5,randomForestClassifier,2,3,sgd,distance,0.8886792452830189
logistic,auto,22,gini,1,0,18,invscaling,67,sqrt,2,7,randomForestClassifier,7,2,adam,distance,0.5584905660377358
identity,ball_tree,9,gini,1,0,37,invscaling,56,sqrt,16,13,randomForestClassifier,5,10,adam,uniform,0.5924528301886792
identity,auto,16,gini,1,1,35,invscaling,16,auto,2,33,nnClassifier,10,9,sgd,uniform,0.5188679245283019
relu,auto,20,entropy,0,0,25,adaptive,93,sqrt,14,35,randomForestClassifier,9,10,adam,distance,0
identity,brute,29,entropy,1,1,40,adaptive,43,auto,16,19,kneighborsClassifier,10,1,lbfgs,distance,0.8679245283018868
tanh,kd_tree,13,entropy,1,0,35,adaptive,94,auto,7,33,kneighborsClassifier,5,8,adam,distance,0.5471698113207547
identity,brute,9,gini,1,1,24,adaptive,2,auto,12,32,nnClassifier,9,1,adam,uniform,0.5207547169811321
logistic,ball_tree,27,entropy,0,1,28,invscaling,78,auto,2,17,kneighborsClassifier,5,10,sgd,distance,0.6754716981132075
logistic,kd_tree,28,entropy,0,0,34,constant,21,auto,14,3,randomForestClassifier,10,8,sgd,uniform,0
tanh,kd_tree,13,entropy,0,0,31,constant,60,log2,4,36,nnClassifier,9,9,sgd,uniform,0
identity,kd_tree,16,gini,1,0,35,invscaling,41,sqrt,8,40,nnClassifier,1,7,sgd,distance,0.07358490566037736
identity,ball_tree,15,entropy,0,1,39,invscaling,15,log2,19,30,nnClassifier,6,9,adam,uniform,0.5226415094339623
relu,brute,31,gini,0,1,3,constant,33,sqrt,17,19,kneighborsClassifier,1,6,adam,distance,0.6773584905660377
identity,brute,13,gini,1,0,7,constant,75,sqrt,10,12,nnClassifier,4,7,sgd,distance,0.5415094339622641
identity,ball_tree,18,entropy,0,1,2,adaptive,76,sqrt,5,21,kneighborsClassifier,8,9,lbfgs,distance,0.6867924528301886
tanh,kd_tree,15,entropy,1,1,15,constant,45,sqrt,5,40,randomForestClassifier,4,10,adam,distance,0.8924528301886793
tanh,auto,30,gini,0,1,19,invscaling,93,sqrt,16,23,randomForestClassifier,4,4,sgd,uniform,0.7169811320754716
tanh,auto,14,gini,0,1,30,invscaling,95,log2,6,14,kneighborsClassifier,1,8,sgd,distance,0.6811320754716981
identity,kd_tree,32,entropy,0,0,13,invscaling,70,log2,4,40,kneighborsClassifier,4,8,adam,distance,0
relu,kd_tree,23,entropy,1,1,11,adaptive,54,log2,19,21,randomForestClassifier,6,9,lbfgs,uniform,0.8849056603773585
identity,auto,24,gini,0,0,17,constant,63,auto,4,23,randomForestClassifier,9,4,lbfgs,uniform,0
tanh,brute,22,entropy,0,0,4,constant,76,sqrt,13,26,kneighborsClassifier,3,8,lbfgs,uniform,0
identity,ball_tree,12,entropy,1,0,15,constant,44,sqrt,5,14,nnClassifier,10,4,adam,distance,0.5471698113207547
relu,brute,9,entropy,1,1,19,adaptive,61,auto,10,28,kneighborsClassifier,8,6,lbfgs,distance,0.8867924528301887
tanh,ball_tree,28,entropy,1,0,7,constant,2,auto,15,10,kneighborsClassifier,8,8,adam,distance,0.5452830188679245
tanh,brute,20,entropy,1,1,23,constant,90,sqrt,18,11,kneighborsClassifier,6,9,adam,distance,0.9037735849056604
relu,auto,16,gini,0,1,32,invscaling,23,sqrt,6,6,nnClassifier,7,8,lbfgs,uniform,0.4867924528301887
relu,brute,32,gini,1,1,28,adaptive,56,log2,7,28,randomForestClassifier,4,4,lbfgs,distance,0.8924528301886793
tanh,ball_tree,23,gini,0,1,29,constant,1,auto,13,11,kneighborsClassifier,1,6,lbfgs,distance,0.6811320754716981
tanh,ball_tree,11,gini,1,0,24,adaptive,58,log2,9,10,kneighborsClassifier,6,2,sgd,uniform,0.6245283018867924
tanh,auto,25,gini,1,1,39,invscaling,63,log2,11,31,nnClassifier,9,7,adam,distance,0.4849056603773585
tanh,auto,8,gini,0,0,20,adaptive,52,sqrt,10,13,kneighborsClassifier,8,5,lbfgs,uniform,0
tanh,auto,10,entropy,1,1,21,constant,83,sqrt,10,16,nnClassifier,7,8,sgd,uniform,0.47547169811320755
relu,kd_tree,16,entropy,1,1,10,constant,75,sqrt,10,22,randomForestClassifier,10,8,adam,distance,0.8886792452830189
logistic,auto,25,gini,0,0,34,constant,24,log2,5,20,nnClassifier,6,8,adam,distance,0
identity,kd_tree,20,entropy,1,1,19,adaptive,57,auto,4,37,nnClassifier,6,9,lbfgs,distance,0.5320754716981132
relu,brute,31,gini,1,0,17,invscaling,76,log2,7,16,randomForestClassifier,1,1,adam,uniform,0.5622641509433962
identity,ball_tree,8,gini,1,0,22,invscaling,43,sqrt,13,38,nnClassifier,5,10,adam,distance,0.5056603773584906
identity,kd_tree,9,gini,1,1,18,adaptive,77,auto,4,28,nnClassifier,9,9,sgd,distance,0.5358490566037736
identity,auto,15,entropy,1,1,21,constant,86,log2,6,36,kneighborsClassifier,10,2,adam,uniform,0.8962264150943396
relu,brute,10,entropy,0,0,26,constant,70,sqrt,5,32,nnClassifier,9,4,adam,distance,0
tanh,ball_tree,20,gini,0,1,36,constant,92,log2,5,3,kneighborsClassifier,4,3,sgd,uniform,0.6660377358490566
tanh,brute,23,entropy,1,1,4,invscaling,32,sqrt,5,36,randomForestClassifier,5,1,lbfgs,uniform,0.8905660377358491
logistic,kd_tree,8,gini,0,1,14,invscaling,24,auto,14,27,randomForestClassifier,2,7,lbfgs,uniform,0.7188679245283018
logistic,kd_tree,29,gini,0,0,33,invscaling,80,log2,11,22,kneighborsClassifier,2,6,adam,distance,0
tanh,auto,19,gini,0,0,6,invscaling,83,log2,3,16,randomForestClassifier,5,4,sgd,distance,0
relu,brute,32,gini,1,1,19,adaptive,81,sqrt,13,11,kneighborsClassifier,3,7,adam,uniform,0.9018867924528302
logistic,ball_tree,20,gini,1,1,20,constant,55,sqrt,6,19,nnClassifier,4,3,lbfgs,uniform,0.4867924528301887
logistic,brute,13,gini,1,0,28,adaptive,11,log2,3,5,randomForestClassifier,2,2,lbfgs,uniform,0.6150943396226415
