activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,10,gini,1,0,4,adaptive,54,sqrt,12,15,randomForestClassifier,9,5,lbfgs,distance,0.5792452830188679
tanh,brute,11,entropy,0,1,39,constant,6,auto,19,10,kneighborsClassifier,4,4,lbfgs,distance,0.6641509433962264
logistic,auto,32,gini,0,1,34,invscaling,59,log2,20,39,nnClassifier,6,6,lbfgs,uniform,0.4849056603773585
logistic,ball_tree,14,entropy,1,1,24,constant,88,sqrt,20,23,randomForestClassifier,9,6,sgd,distance,0.8943396226415095
tanh,brute,12,gini,0,0,12,adaptive,76,sqrt,3,25,nnClassifier,3,1,adam,distance,0
logistic,auto,20,entropy,0,1,34,adaptive,22,auto,12,37,kneighborsClassifier,8,4,adam,uniform,0.6528301886792452
identity,brute,22,gini,0,0,13,adaptive,69,auto,4,3,nnClassifier,9,3,lbfgs,distance,0
relu,kd_tree,16,gini,0,1,7,adaptive,26,sqrt,11,23,randomForestClassifier,3,7,sgd,uniform,0.6830188679245283
logistic,kd_tree,26,entropy,1,0,32,invscaling,36,log2,17,4,kneighborsClassifier,5,10,lbfgs,uniform,0.5811320754716981
identity,kd_tree,15,entropy,1,0,32,constant,62,log2,6,7,randomForestClassifier,5,1,sgd,distance,0.5490566037735849
logistic,auto,15,gini,1,1,33,constant,12,sqrt,4,32,randomForestClassifier,9,3,lbfgs,distance,0.9
tanh,brute,24,gini,0,0,33,constant,74,log2,6,34,nnClassifier,8,3,adam,distance,0
relu,kd_tree,26,entropy,1,0,32,constant,71,sqrt,9,24,nnClassifier,2,6,adam,uniform,0.5566037735849056
tanh,kd_tree,27,entropy,0,1,4,constant,28,sqrt,9,35,nnClassifier,9,3,lbfgs,distance,0.4849056603773585
identity,brute,17,gini,1,0,34,adaptive,95,log2,16,7,randomForestClassifier,2,1,sgd,uniform,0.5924528301886792
logistic,kd_tree,13,gini,1,0,18,constant,25,auto,7,19,nnClassifier,5,3,adam,uniform,0.5622641509433962
logistic,ball_tree,24,entropy,0,1,12,constant,98,sqrt,9,11,randomForestClassifier,10,3,sgd,uniform,0.6811320754716981
logistic,kd_tree,14,gini,0,1,21,adaptive,99,auto,18,5,nnClassifier,3,4,sgd,distance,0.5830188679245283
identity,brute,12,entropy,1,1,9,constant,33,sqrt,7,13,nnClassifier,4,3,adam,distance,0.5452830188679245
tanh,ball_tree,20,gini,1,0,4,adaptive,24,auto,14,32,nnClassifier,1,7,adam,uniform,0.5584905660377358
identity,kd_tree,18,entropy,1,0,17,constant,69,log2,11,21,nnClassifier,2,1,lbfgs,distance,0.5849056603773585
tanh,kd_tree,10,gini,0,0,9,invscaling,8,auto,5,27,nnClassifier,4,3,lbfgs,uniform,0
identity,auto,8,gini,0,0,16,invscaling,45,sqrt,6,12,nnClassifier,5,9,lbfgs,distance,0
