activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,30,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,constant,75,auto,14,31,nnClassifier,7,8,adam,distance,0.2129798903107861,1008.5996029339731
relu,auto,32,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,30,auto,11,11,nnClassifier,9,8,adam,distance,0.28884826325411334,1008.5996608929709
relu,auto,31,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,92,auto,10,22,nnClassifier,8,10,adam,distance,0.27513711151736747,1008.5997191118076
relu,auto,32,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,86,auto,14,13,nnClassifier,6,10,adam,distance,0.23217550274223034,1008.5997772607952
relu,auto,30,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,67,auto,10,14,nnClassifier,6,2,adam,distance,0.19195612431444242,1008.5998356209602
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,70,auto,13,28,nnClassifier,5,6,adam,distance,0.31992687385740404,2009.1361316707917
relu,auto,31,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,69,auto,14,15,nnClassifier,10,10,adam,distance,0.29341864716636196,2009.1362118299585
relu,auto,32,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,79,auto,10,27,nnClassifier,9,8,adam,distance,0.2861060329067642,2009.1362722287886
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,69,auto,12,21,nnClassifier,7,6,adam,distance,0.2861060329067642,2009.1363316178322
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,15,auto,10,15,nnClassifier,6,6,adam,distance,0.24223034734917734,2009.1363904669415
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,75,auto,12,23,nnClassifier,10,6,adam,distance,0.30438756855575866,2009.136458045803
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,62,auto,12,24,nnClassifier,8,8,adam,distance,0.30347349177330896,2009.1365179859567
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,72,auto,14,15,nnClassifier,10,7,adam,distance,0.2842778793418647,2009.136576804798
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,45,auto,9,26,nnClassifier,9,8,adam,distance,0.30438756855575866,2009.1366355440114
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,71,auto,12,16,nnClassifier,8,8,adam,distance,0.2861060329067642,2009.1366944729816
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,constant,69,auto,16,29,nnClassifier,3,8,adam,distance,0.27696526508226693,2009.136753611965
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,40,auto,13,23,nnClassifier,10,4,adam,distance,0.27787934186471663,2009.1368124010041
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,49,auto,12,27,nnClassifier,10,10,adam,distance,0.2851919561243144,2009.1368707509246
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,constant,70,auto,10,15,nnClassifier,9,8,adam,distance,0.31078610603290674,2009.136929419823
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,77,auto,12,12,nnClassifier,4,8,adam,distance,0.31352833638025596,2009.1369885688182
relu,auto,30,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,constant,71,auto,11,27,nnClassifier,8,9,adam,distance,0.27879341864716634,2009.1370559779461
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,34,auto,9,10,nnClassifier,5,4,adam,distance,0.2842778793418647,2009.1371143870056
relu,auto,32,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,88,auto,10,25,nnClassifier,9,9,adam,distance,0.30987202925045704,2009.1371726058424
relu,auto,30,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,82,auto,13,17,nnClassifier,10,8,adam,distance,0.31078610603290674,2009.1372311159503
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,65,auto,11,18,nnClassifier,10,6,adam,distance,0.31078610603290674,2009.1372894549277
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,67,auto,12,24,nnClassifier,5,8,adam,distance,0.3007312614259598,2965.913578918902
