,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
64,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,kneighborsClassifier,None,brute,None,None,15,None,None,None,None,None,None,7,None,distance,0.6127450980392157,ok,189.78176696691662
65,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,34,None,None,None,None,None,None,5,None,distance,0.6225490196078431,ok,189.92133926902898
66,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,34,None,None,None,None,None,None,4,None,distance,0.6176470588235294,ok,190.0603209089022
67,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,27,None,None,None,None,None,None,6,None,distance,0.6225490196078431,ok,190.26830223901197
68,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,27,None,None,None,None,None,None,6,None,distance,0.6225490196078431,ok,190.40810695895925
69,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,28,None,None,None,None,None,None,8,None,distance,0.6029411764705882,ok,190.5482866850216
70,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,32,None,None,None,None,None,None,8,None,distance,0.6029411764705882,ok,190.6872573250439
71,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,27,None,None,None,None,None,None,6,None,distance,0.6225490196078431,ok,190.8261889850255
72,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,22,None,None,None,None,None,None,7,None,distance,0.619281045751634,ok,191.0348666969221
73,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,38,None,None,None,None,None,None,4,None,distance,0.6176470588235294,ok,191.1742404520046
74,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,23,None,None,None,None,None,None,3,None,distance,0.6127450980392157,ok,191.29585515288636
75,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,29,None,None,None,None,None,None,6,None,distance,0.6225490196078431,ok,191.4354454050772
76,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,23,None,None,None,None,None,None,9,None,distance,0.5931372549019608,ok,191.57752165896818
77,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,nnClassifier,logistic,None,32.0,None,None,adaptive,None,None,None,None,9.0,None,lbfgs,None,0.1977124183006536,ok,195.09216371295042
