feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,nnClassifier,tanh,NA,12,NA,nan,constant,nan,NA,nan,nan,9,nan,sgd,NA,1.0,122.55977487564087
1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,nnClassifier,logistic,NA,21,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,1.0,128.2612006664276
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.996832101372756,133.6306893825531
0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,6,sqrt,8,29,nan,nan,NA,NA,0.996832101372756,139.6706931591034
0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,nnClassifier,tanh,NA,31,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,1.0,149.6998794078827
1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,nnClassifier,identity,NA,26,NA,nan,constant,nan,NA,nan,nan,6,nan,sgd,NA,1.0,157.1351125240326
0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,92,sqrt,9,10,nan,nan,NA,NA,0.996832101372756,162.64719700813293
0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,96,sqrt,12,32,nan,nan,NA,NA,0.996832101372756,168.2908627986908
1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,54,log2,13,9,nan,nan,NA,NA,0.996832101372756,173.99025106430054
0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,56,sqrt,20,34,nan,nan,NA,NA,0.9936642027455121,179.72999715805054
0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,70,auto,20,36,nan,nan,NA,NA,0.9936642027455121,185.58323693275452
0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,96,log2,9,40,nan,nan,NA,NA,0.996832101372756,191.5514612197876
0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,82,sqrt,19,22,nan,nan,NA,NA,0.9936642027455121,197.38056874275208
0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,nnClassifier,logistic,NA,22,NA,nan,adaptive,nan,NA,nan,nan,7,nan,adam,NA,1.0,207.70328426361084
1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,nnClassifier,identity,NA,22,NA,nan,constant,nan,NA,nan,nan,10,nan,sgd,NA,1.0,215.3946168422699
0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,nnClassifier,logistic,NA,29,NA,nan,adaptive,nan,NA,nan,nan,9,nan,adam,NA,1.0,225.08617901802063
0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,nnClassifier,identity,NA,28,NA,nan,invscaling,nan,NA,nan,nan,1,nan,lbfgs,NA,1.0,230.2062270641327
0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,nnClassifier,identity,NA,10,NA,nan,constant,nan,NA,nan,nan,1,nan,adam,NA,1.0,239.36028718948364
1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,28,sqrt,16,14,nan,nan,NA,NA,0.996832101372756,244.85603618621826
0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,87,log2,17,27,nan,nan,NA,NA,0.996832101372756,250.61925292015076
0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,nnClassifier,identity,NA,18,NA,nan,adaptive,nan,NA,nan,nan,3,nan,adam,NA,1.0,258.5792763233185
0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,23,sqrt,18,6,nan,nan,NA,NA,0.9936642027455121,264.7341818809509
0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,95,auto,17,15,nan,nan,NA,NA,0.996832101372756,270.35700249671936
0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9957761351636748,275.434454202652
0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,46,sqrt,16,3,nan,nan,NA,NA,0.9936642027455121,280.8684575557709
0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,nnClassifier,logistic,NA,22,NA,nan,constant,nan,NA,nan,nan,4,nan,lbfgs,NA,1.0,286.4283788204193
1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,nnClassifier,identity,NA,9,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,1.0,296.2707483768463
0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,54,sqrt,17,3,nan,nan,NA,NA,0.9936642027455121,301.68478655815125
1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,nnClassifier,logistic,NA,30,NA,nan,adaptive,nan,NA,nan,nan,9,nan,sgd,NA,1.0,316.9789412021637
1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,nnClassifier,relu,NA,26,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,1.0,338.1278955936432
1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,14,auto,5,40,nan,nan,NA,NA,0.996832101372756,344.0263729095459
1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,nnClassifier,tanh,NA,11,NA,nan,invscaling,nan,NA,nan,nan,8,nan,adam,NA,1.0,355.52091336250305
0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,33,sqrt,16,22,nan,nan,NA,NA,0.9936642027455121,360.82564663887024
1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,30,sqrt,9,4,nan,nan,NA,NA,0.996832101372756,366.7607538700104
0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,nnClassifier,relu,NA,19,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,1.0,371.78968119621277
1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,68,log2,18,8,nan,nan,NA,NA,0.996832101372756,377.22085905075073
1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,log2,18,7,nan,nan,NA,NA,0.9936642027455121,382.6429343223572
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,1,log2,15,35,nan,nan,NA,NA,0.996832101372756,388.4148600101471
1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,81,sqrt,20,36,nan,nan,NA,NA,0.9936642027455121,393.8928031921387
0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,95,log2,17,30,nan,nan,NA,NA,0.996832101372756,399.75534105300903
1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,56,auto,10,16,nan,nan,NA,NA,0.996832101372756,405.6756808757782
0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,26,log2,16,31,nan,nan,NA,NA,0.996832101372756,411.57795333862305
1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,79,sqrt,12,38,nan,nan,NA,NA,0.996832101372756,417.28205823898315
1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,nnClassifier,tanh,NA,28,NA,nan,adaptive,nan,NA,nan,nan,2,nan,lbfgs,NA,1.0,422.40526151657104
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,nnClassifier,tanh,NA,12,NA,nan,adaptive,nan,NA,nan,nan,2,nan,adam,NA,1.0,434.46542167663574
1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,nnClassifier,tanh,NA,17,NA,nan,adaptive,nan,NA,nan,nan,6,nan,lbfgs,NA,1.0,440.0815694332123
0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,53,log2,9,8,nan,nan,NA,NA,0.996832101372756,445.6902234554291
0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,72,sqrt,17,38,nan,nan,NA,NA,0.996832101372756,451.31055426597595
1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,nnClassifier,identity,NA,29,NA,nan,invscaling,nan,NA,nan,nan,2,nan,lbfgs,NA,1.0,457.85942244529724
1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,66,log2,3,14,nan,nan,NA,NA,0.996832101372756,463.5791928768158
1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,nnClassifier,logistic,NA,16,NA,nan,invscaling,nan,NA,nan,nan,4,nan,sgd,NA,1.0,484.49956488609314
1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,nnClassifier,identity,NA,18,NA,nan,invscaling,nan,NA,nan,nan,3,nan,adam,NA,1.0,492.3420934677124
1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,32,auto,15,6,nan,nan,NA,NA,0.996832101372756,498.01681900024414
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,60,sqrt,17,7,nan,nan,NA,NA,0.996832101372756,503.2740385532379
1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,8,sqrt,8,3,nan,nan,NA,NA,0.996832101372756,508.9162104129791
1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,nnClassifier,logistic,NA,26,NA,nan,constant,nan,NA,nan,nan,10,nan,adam,NA,1.0,518.311529636383
0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,nnClassifier,identity,NA,12,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,1.0,526.9513630867004
0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,nnClassifier,tanh,NA,29,NA,nan,constant,nan,NA,nan,nan,6,nan,adam,NA,1.0,535.3902633190155
1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,log2,17,40,nan,nan,NA,NA,0.9936642027455121,540.7885212898254
1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,34,auto,5,35,nan,nan,NA,NA,0.996832101372756,546.0469272136688
1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,nnClassifier,identity,NA,31,NA,nan,constant,nan,NA,nan,nan,9,nan,lbfgs,NA,1.0,551.4585697650909
1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,nnClassifier,tanh,NA,10,NA,nan,invscaling,nan,NA,nan,nan,9,nan,sgd,NA,1.0,563.8224606513977
0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,nnClassifier,logistic,NA,32,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,1.0,575.1343703269958
1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,nnClassifier,relu,NA,26,NA,nan,invscaling,nan,NA,nan,nan,10,nan,adam,NA,1.0,581.7938659191132
0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,nnClassifier,tanh,NA,21,NA,nan,adaptive,nan,NA,nan,nan,4,nan,lbfgs,NA,1.0,586.9293990135193
1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,kneighborsClassifier,NA,brute,nan,NA,7,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9957761351636748,591.4962236881256
1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,nnClassifier,identity,NA,11,NA,nan,constant,nan,NA,nan,nan,4,nan,lbfgs,NA,1.0,596.1718606948853
1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,36,log2,14,20,nan,nan,NA,NA,0.996832101372756,601.0969355106354
1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,31,auto,17,6,nan,nan,NA,NA,0.996832101372756,606.2389228343964
1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,nnClassifier,relu,NA,28,NA,nan,adaptive,nan,NA,nan,nan,1,nan,adam,NA,1.0,612.7518937587738
0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,nnClassifier,logistic,NA,10,NA,nan,adaptive,nan,NA,nan,nan,2,nan,adam,NA,1.0,625.3309264183044
1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,nnClassifier,tanh,NA,31,NA,nan,adaptive,nan,NA,nan,nan,9,nan,lbfgs,NA,1.0,630.1412935256958
0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,nnClassifier,relu,NA,18,NA,nan,invscaling,nan,NA,nan,nan,3,nan,adam,NA,1.0,643.2756171226501
1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,71,auto,11,10,nan,nan,NA,NA,0.996832101372756,648.1960151195526
1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,32,auto,11,2,nan,nan,NA,NA,0.996832101372756,653.0405993461609
1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,64,sqrt,16,3,nan,nan,NA,NA,0.996832101372756,657.878270149231
0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,33,log2,17,17,nan,nan,NA,NA,0.9936642027455121,662.7062520980835
1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,39,sqrt,16,29,nan,nan,NA,NA,0.996832101372756,667.442060470581
0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,11,sqrt,17,40,nan,nan,NA,NA,0.9936642027455121,672.2617785930634
0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,nnClassifier,tanh,NA,18,NA,nan,constant,nan,NA,nan,nan,9,nan,lbfgs,NA,1.0,677.057187795639
1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,7,sqrt,18,4,nan,nan,NA,NA,0.996832101372756,681.8460252285004
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,42,log2,16,14,nan,nan,NA,NA,0.996832101372756,686.6977868080139
