feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,nnClassifier,tanh,NA,11,NA,nan,adaptive,nan,NA,nan,nan,6,nan,adam,NA,1.0,70.06842112541199
0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,nnClassifier,logistic,NA,24,NA,nan,invscaling,nan,NA,nan,nan,8,nan,lbfgs,NA,1.0,75.57916331291199
0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,nnClassifier,tanh,NA,9,NA,nan,adaptive,nan,NA,nan,nan,6,nan,lbfgs,NA,1.0,81.44842886924744
0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,nnClassifier,logistic,NA,17,NA,nan,constant,nan,NA,nan,nan,8,nan,lbfgs,NA,1.0,86.95691633224487
1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,nnClassifier,identity,NA,27,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,1.0,92.18881797790527
0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,nnClassifier,logistic,NA,10,NA,nan,adaptive,nan,NA,nan,nan,10,nan,adam,NA,1.0,105.00291180610657
1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,8,NA,nan,NA,nan,nan,nan,8,NA,distance,0.9936642027455121,110.47049140930176
0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,nnClassifier,tanh,NA,15,NA,nan,constant,nan,NA,nan,nan,5,nan,lbfgs,NA,1.0,116.68961977958679
0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,nnClassifier,relu,NA,12,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,1.0,122.22285175323486
0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,kneighborsClassifier,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9926082365364308,128.861811876297
0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,9,NA,nan,NA,nan,nan,nan,6,NA,distance,0.9936642027455121,134.3398973941803
0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,29,sqrt,20,36,nan,nan,NA,NA,0.9936642027455121,140.36248064041138
1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9926082365364308,146.824533700943
0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,kneighborsClassifier,NA,auto,nan,NA,27,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9904963041182682,151.90784239768982
0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,39,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9936642027455121,157.1973729133606
0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,kneighborsClassifier,NA,auto,nan,NA,28,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9926082365364308,163.44331169128418
0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,nnClassifier,logistic,NA,9,NA,nan,adaptive,nan,NA,nan,nan,2,nan,adam,NA,1.0,177.45484280586243
1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,nnClassifier,identity,NA,13,NA,nan,invscaling,nan,NA,nan,nan,5,nan,lbfgs,NA,1.0,182.9114284515381
1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,nnClassifier,identity,NA,17,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,1.0,192.40610718727112
0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,nnClassifier,relu,NA,24,NA,nan,constant,nan,NA,nan,nan,5,nan,lbfgs,NA,1.0,198.0970356464386
0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,nnClassifier,identity,NA,29,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,1.0,204.94956278800964
0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,sqrt,13,40,nan,nan,NA,NA,0.9936642027455121,211.43890833854675
1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,77,log2,9,17,nan,nan,NA,NA,0.9936642027455121,217.17083096504211
0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,nnClassifier,logistic,NA,14,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,1.0,222.6755723953247
