feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,71,log2,5,10,nan,nan,NA,NA,0.74609375,105.8017885684967
1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,nnClassifier,logistic,NA,21,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.998046875,118.69593787193298
1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,nnClassifier,logistic,NA,9,NA,nan,constant,nan,NA,nan,nan,4,nan,sgd,NA,0.998046875,127.17088580131531
1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,16,NA,nan,NA,nan,nan,nan,5,NA,distance,0.021484375,132.53717923164368
1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,nnClassifier,identity,NA,20,NA,nan,constant,nan,NA,nan,nan,6,nan,sgd,NA,0.990234375,143.0183355808258
0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,68,log2,16,25,nan,nan,NA,NA,0.52734375,149.52259182929993
1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,52,log2,14,31,nan,nan,NA,NA,0.15234375,156.79140043258667
1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,82,log2,6,33,nan,nan,NA,NA,0.59765625,171.29884338378906
0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,nnClassifier,logistic,NA,9,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,0.990234375,176.2531259059906
1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,86,sqrt,13,23,nan,nan,NA,NA,0.0234375,185.86669540405273
1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,63,log2,5,16,nan,nan,NA,NA,0.48828125,199.76443457603455
1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,22,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.017578125,204.76795053482056
1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,14,log2,17,3,nan,nan,NA,NA,0.513671875,217.60959553718567
1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,nnClassifier,logistic,NA,17,NA,nan,constant,nan,NA,nan,nan,7,nan,adam,NA,0.9921875,235.4564232826233
0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,76,log2,12,5,nan,nan,NA,NA,0.45703125,244.12980556488037
1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,nnClassifier,logistic,NA,10,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,0.99609375,250.3653209209442
1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,6,log2,3,10,nan,nan,NA,NA,0.439453125,256.69544744491577
0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,nnClassifier,logistic,NA,20,NA,nan,invscaling,nan,NA,nan,nan,4,nan,sgd,NA,0.998046875,272.60675263404846
0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,84,sqrt,4,34,nan,nan,NA,NA,0.6796875,280.48095703125
0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,100,auto,17,31,nan,nan,NA,NA,0.505859375,290.62734174728394
1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,nnClassifier,tanh,NA,8,NA,nan,invscaling,nan,NA,nan,nan,4,nan,sgd,NA,0.998046875,307.4393548965454
0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,45,sqrt,6,27,nan,nan,NA,NA,0.306640625,318.6527953147888
0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,nnClassifier,tanh,NA,9,NA,nan,constant,nan,NA,nan,nan,4,nan,sgd,NA,0.990234375,342.06928181648254
1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,98,sqrt,3,33,nan,nan,NA,NA,0.6328125,349.19822454452515
1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,76,auto,1,12,nan,nan,NA,NA,0.740234375,362.5476026535034
1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,100,auto,13,16,nan,nan,NA,NA,0.5234375,369.65768599510193
1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,75,sqrt,2,35,nan,nan,NA,NA,0.55859375,376.7670679092407
1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,nnClassifier,logistic,NA,24,NA,nan,invscaling,nan,NA,nan,nan,2,nan,adam,NA,0.9921875,391.8646273612976
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,75,log2,1,40,nan,nan,NA,NA,0.408203125,405.06838822364807
0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,nnClassifier,relu,NA,16,NA,nan,invscaling,nan,NA,nan,nan,1,nan,sgd,NA,0.998046875,423.198769569397
1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,nnClassifier,identity,NA,28,NA,nan,constant,nan,NA,nan,nan,1,nan,sgd,NA,0.99609375,431.74845790863037
1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,99,auto,9,15,nan,nan,NA,NA,0.5625,438.87710189819336
0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,98,auto,2,12,nan,nan,NA,NA,0.552734375,452.66331124305725
0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,nnClassifier,logistic,NA,25,NA,nan,adaptive,nan,NA,nan,nan,1,nan,sgd,NA,0.998046875,465.13441276550293
1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,nnClassifier,tanh,NA,10,NA,nan,constant,nan,NA,nan,nan,1,nan,sgd,NA,0.9921875,490.5893476009369
0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,nnClassifier,tanh,NA,29,NA,nan,constant,nan,NA,nan,nan,3,nan,sgd,NA,0.990234375,504.42062067985535
1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,93,auto,1,10,nan,nan,NA,NA,0.712890625,514.3967905044556
1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,90,log2,1,8,nan,nan,NA,NA,0.01171875,532.0618252754211
0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,nnClassifier,relu,NA,27,NA,nan,adaptive,nan,NA,nan,nan,8,nan,sgd,NA,0.994140625,545.2242012023926
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,91,auto,2,4,nan,nan,NA,NA,0.529296875,556.1932463645935
1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,81,auto,1,22,nan,nan,NA,NA,0.48828125,569.5349586009979
0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,nnClassifier,logistic,NA,16,NA,nan,adaptive,nan,NA,nan,nan,6,nan,sgd,NA,0.998046875,581.2537105083466
0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,76,log2,14,7,nan,nan,NA,NA,0.572265625,587.545551776886
0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,nnClassifier,logistic,NA,10,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.998046875,603.0157568454742
1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,nnClassifier,logistic,NA,22,NA,nan,constant,nan,NA,nan,nan,5,nan,sgd,NA,0.998046875,609.7171447277069
0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,nnClassifier,tanh,NA,12,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,0.998046875,623.7927520275116
0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,nnClassifier,logistic,NA,27,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.998046875,636.5571713447571
0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,nnClassifier,relu,NA,11,NA,nan,adaptive,nan,NA,nan,nan,6,nan,sgd,NA,0.99609375,659.0795822143555
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,nnClassifier,tanh,NA,13,NA,nan,invscaling,nan,NA,nan,nan,5,nan,sgd,NA,0.998046875,675.2066712379456
0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,nnClassifier,logistic,NA,32,NA,nan,adaptive,nan,NA,nan,nan,5,nan,sgd,NA,0.998046875,684.3566854000092
0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,nnClassifier,tanh,NA,31,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,0.998046875,697.082218170166
1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,nnClassifier,logistic,NA,30,NA,nan,constant,nan,NA,nan,nan,8,nan,sgd,NA,0.998046875,703.2554349899292
0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,nnClassifier,identity,NA,19,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,0.998046875,710.6611959934235
