activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,15,gini,1,1,13,invscaling,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8849056603773585
tanh,auto,30,entropy,1,1,5,constant,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8849056603773585
logistic,ball_tree,14,entropy,1,1,11,adaptive,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8849056603773585
tanh,auto,30,entropy,1,1,5,constant,29,sqrt,17,22,randomForestClassifier,5,2,adam,distance,0.8830188679245283
logistic,ball_tree,14,entropy,1,1,11,adaptive,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8830188679245283
logistic,ball_tree,14,entropy,1,1,11,invscaling,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8830188679245283
tanh,auto,30,entropy,1,1,5,constant,29,sqrt,17,22,randomForestClassifier,5,2,adam,distance,0.8830188679245283
tanh,auto,30,entropy,1,1,5,adaptive,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8830188679245283
identity,brute,9,gini,1,1,9,adaptive,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8811320754716981
logistic,ball_tree,26,entropy,1,1,11,adaptive,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8830188679245283
identity,auto,15,gini,1,1,13,invscaling,14,log2,8,9,nnClassifier,2,9,lbfgs,distance,0.560377358490566
tanh,auto,30,entropy,1,1,5,constant,61,log2,16,9,randomForestClassifier,2,9,sgd,distance,0.8849056603773585
logistic,ball_tree,14,entropy,1,1,11,adaptive,15,sqrt,17,22,randomForestClassifier,5,2,adam,distance,0.8849056603773585
tanh,auto,30,entropy,1,1,5,constant,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8830188679245283
logistic,ball_tree,14,entropy,1,1,11,adaptive,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8830188679245283
logistic,ball_tree,14,entropy,1,1,11,invscaling,79,sqrt,17,22,randomForestClassifier,5,2,adam,distance,0.8830188679245283
tanh,auto,30,entropy,1,1,5,constant,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8830188679245283
tanh,auto,30,entropy,1,1,5,adaptive,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8849056603773585
identity,brute,9,gini,1,1,9,adaptive,70,log2,2,40,randomForestClassifier,10,2,adam,uniform,0.8867924528301887
logistic,ball_tree,14,entropy,1,1,11,adaptive,70,log2,2,40,randomForestClassifier,10,2,adam,distance,0.8905660377358491
identity,brute,9,gini,1,1,9,adaptive,70,log2,2,40,randomForestClassifier,10,2,adam,uniform,0.8867924528301887
identity,auto,15,gini,1,1,13,invscaling,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8849056603773585
tanh,auto,30,entropy,1,1,5,constant,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8849056603773585
logistic,ball_tree,14,entropy,1,1,11,adaptive,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8849056603773585
tanh,auto,30,entropy,1,1,5,constant,61,log2,16,9,randomForestClassifier,2,9,sgd,distance,0.8849056603773585
logistic,ball_tree,14,entropy,1,1,11,adaptive,15,sqrt,17,22,randomForestClassifier,5,2,adam,distance,0.8849056603773585
tanh,auto,30,entropy,1,1,5,adaptive,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8849056603773585
tanh,auto,30,entropy,1,1,5,constant,29,sqrt,17,22,randomForestClassifier,5,2,adam,distance,0.8830188679245283
logistic,ball_tree,14,entropy,1,1,11,adaptive,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8830188679245283
logistic,brute,20,entropy,1,1,11,adaptive,70,log2,2,40,randomForestClassifier,10,2,adam,uniform,0.8905660377358491
identity,brute,9,gini,1,1,9,invscaling,74,sqrt,11,7,randomForestClassifier,4,10,lbfgs,distance,0.8849056603773585
identity,auto,15,gini,1,1,13,constant,14,log2,16,9,randomForestClassifier,2,9,lbfgs,distance,0.8811320754716981
tanh,auto,30,entropy,1,1,5,adaptive,14,log2,16,9,randomForestClassifier,2,9,sgd,distance,0.8849056603773585
logistic,ball_tree,14,entropy,1,1,11,constant,61,log2,16,6,randomForestClassifier,2,9,sgd,distance,0.8849056603773585
tanh,auto,30,entropy,1,1,5,adaptive,15,sqrt,17,16,randomForestClassifier,5,2,adam,distance,0.8849056603773585
logistic,ball_tree,14,entropy,0,1,11,adaptive,14,log2,16,9,randomForestClassifier,8,9,lbfgs,distance,0.6962264150943396
tanh,auto,30,entropy,1,1,5,constant,29,sqrt,17,22,randomForestClassifier,5,2,adam,distance,0.8830188679245283
tanh,auto,30,entropy,1,1,5,adaptive,74,sqrt,11,6,randomForestClassifier,4,10,lbfgs,distance,0.8830188679245283
logistic,ball_tree,14,entropy,0,1,11,adaptive,70,log2,2,40,randomForestClassifier,10,2,adam,distance,0.7113207547169811
