feature_0,feature_1,feature_2,feature_3,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,34,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9907407407407407,265.4740266799927
1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,22,NA,nan,NA,nan,nan,nan,10,NA,uniform,1.0,270.6499698162079
1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,auto,16,36,nan,nan,NA,NA,1.0,275.9666078090668
1,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9768518518518519,280.82193660736084
1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,24,auto,16,25,nan,nan,NA,NA,1.0,285.97418308258057
1,0,0,1,kneighborsClassifier,NA,auto,nan,NA,36,NA,nan,NA,nan,nan,nan,1,NA,distance,1.0,290.7500355243683
1,1,0,1,nnClassifier,identity,NA,24,NA,nan,adaptive,nan,NA,nan,nan,9,nan,lbfgs,NA,0.5,295.9703664779663
1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,18,NA,nan,NA,nan,nan,nan,3,NA,uniform,1.0,301.213561296463
1,0,0,1,kneighborsClassifier,NA,auto,nan,NA,26,NA,nan,NA,nan,nan,nan,9,NA,uniform,1.0,306.4382858276367
1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,12,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9803240740740741,311.39987111091614
1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9768518518518519,316.3569357395172
1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,17,NA,nan,NA,nan,nan,nan,8,NA,uniform,1.0,321.28316926956177
1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,33,NA,nan,NA,nan,nan,nan,9,NA,uniform,1.0,326.9501922130585
1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,64,auto,4,38,nan,nan,NA,NA,0.9120370370370371,332.89585614204407
1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,32,auto,13,29,nan,nan,NA,NA,1.0,338.5928785800934
0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,75,auto,10,28,nan,nan,NA,NA,0.7974537037037037,343.96128249168396
1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,10,NA,uniform,1.0,348.66935658454895
1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,38,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9907407407407407,353.1506509780884
1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,37,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9849537037037037,357.9277853965759
1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,98,sqrt,13,33,nan,nan,NA,NA,1.0,363.15626883506775
1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,1,NA,uniform,1.0,368.3377842903137
1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,21,NA,nan,NA,nan,nan,nan,6,NA,distance,1.0,372.99246072769165
1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,36,NA,nan,NA,nan,nan,nan,6,NA,uniform,1.0,377.5241484642029
1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,12,log2,5,25,nan,nan,NA,NA,1.0,382.6701009273529
0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,61,sqrt,7,39,nan,nan,NA,NA,0.7951388888888888,388.12162256240845
1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,10,NA,distance,1.0,392.8879179954529
1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,7,NA,uniform,1.0,397.7995448112488
1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,71,log2,6,11,nan,nan,NA,NA,0.9872685185185185,403.79574036598206
1,0,1,0,kneighborsClassifier,NA,brute,nan,NA,35,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8391203703703703,408.4174499511719
1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,84,log2,4,38,nan,nan,NA,NA,0.9548611111111112,413.91709303855896
1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,30,sqrt,19,4,nan,nan,NA,NA,0.9756944444444444,418.70423007011414
1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,73,auto,1,39,nan,nan,NA,NA,1.0,424.13801169395447
1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,40,NA,nan,NA,nan,nan,nan,9,NA,uniform,1.0,429.18242168426514
1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,57,sqrt,1,16,nan,nan,NA,NA,0.9328703703703703,434.95070457458496
1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,67,log2,2,29,nan,nan,NA,NA,0.9849537037037037,440.55321502685547
1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,log2,20,6,nan,nan,NA,NA,0.8958333333333334,445.8904478549957
1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,88,log2,3,4,nan,nan,NA,NA,0.9872685185185185,451.62508749961853
1,1,0,0,kneighborsClassifier,NA,auto,nan,NA,12,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9699074074074074,455.82507491111755
1,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9756944444444444,460.9032471179962
1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,81,auto,20,27,nan,nan,NA,NA,1.0,465.9960415363312
1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,87,log2,16,9,nan,nan,NA,NA,0.9756944444444444,471.57532000541687
1,1,0,1,nnClassifier,logistic,NA,19,NA,nan,invscaling,nan,NA,nan,nan,9,nan,adam,NA,0.5011574074074074,487.2049069404602
1,1,1,0,kneighborsClassifier,NA,brute,nan,NA,39,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8622685185185185,491.8901319503784
1,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8668981481481481,496.24659395217896
1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8692129629629629,500.73478055000305
1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,95,log2,7,39,nan,nan,NA,NA,0.9803240740740741,506.6301980018616
1,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,11,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8518518518518519,510.80362010002136
1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,68,sqrt,5,15,nan,nan,NA,NA,0.9895833333333334,516.0139353275299
1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,65,log2,4,11,nan,nan,NA,NA,0.9872685185185185,521.338894367218
1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,63,sqrt,11,26,nan,nan,NA,NA,0.9791666666666666,526.757091999054
1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,63,auto,8,31,nan,nan,NA,NA,1.0,531.559327840805
1,1,0,0,kneighborsClassifier,NA,auto,nan,NA,40,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9699074074074074,536.320958852768
1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,40,NA,nan,NA,nan,nan,nan,4,NA,uniform,1.0,540.6326560974121
1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,19,sqrt,2,15,nan,nan,NA,NA,0.9849537037037037,545.565664768219
1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,20,sqrt,2,23,nan,nan,NA,NA,0.9837962962962963,550.6722512245178
1,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,14,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9699074074074074,554.8252096176147
1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,8,log2,18,31,nan,nan,NA,NA,0.9108796296296297,559.7404897212982
1,1,0,0,kneighborsClassifier,NA,brute,nan,NA,32,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9629629629629629,564.043829202652
