feature_0,feature_1,feature_2,feature_3,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,1,sqrt,9,22,nan,nan,NA,NA,1.0,475.51403307914734
1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,85,sqrt,5,10,nan,nan,NA,NA,0.9849537037037037,481.04532194137573
1,0,0,1,nnClassifier,tanh,NA,14,NA,nan,invscaling,nan,NA,nan,nan,4,nan,sgd,NA,0.49074074074074076,507.64003801345825
1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,100,sqrt,17,32,nan,nan,NA,NA,0.8900462962962963,513.4876346588135
1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,20,sqrt,1,11,nan,nan,NA,NA,0.9884259259259259,519.1789112091064
1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,7,NA,uniform,1.0,523.9845242500305
1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,3,sqrt,12,6,nan,nan,NA,NA,0.8831018518518519,529.1014442443848
1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,65,sqrt,3,11,nan,nan,NA,NA,0.9872685185185185,535.3020179271698
1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,19,sqrt,2,30,nan,nan,NA,NA,0.9826388888888888,540.4037244319916
1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,99,sqrt,3,36,nan,nan,NA,NA,0.9849537037037037,546.3949847221375
1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,10,NA,uniform,1.0,551.4911465644836
1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,98,sqrt,3,25,nan,nan,NA,NA,0.9884259259259259,557.0925602912903
1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,50,sqrt,5,20,nan,nan,NA,NA,0.9884259259259259,562.4292643070221
1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,4,NA,nan,NA,nan,nan,nan,10,NA,distance,1.0,566.9378502368927
1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,93,sqrt,6,25,nan,nan,NA,NA,0.9837962962962963,572.1224849224091
1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,84,sqrt,19,23,nan,nan,NA,NA,0.9722222222222222,578.1330649852753
1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,46,auto,14,7,nan,nan,NA,NA,0.9791666666666666,583.1117587089539
