,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
10,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,30.0,log2,10.0,30.0,None,None,None,None,0.4296160877513711,ok,58.81400120491162
11,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,7,None,None,None,None,None,None,7,None,uniform,0.4570383912248629,ok,59.04636712698266
12,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,nnClassifier,logistic,None,26.0,None,None,adaptive,None,None,None,None,9.0,None,adam,None,0.13711151736745886,ok,82.88152165291831
13,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,kneighborsClassifier,None,auto,None,None,11,None,None,None,None,None,None,2,None,distance,0.4670932358318099,ok,82.96245539491065
14,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,kneighborsClassifier,None,brute,None,None,34,None,None,None,None,None,None,4,None,uniform,0.4789762340036563,ok,83.17799711599946
15,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,8,None,None,None,None,None,None,8,None,distance,0.42138939670932357,ok,83.29448137804866
16,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,24.0,log2,8.0,23.0,None,None,None,None,0.6206581352833638,ok,86.22277602693066
17,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,kneighborsClassifier,None,kd_tree,None,None,7,None,None,None,None,None,None,2,None,uniform,0.4753199268738574,ok,86.39868812286295
18,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,kneighborsClassifier,None,ball_tree,None,None,37,None,None,None,None,None,None,6,None,distance,0.46617915904936014,ok,86.51496135792695
19,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,92.0,auto,14.0,6.0,None,None,None,None,0.4835466179159049,ok,87.99920824705623
20,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,8.0,log2,3.0,14.0,None,None,None,None,0.5886654478976234,ok,89.37973453989252
21,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,4.0,sqrt,2.0,21.0,None,None,None,None,0.5420475319926874,ok,90.54166189697571
22,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,3.0,log2,5.0,19.0,None,None,None,None,0.5457038391224863,ok,91.39558878191747
23,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,37.0,log2,8.0,22.0,None,None,None,None,0.6170018281535649,ok,93.85867254296318
24,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,51.0,log2,8.0,30.0,None,None,None,None,0.603290676416819,ok,96.48241674201563
25,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,45.0,log2,7.0,24.0,None,None,None,None,0.6243144424131627,ok,98.82974171591923
26,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,65.0,auto,6.0,36.0,None,None,None,None,0.6096892138939671,ok,101.77864257991314
27,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,21.0,sqrt,12.0,28.0,None,None,None,None,0.6051188299817185,ok,104.56204214901663
28,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,63.0,log2,19.0,25.0,None,None,None,None,0.5859232175502742,ok,105.79139528307132
29,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,44.0,log2,9.0,35.0,None,None,None,None,0.623400365630713,ok,108.5405550498981
30,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,46.0,log2,11.0,40.0,None,None,None,None,0.5978062157221207,ok,110.29610388795845
31,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,74.0,sqrt,5.0,36.0,None,None,None,None,0.6270566727605119,ok,113.17242454201914
32,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,82.0,sqrt,5.0,40.0,None,None,None,None,0.6252285191956124,ok,115.92431588494219
