activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,27,gini,1,1,1,1,1,12,constant,36,auto,11,23,nnClassifier,8,9,adam,distance,0.5907407407407408,1166.3686143769883
relu,auto,31,gini,1,1,1,1,1,14,constant,20,auto,11,9,nnClassifier,8,3,adam,distance,0.6148148148148148,1166.368678735802
relu,auto,29,gini,1,1,1,1,1,16,constant,42,auto,9,27,nnClassifier,7,6,adam,distance,0.5851851851851851,1166.368712035939
relu,auto,31,gini,1,1,1,1,1,9,constant,49,auto,6,10,nnClassifier,9,4,adam,distance,0.5907407407407408,1166.3687451148871
relu,auto,32,gini,1,1,1,1,1,12,constant,75,auto,6,10,nnClassifier,10,5,adam,distance,0.6055555555555555,1166.3687783638015
relu,auto,21,gini,1,1,1,1,1,29,constant,61,auto,11,3,nnClassifier,4,5,adam,distance,0.6018518518518519,1166.3688117838465
relu,auto,26,gini,1,1,1,1,1,9,constant,38,auto,8,16,nnClassifier,9,4,adam,distance,0.6129629629629629,1166.368845282821
relu,auto,28,gini,1,1,1,1,1,15,constant,74,auto,8,14,nnClassifier,8,5,adam,distance,0.6277777777777778,1166.3688786330167
relu,auto,24,gini,1,1,1,1,1,10,constant,49,auto,5,14,nnClassifier,9,7,adam,distance,0.6092592592592593,1166.3689117918257
relu,auto,30,gini,1,1,1,1,1,26,constant,60,auto,8,14,nnClassifier,5,3,adam,distance,0.6055555555555555,1166.3689445818309
relu,auto,26,gini,1,1,1,1,1,24,constant,20,auto,12,22,nnClassifier,10,3,adam,distance,0.6148148148148148,1166.3689777008258
relu,auto,30,gini,1,1,1,1,1,9,constant,33,auto,7,9,nnClassifier,8,7,adam,distance,0.5925925925925926,1166.3690104610287
relu,auto,32,gini,1,1,1,1,1,8,constant,44,auto,15,25,nnClassifier,9,6,adam,distance,0.6092592592592593,1166.36904305988
relu,auto,20,gini,1,1,1,1,1,13,constant,75,auto,4,28,nnClassifier,8,6,adam,distance,0.6,1166.3690755700227
relu,auto,21,gini,1,1,1,1,1,15,constant,25,auto,7,12,nnClassifier,5,4,adam,distance,0.6240740740740741,1166.3691079688724
relu,auto,31,gini,1,1,1,1,1,28,constant,45,auto,5,16,nnClassifier,9,6,adam,distance,0.6148148148148148,1166.3691405488644
relu,auto,31,gini,1,1,1,1,1,24,constant,44,auto,5,16,nnClassifier,3,4,adam,distance,0.5888888888888889,1601.6457126829773
relu,auto,25,gini,1,1,1,1,1,17,constant,48,auto,7,10,nnClassifier,6,4,adam,distance,0.5981481481481481,1601.6457698219456
relu,auto,20,gini,1,1,1,1,1,16,constant,43,auto,7,25,nnClassifier,8,4,adam,distance,0.6129629629629629,1601.645804240834
relu,auto,32,gini,1,1,1,1,1,9,constant,35,auto,6,10,nnClassifier,10,4,adam,distance,0.5888888888888889,1601.6458374208305
relu,auto,28,gini,1,1,1,1,1,16,constant,40,auto,9,20,nnClassifier,10,5,adam,distance,0.6129629629629629,1601.645870519802
relu,auto,32,gini,1,1,1,1,1,10,constant,24,auto,7,9,nnClassifier,10,4,adam,distance,0.6203703703703703,1601.645903118886
relu,auto,27,gini,1,1,1,1,1,12,constant,46,auto,6,23,nnClassifier,9,6,adam,distance,0.5851851851851851,1601.6459359789733
relu,auto,31,gini,1,1,1,1,1,9,constant,47,auto,6,10,nnClassifier,8,4,adam,distance,0.6148148148148148,1601.6459683577996
relu,auto,31,gini,1,1,1,1,1,12,constant,79,auto,5,10,nnClassifier,10,5,adam,distance,0.5888888888888889,1601.6460007978603
relu,auto,18,gini,1,1,1,1,1,25,constant,57,auto,7,7,nnClassifier,8,4,adam,distance,0.587037037037037,1601.646033047
relu,auto,23,gini,1,1,1,1,1,9,constant,41,auto,4,20,nnClassifier,9,5,adam,distance,0.6148148148148148,1601.6460653769318
relu,auto,28,gini,1,1,1,1,1,19,constant,73,auto,12,10,nnClassifier,7,6,adam,distance,0.6092592592592593,1601.6460976758972
relu,auto,28,gini,1,1,1,1,1,11,constant,49,auto,4,10,nnClassifier,9,3,adam,distance,0.6148148148148148,1601.6461297259666
relu,auto,32,gini,1,1,1,1,1,22,constant,56,auto,12,18,nnClassifier,7,7,adam,distance,0.6018518518518519,1601.6461618850008
relu,auto,27,gini,1,1,1,1,1,23,constant,24,auto,10,26,nnClassifier,9,7,adam,distance,0.5666666666666667,1601.6461941848975
relu,auto,26,gini,1,1,1,1,1,8,constant,36,auto,8,11,nnClassifier,8,5,adam,distance,0.6203703703703703,1601.6462264838628
relu,auto,28,gini,1,1,1,1,1,9,constant,44,auto,11,21,nnClassifier,9,6,adam,distance,0.6055555555555555,1601.6462588238064
relu,auto,24,gini,1,1,1,1,1,9,constant,71,auto,7,24,nnClassifier,10,7,adam,distance,0.6148148148148148,1601.6462910629343
relu,auto,21,gini,1,1,1,1,1,13,constant,29,auto,6,13,nnClassifier,8,8,adam,distance,0.5962962962962963,1601.6463234229013
relu,auto,31,gini,1,1,1,1,1,24,constant,41,auto,6,17,nnClassifier,9,4,adam,distance,0.6148148148148148,1601.6463557318784
