activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,22,mae,0,1,0,0,1,1,38,adaptive,28,sqrt,9,10,randomForestRegressor,4,3,lbfgs,uniform,0.42769272198225217
identity,kd_tree,16,mse,1,0,1,0,1,1,36,invscaling,59,sqrt,2,10,kneighborsRegressor,3,9,lbfgs,uniform,0.6147982143825341
logistic,kd_tree,32,mse,1,0,0,1,1,1,36,invscaling,68,log2,20,8,kneighborsRegressor,10,9,sgd,distance,0.5378365422083015
tanh,brute,9,mae,1,1,0,0,1,0,30,adaptive,80,auto,12,31,kneighborsRegressor,5,3,lbfgs,uniform,0.5119697818582711
identity,ball_tree,30,poisson,0,0,0,0,1,1,4,adaptive,97,auto,10,33,nnRegressor,10,10,sgd,distance,0.40979120622005183
relu,brute,20,poisson,1,1,1,0,1,1,7,invscaling,94,auto,16,19,randomForestRegressor,7,1,lbfgs,uniform,-0.002089369283012177
identity,auto,25,mae,1,0,0,1,1,1,24,adaptive,100,log2,6,32,kneighborsRegressor,2,7,adam,uniform,0.5966714603283614
relu,ball_tree,10,mae,1,0,1,1,0,0,28,invscaling,51,auto,11,9,randomForestRegressor,9,10,lbfgs,distance,0.5077710368509515
identity,auto,22,mae,0,0,1,0,0,1,26,constant,21,sqrt,9,37,nnRegressor,9,10,sgd,distance,0.009172670108457348
tanh,brute,27,mse,1,0,0,0,0,1,39,adaptive,33,auto,5,37,randomForestRegressor,7,4,sgd,distance,0.49782548181156183
identity,kd_tree,31,poisson,1,1,1,1,1,0,6,invscaling,71,auto,5,20,randomForestRegressor,4,7,adam,distance,-0.002089369283012177
logistic,ball_tree,18,mse,0,0,1,0,0,1,37,adaptive,47,sqrt,8,20,nnRegressor,4,7,lbfgs,distance,-11.181810360155607
logistic,kd_tree,13,poisson,0,0,0,1,1,1,8,adaptive,54,auto,3,30,nnRegressor,10,2,adam,distance,-2.391648992326028
identity,brute,26,mae,0,1,1,0,1,1,36,invscaling,70,sqrt,3,3,randomForestRegressor,7,1,adam,distance,0.45667070033073676
relu,kd_tree,8,mse,1,0,0,0,0,0,7,adaptive,6,auto,14,27,randomForestRegressor,7,10,sgd,distance,0.49581757668660775
relu,ball_tree,20,poisson,1,1,0,0,0,0,17,adaptive,57,auto,13,29,kneighborsRegressor,9,1,sgd,distance,-0.08293723229292826
identity,auto,14,mae,1,0,0,0,0,0,34,invscaling,16,log2,18,14,nnRegressor,8,7,sgd,uniform,0.46988919725109424
logistic,ball_tree,19,mse,1,0,1,1,1,1,2,invscaling,39,log2,7,40,kneighborsRegressor,4,6,lbfgs,uniform,0.5884950971828129
logistic,kd_tree,20,poisson,1,0,1,0,0,1,8,adaptive,3,auto,8,24,kneighborsRegressor,3,4,lbfgs,uniform,0.3982234190598398
tanh,brute,21,mae,1,0,0,1,1,1,10,invscaling,25,auto,3,14,nnRegressor,2,7,sgd,distance,-131.22443909002953
logistic,ball_tree,27,mae,1,1,0,0,1,0,9,adaptive,52,sqrt,18,36,randomForestRegressor,7,8,adam,distance,0.638071284451754
relu,brute,15,poisson,1,1,1,0,1,0,2,invscaling,16,log2,6,20,nnRegressor,8,1,adam,uniform,-4.474989570965653
tanh,kd_tree,17,mae,0,1,0,0,0,1,20,invscaling,25,sqrt,12,5,nnRegressor,7,9,sgd,distance,-28.23598218930126
