feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,72,sqrt,7,39,nan,nan,NA,NA,0.8766788766788767,449.8368625640869
0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,99,log2,9,35,nan,nan,NA,NA,0.8778998778998779,457.51087188720703
0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,74,auto,15,29,nan,nan,NA,NA,0.8754578754578755,466.17323303222656
0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,24,log2,20,11,nan,nan,NA,NA,0.873015873015873,472.8647508621216
1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,12,log2,19,34,nan,nan,NA,NA,0.873015873015873,481.1476945877075
0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,kneighborsClassifier,NA,auto,nan,NA,40,NA,nan,NA,nan,nan,nan,1,NA,distance,0.5396825396825397,486.6267976760864
0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,22,auto,17,17,nan,nan,NA,NA,0.8742368742368742,493.56322145462036
0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,32,auto,3,26,nan,nan,NA,NA,0.8791208791208791,501.39618372917175
1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,1,log2,1,36,nan,nan,NA,NA,0.8803418803418803,512.07470536232
1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,14,auto,15,34,nan,nan,NA,NA,0.8742368742368742,522.3099880218506
