activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,23,gini,1,1,1,1,1,1,25,constant,34,auto,15,13,nnClassifier,8,1,adam,distance,1.0,367.91230368590914
relu,auto,28,gini,1,1,1,1,1,1,21,constant,69,auto,20,14,nnClassifier,5,5,adam,distance,1.0,367.91234782594256
relu,auto,22,gini,1,1,1,1,1,1,34,constant,80,auto,15,12,nnClassifier,6,4,adam,distance,1.0,367.9123811349273
relu,auto,26,gini,1,1,1,1,1,1,31,constant,81,auto,14,15,nnClassifier,7,6,adam,distance,1.0,367.91241429396905
relu,auto,25,gini,1,1,1,1,1,1,25,constant,49,auto,19,17,nnClassifier,8,3,adam,distance,1.0,367.91244756407104
relu,auto,26,gini,1,1,1,1,1,1,25,constant,27,auto,13,22,nnClassifier,9,1,adam,distance,1.0,367.912480792962
relu,auto,25,gini,1,1,1,1,1,1,25,constant,19,auto,19,15,nnClassifier,4,2,adam,distance,1.0,367.91252818191424
relu,auto,21,gini,1,1,1,1,1,1,21,constant,77,auto,13,27,nnClassifier,8,2,adam,distance,1.0,367.9125620019622
relu,auto,24,gini,1,1,1,1,1,1,21,constant,31,auto,13,15,nnClassifier,2,1,adam,distance,1.0,367.91259580105543
relu,auto,26,gini,1,1,1,1,1,1,22,constant,33,auto,18,15,nnClassifier,5,6,adam,distance,1.0,367.9126292099245
relu,auto,23,gini,1,1,1,1,1,1,14,constant,41,auto,18,15,nnClassifier,7,1,adam,distance,1.0,367.9126628700178
relu,auto,24,gini,1,1,1,1,1,1,24,constant,36,auto,15,18,nnClassifier,7,2,adam,distance,1.0,367.9126963990275
relu,auto,25,gini,1,1,1,1,1,1,17,constant,78,auto,19,17,nnClassifier,4,1,adam,distance,1.0,367.9127298190724
relu,auto,17,gini,1,1,1,1,1,1,25,constant,65,auto,16,25,nnClassifier,3,6,adam,distance,1.0,367.9127631878946
relu,auto,26,gini,1,1,1,1,1,1,17,constant,24,auto,18,20,nnClassifier,7,3,adam,distance,1.0,367.9127966670785
relu,auto,27,gini,1,1,1,1,1,1,22,constant,51,auto,19,21,nnClassifier,7,7,adam,distance,1.0,367.9128302570898
relu,auto,23,gini,1,1,1,1,1,1,15,constant,44,auto,20,29,nnClassifier,4,3,adam,distance,1.0,472.48602270008996
relu,auto,19,gini,1,1,1,1,1,1,28,constant,67,auto,20,13,nnClassifier,6,2,adam,distance,1.0,472.48608121904545
relu,auto,18,gini,1,1,1,1,1,1,34,constant,40,auto,15,21,nnClassifier,6,6,adam,distance,1.0,472.4861189778894
relu,auto,26,gini,1,1,1,1,1,1,25,constant,29,auto,19,16,nnClassifier,7,2,adam,distance,1.0,472.48615445708856
relu,auto,25,gini,1,1,1,1,1,1,25,constant,38,auto,14,17,nnClassifier,6,4,adam,distance,1.0,472.48618948692456
relu,auto,26,gini,1,1,1,1,1,1,25,constant,65,auto,20,15,nnClassifier,9,3,adam,distance,1.0,472.4862248059362
relu,auto,20,gini,1,1,1,1,1,1,30,constant,76,auto,18,10,nnClassifier,2,2,adam,distance,1.0,472.48625955497846
relu,auto,25,gini,1,1,1,1,1,1,30,constant,85,auto,11,17,nnClassifier,7,5,adam,distance,1.0,472.4862950849347
relu,auto,27,gini,1,1,1,1,1,1,25,constant,45,auto,20,21,nnClassifier,6,3,adam,distance,1.0,472.48633060394786
relu,auto,22,gini,1,1,1,1,1,1,21,constant,31,auto,17,26,nnClassifier,8,1,adam,distance,1.0,472.4863856029697
relu,auto,23,gini,1,1,1,1,1,1,26,constant,23,auto,19,16,nnClassifier,6,2,adam,distance,1.0,472.4864209720399
relu,auto,21,gini,1,1,1,1,1,1,22,constant,73,auto,10,23,nnClassifier,6,2,adam,distance,1.0,472.4864556409884
relu,auto,20,gini,1,1,1,1,1,1,18,constant,33,auto,13,15,nnClassifier,6,2,adam,distance,1.0,472.4864903111011
relu,auto,27,gini,1,1,1,1,1,1,22,constant,29,auto,18,18,nnClassifier,6,3,adam,distance,1.0,472.4865256799385
relu,auto,22,gini,1,1,1,1,1,1,18,constant,39,auto,18,16,nnClassifier,7,3,adam,distance,1.0,472.48656081897207
relu,auto,24,gini,1,1,1,1,1,1,24,constant,32,auto,11,17,nnClassifier,7,2,adam,distance,1.0,472.4865956089925
relu,auto,23,gini,1,1,1,1,1,1,18,constant,74,auto,19,21,nnClassifier,7,5,adam,distance,1.0,472.48663148796186
relu,auto,21,gini,1,1,1,1,1,1,21,constant,61,auto,14,21,nnClassifier,4,2,adam,distance,1.0,472.48666608706117
relu,auto,26,gini,1,1,1,1,1,1,13,constant,20,auto,19,16,nnClassifier,7,2,adam,distance,1.0,472.48670116695575
relu,auto,25,gini,1,1,1,1,1,1,21,constant,47,auto,19,25,nnClassifier,7,3,adam,distance,1.0,472.48673607595265
