,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
24,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,27.0,auto,3.0,25.0,None,None,None,None,0.9743589743589743,ok,98.9084541730117
25,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,98.0,auto,2.0,23.0,None,None,None,None,0.9706959706959707,ok,99.80473484890535
26,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,35.0,auto,7.0,16.0,None,None,None,None,0.967032967032967,ok,101.11851577600464
27,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,3.0,sqrt,14.0,3.0,None,None,None,None,0.8589743589743589,ok,101.66230424586684
28,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,71.0,auto,11.0,27.0,None,None,None,None,0.9597069597069597,ok,102.95575717487372
29,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,85.0,auto,5.0,11.0,None,None,None,None,0.9908424908424909,ok,103.84453649399802
30,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,84.0,auto,5.0,8.0,None,None,None,None,0.9761904761904762,ok,104.77322292886674
31,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,83.0,sqrt,5.0,20.0,None,None,None,None,0.989010989010989,ok,105.65975253889337
32,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,62.0,sqrt,7.0,30.0,None,None,None,None,0.9871794871794872,ok,106.68262266996317
33,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,99.0,sqrt,5.0,10.0,None,None,None,None,0.9871794871794872,ok,107.6195143929217
34,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,88.0,sqrt,8.0,21.0,None,None,None,None,0.9871794871794872,ok,108.7140661040321
35,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,58.0,sqrt,4.0,5.0,None,None,None,None,0.9908424908424909,ok,109.65902336896397
36,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,61.0,sqrt,4.0,3.0,None,None,None,None,0.9871794871794872,ok,110.60026861191727
37,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,kneighborsClassifier,None,brute,None,None,13,None,None,None,None,None,None,1,None,uniform,0.9285714285714286,ok,110.69121445785277
38,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,nnClassifier,logistic,None,12.0,None,None,constant,None,None,None,None,2.0,None,lbfgs,None,0.3076923076923077,ok,113.44692499889061
39,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,53.0,log2,10.0,6.0,None,None,None,None,0.9798534798534798,ok,114.34998979489319
40,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,kneighborsClassifier,None,ball_tree,None,None,40,None,None,None,None,None,None,3,None,uniform,0.9157509157509157,ok,114.45141401793808
41,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,nnClassifier,logistic,None,26.0,None,None,adaptive,None,None,None,None,2.0,None,lbfgs,None,0.3076923076923077,ok,117.33147673099302
42,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,72.0,sqrt,8.0,3.0,None,None,None,None,0.9432234432234432,ok,118.44183400087059
43,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,kneighborsClassifier,None,auto,None,None,8,None,None,None,None,None,None,3,None,uniform,0.9230769230769231,ok,118.5462303289678
44,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,11.0,sqrt,3.0,15.0,None,None,None,None,0.9908424908424909,ok,119.41270092898048
45,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,nnClassifier,identity,None,13.0,None,None,constant,None,None,None,None,1.0,None,sgd,None,0.003663003663003663,ok,134.15585856093094
46,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,29,None,None,None,None,None,None,3,None,distance,0.9194139194139194,ok,134.24620147701353
47,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,2.0,log2,2.0,13.0,None,None,None,None,0.663003663003663,ok,134.72108319588006
48,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,nnClassifier,logistic,None,24.0,None,None,adaptive,None,None,None,None,10.0,None,lbfgs,None,0.3076923076923077,ok,137.6178618199192
49,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,14.0,auto,6.0,9.0,None,None,None,None,0.9560439560439561,ok,138.62062254105695
50,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,kneighborsClassifier,None,auto,None,None,20,None,None,None,None,None,None,5,None,uniform,0.9230769230769231,ok,138.71005185483955
51,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,11.0,sqrt,11.0,16.0,None,None,None,None,0.9743589743589743,ok,139.56008227705024
52,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,nnClassifier,relu,None,9.0,None,None,constant,None,None,None,None,4.0,None,lbfgs,None,0.3772893772893773,ok,141.6756391930394
53,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,36.0,sqrt,3.0,8.0,None,None,None,None,0.989010989010989,ok,142.69542755093426
54,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,23.0,log2,8.0,40.0,None,None,None,None,0.9706959706959707,ok,143.5650407918729
55,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,kneighborsClassifier,None,brute,None,None,39,None,None,None,None,None,None,7,None,uniform,0.8534798534798534,ok,143.66996816103347
56,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,76.0,auto,12.0,6.0,None,None,None,None,0.9835164835164835,ok,144.53648620005697
57,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,nnClassifier,identity,None,15.0,None,None,invscaling,None,None,None,None,3.0,None,sgd,None,0.27289377289377287,ok,157.28887144685723
58,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,44.0,sqrt,3.0,14.0,None,None,None,None,0.9835164835164835,ok,158.2457383328583
59,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,28.0,auto,9.0,17.0,None,None,None,None,0.9505494505494505,ok,159.279234088026
60,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,7,None,None,None,None,None,None,2,None,distance,0.891941391941392,ok,159.36163764097728
61,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,57.0,auto,13.0,10.0,None,None,None,None,0.9871794871794872,ok,160.66483860090375
62,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,41.0,sqrt,18.0,36.0,None,None,None,None,0.9816849816849816,ok,161.55143637000583
63,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,nnClassifier,identity,None,27.0,None,None,adaptive,None,None,None,None,10.0,None,lbfgs,None,0.2619047619047619,ok,161.98443307890557
64,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,55.0,sqrt,4.0,5.0,None,None,None,None,0.9432234432234432,ok,163.61994619295
65,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,67.0,sqrt,6.0,14.0,None,None,None,None,0.9908424908424909,ok,164.55306526995264
66,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,67.0,sqrt,6.0,13.0,None,None,None,None,0.9908424908424909,ok,165.48833729699254
67,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,48.0,sqrt,4.0,18.0,None,None,None,None,0.9871794871794872,ok,166.4187125149183
68,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,67.0,sqrt,6.0,14.0,None,None,None,None,0.9908424908424909,ok,167.34621643600985
69,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,67.0,sqrt,7.0,13.0,None,None,None,None,0.989010989010989,ok,168.27370793698356
70,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,75.0,sqrt,9.0,22.0,None,None,None,None,0.9871794871794872,ok,169.17716702003963
71,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,59.0,sqrt,6.0,19.0,None,None,None,None,0.9871794871794872,ok,170.10496655502357
72,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,90.0,sqrt,9.0,24.0,None,None,None,None,0.989010989010989,ok,171.38921724399552
73,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,31.0,log2,2.0,11.0,None,None,None,None,0.9908424908424909,ok,172.33161675091833
74,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,8.0,log2,3.0,5.0,None,None,None,None,0.989010989010989,ok,173.6014103749767
75,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,20.0,auto,4.0,8.0,None,None,None,None,0.9908424908424909,ok,174.71046334691346
76,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,30.0,log2,18.0,11.0,None,None,None,None,0.9652014652014652,ok,175.60693690786138
77,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,kneighborsClassifier,None,auto,None,None,16,None,None,None,None,None,None,4,None,distance,0.9432234432234432,ok,175.70021496200934
78,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,21.0,log2,2.0,8.0,None,None,None,None,0.9908424908424909,ok,176.79028835287318
79,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,nnClassifier,relu,None,20.0,None,None,constant,None,None,None,None,6.0,None,sgd,None,0.315018315018315,ok,189.06834082398564
80,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,94.0,log2,5.0,4.0,None,None,None,None,0.9633699633699634,ok,190.51666566496715
81,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,81.0,sqrt,7.0,28.0,None,None,None,None,0.9487179487179487,ok,191.5475325139705
82,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,30,None,None,None,None,None,None,7,None,uniform,0.8717948717948718,ok,191.65501755685546
83,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,15.0,log2,3.0,11.0,None,None,None,None,0.9871794871794872,ok,192.59230146789923
84,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,51.0,auto,4.0,8.0,None,None,None,None,0.9926739926739927,ok,193.5335198258981
85,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,nnClassifier,logistic,None,22.0,None,None,adaptive,None,None,None,None,1.0,None,sgd,None,0.0,ok,199.58364438684657
86,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,44.0,auto,10.0,2.0,None,None,None,None,0.9487179487179487,ok,200.845692303963
87,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,64.0,auto,6.0,15.0,None,None,None,None,0.9871794871794872,ok,202.1432277490385
88,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,25,None,None,None,None,None,None,10,None,distance,0.9139194139194139,ok,202.23369172494859
89,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,52.0,auto,15.0,17.0,None,None,None,None,0.978021978021978,ok,203.0812349759508
90,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,nnClassifier,relu,None,12.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,0.30952380952380953,ok,225.42853833385743
91,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,38.0,log2,2.0,2.0,None,None,None,None,0.9908424908424909,ok,226.51299155782908
92,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,45.0,log2,5.0,2.0,None,None,None,None,0.9853479853479854,ok,227.5826062350534
93,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,34,None,None,None,None,None,None,2,None,uniform,0.8956043956043956,ok,227.67645335500129
94,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,24.0,log2,2.0,7.0,None,None,None,None,0.9908424908424909,ok,228.75688544497825
95,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,34.0,auto,8.0,7.0,None,None,None,None,0.9322344322344323,ok,229.74053343595006
96,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,nnClassifier,tanh,None,29.0,None,None,constant,None,None,None,None,9.0,None,lbfgs,None,0.315018315018315,ok,233.5951889490243
97,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,49.0,sqrt,4.0,9.0,None,None,None,None,0.9853479853479854,ok,234.50841341004707
98,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,41.0,auto,3.0,20.0,None,None,None,None,0.9816849816849816,ok,235.75908187404275
99,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,kneighborsClassifier,None,brute,None,None,20,None,None,None,None,None,None,10,None,uniform,0.8205128205128205,ok,235.86365952785127
