,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
33,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,nnClassifier,identity,None,26.0,None,None,invscaling,None,None,None,None,6.0,None,adam,None,1.0,ok,178.18145583802834
34,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,nnClassifier,identity,None,27.0,None,None,invscaling,None,None,None,None,10.0,None,lbfgs,None,1.0,ok,178.4377526191529
35,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,kneighborsClassifier,None,ball_tree,None,None,28,None,None,None,None,None,None,5,None,distance,0.9957761351636748,ok,178.55137192714028
36,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,nnClassifier,identity,None,32.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,1.0,ok,178.78762779710814
37,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,nnClassifier,relu,None,28.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,1.0,ok,180.75841676606797
38,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,kneighborsClassifier,None,brute,None,None,30,None,None,None,None,None,None,10,None,uniform,0.9936642027455121,ok,180.98560350411572
39,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,nnClassifier,logistic,None,13.0,None,None,constant,None,None,None,None,9.0,None,lbfgs,None,1.0,ok,181.53996722516604
40,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,nnClassifier,logistic,None,12.0,None,None,constant,None,None,None,None,1.0,None,lbfgs,None,1.0,ok,181.92811360605992
41,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,kneighborsClassifier,None,brute,None,None,22,None,None,None,None,None,None,7,None,distance,0.9957761351636748,ok,182.13496035896242
42,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,nnClassifier,logistic,None,13.0,None,None,constant,None,None,None,None,9.0,None,lbfgs,None,1.0,ok,182.6061378910672
43,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,nnClassifier,logistic,None,9.0,None,None,constant,None,None,None,None,1.0,None,adam,None,1.0,ok,191.9162276010029
44,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,kneighborsClassifier,None,auto,None,None,9,None,None,None,None,None,None,4,None,uniform,0.9947201689545935,ok,192.13376676710322
45,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,99.0,auto,11.0,16.0,None,None,None,None,0.9947201689545935,ok,192.740063033998
46,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,nnClassifier,tanh,None,19.0,None,None,adaptive,None,None,None,None,2.0,None,sgd,None,1.0,ok,209.24013304896653
47,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,36.0,auto,9.0,4.0,None,None,None,None,0.9947201689545935,ok,209.8262113679666
48,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,nnClassifier,tanh,None,19.0,None,None,adaptive,None,None,None,None,4.0,None,sgd,None,1.0,ok,225.05985937011428
49,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,kneighborsClassifier,None,ball_tree,None,None,40,None,None,None,None,None,None,10,None,distance,0.9957761351636748,ok,225.1896173171699
50,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,nnClassifier,relu,None,21.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,1.0,ok,235.85256862314418
51,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,3.0,sqrt,15.0,27.0,None,None,None,None,0.9936642027455121,ok,236.3136197431013
