,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
15,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,78.0,sqrt,7.0,36.0,None,None,None,None,0.9957761351636748,ok,19.934176779119298
16,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,nnClassifier,relu,None,11,None,None,constant,None,None,None,None,7,None,lbfgs,None,1.0,ok,20.268436724087223
17,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,nnClassifier,relu,None,12,None,None,adaptive,None,None,None,None,8,None,adam,None,1.0,ok,23.968265648931265
18,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,kneighborsClassifier,None,auto,None,None,28.0,None,None,None,None,None,None,8.0,None,uniform,0.9947201689545935,ok,24.174569160910323
19,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,22.0,log2,11.0,13.0,None,None,None,None,0.9957761351636748,ok,24.758180170087144
20,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,nnClassifier,tanh,None,29,None,None,invscaling,None,None,None,None,2,None,adam,None,1.0,ok,30.186096461955458
21,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,nnClassifier,tanh,None,32,None,None,invscaling,None,None,None,None,1,None,sgd,None,0.9989440337909187,ok,45.0606790620368
22,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,nnClassifier,relu,None,19,None,None,adaptive,None,None,None,None,4,None,lbfgs,None,1.0,ok,45.37358579202555
23,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,nnClassifier,tanh,None,31,None,None,invscaling,None,None,None,None,5,None,lbfgs,None,1.0,ok,45.91295612906106
24,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,nnClassifier,tanh,None,28,None,None,invscaling,None,None,None,None,6,None,adam,None,1.0,ok,50.33787568495609
25,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,nnClassifier,tanh,None,28,None,None,invscaling,None,None,None,None,4,None,lbfgs,None,1.0,ok,50.87067636591382
26,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,nnClassifier,tanh,None,27,None,None,invscaling,None,None,None,None,3,None,lbfgs,None,1.0,ok,51.41853538295254
27,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,nnClassifier,relu,None,18,None,None,constant,None,None,None,None,9,None,adam,None,1.0,ok,54.28223593509756
28,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,nnClassifier,relu,None,16,None,None,constant,None,None,None,None,4,None,sgd,None,1.0,ok,57.886708735022694
29,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,nnClassifier,relu,None,16,None,None,constant,None,None,None,None,10,None,sgd,None,1.0,ok,61.6937134610489
30,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,nnClassifier,identity,None,8,None,None,constant,None,None,None,None,10,None,sgd,None,1.0,ok,66.5663543951232
31,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,kneighborsClassifier,None,kd_tree,None,None,3.0,None,None,None,None,None,None,10.0,None,distance,0.9947201689545935,ok,66.71414839592762
32,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,nnClassifier,logistic,None,21,None,None,adaptive,None,None,None,None,5,None,adam,None,1.0,ok,72.7571091230493
33,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,nnClassifier,identity,None,8,None,None,constant,None,None,None,None,10,None,sgd,None,1.0,ok,77.98762385896407
34,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,17.0,None,None,None,None,None,None,8.0,None,distance,0.9947201689545935,ok,78.17500342591666
35,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,nnClassifier,relu,None,12,None,None,adaptive,None,None,None,None,7,None,adam,None,1.0,ok,81.85483695892617
36,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,nnClassifier,identity,None,8,None,None,adaptive,None,None,None,None,9,None,sgd,None,1.0,ok,102.4825740319211
37,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,2.0,auto,19.0,4.0,None,None,None,None,0.9947201689545935,ok,102.9022149099037
38,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,nnClassifier,identity,None,31,None,None,constant,None,None,None,None,5,None,sgd,None,1.0,ok,105.04875281592831
39,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,kneighborsClassifier,None,auto,None,None,10.0,None,None,None,None,None,None,10.0,None,distance,0.9947201689545935,ok,105.25543316290714
40,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,nnClassifier,relu,None,20,None,None,adaptive,None,None,None,None,4,None,lbfgs,None,1.0,ok,105.67210420803167
41,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,99.0,auto,6.0,20.0,None,None,None,None,0.9957761351636748,ok,106.24002706003375
42,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,nnClassifier,tanh,None,29,None,None,invscaling,None,None,None,None,6,None,adam,None,1.0,ok,110.47394557506777
43,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,kneighborsClassifier,None,ball_tree,None,None,25.0,None,None,None,None,None,None,7.0,None,uniform,0.9947201689545935,ok,110.60114435106516
44,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,nnClassifier,identity,None,22,None,None,constant,None,None,None,None,5,None,sgd,None,1.0,ok,113.20266971900128
45,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,26.0,sqrt,16.0,4.0,None,None,None,None,0.9957761351636748,ok,113.79638995812275
46,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,nnClassifier,logistic,None,19,None,None,adaptive,None,None,None,None,3,None,lbfgs,None,1.0,ok,114.25876265601255
47,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,kneighborsClassifier,None,auto,None,None,40.0,None,None,None,None,None,None,1.0,None,distance,0.9926082365364308,ok,114.4839214219246
48,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,91.0,auto,15.0,17.0,None,None,None,None,0.9957761351636748,ok,115.07660577003844
49,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,nnClassifier,relu,None,26,None,None,invscaling,None,None,None,None,9,None,adam,None,1.0,ok,117.30106478999369
50,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,nnClassifier,tanh,None,32,None,None,invscaling,None,None,None,None,6,None,lbfgs,None,0.9989440337909187,ok,117.87327826512046
51,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,nnClassifier,tanh,None,26,None,None,invscaling,None,None,None,None,3,None,lbfgs,None,1.0,ok,118.42113475198857
52,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,39.0,None,None,None,None,None,None,4.0,None,uniform,0.9957761351636748,ok,118.56027930392884
53,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,2.0,sqrt,3.0,26.0,None,None,None,None,0.9947201689545935,ok,119.01134001091123
54,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,nnClassifier,logistic,None,18,None,None,constant,None,None,None,None,1,None,adam,None,1.0,ok,126.49546922696754
55,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,nnClassifier,relu,None,14,None,None,constant,None,None,None,None,8,None,adam,None,1.0,ok,129.93069768790156
56,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,nnClassifier,tanh,None,23,None,None,invscaling,None,None,None,None,8,None,adam,None,1.0,ok,133.99177350196987
57,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,30.0,auto,7.0,10.0,None,None,None,None,0.9957761351636748,ok,134.60725314798765
58,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,kneighborsClassifier,None,ball_tree,None,None,22.0,None,None,None,None,None,None,6.0,None,distance,0.9947201689545935,ok,134.71780144493096
59,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,nnClassifier,identity,None,15,None,None,constant,None,None,None,None,10,None,sgd,None,1.0,ok,137.97055332898162
60,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,nnClassifier,logistic,None,10,None,None,invscaling,None,None,None,None,2,None,sgd,None,1.0,ok,175.42526517505758
61,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,nnClassifier,identity,None,24,None,None,constant,None,None,None,None,4,None,lbfgs,None,1.0,ok,175.73505647899583
62,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,39.0,sqrt,15.0,39.0,None,None,None,None,0.9957761351636748,ok,176.26643267297186
63,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,nnClassifier,tanh,None,30,None,None,invscaling,None,None,None,None,2,None,lbfgs,None,1.0,ok,176.8284983919002
64,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,kneighborsClassifier,None,brute,None,None,10.0,None,None,None,None,None,None,9.0,None,distance,0.9957761351636748,ok,177.03419282496907
65,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,nnClassifier,logistic,None,29,None,None,adaptive,None,None,None,None,7,None,adam,None,1.0,ok,181.51047180197202
66,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,nnClassifier,logistic,None,21,None,None,constant,None,None,None,None,5,None,adam,None,1.0,ok,186.86765523604117
67,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,nnClassifier,relu,None,13,None,None,constant,None,None,None,None,9,None,sgd,None,1.0,ok,191.26535467407666
68,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,nnClassifier,relu,None,16,None,None,constant,None,None,None,None,10,None,sgd,None,1.0,ok,195.55083358404227
69,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,nnClassifier,relu,None,17,None,None,adaptive,None,None,None,None,3,None,lbfgs,None,1.0,ok,195.7464006699156
70,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,nnClassifier,tanh,None,31,None,None,invscaling,None,None,None,None,6,None,lbfgs,None,0.9989440337909187,ok,196.29154219012707
71,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,nnClassifier,relu,None,10,None,None,adaptive,None,None,None,None,7,None,lbfgs,None,1.0,ok,196.62511471798643
72,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,nnClassifier,identity,None,11,None,None,constant,None,None,None,None,10,None,sgd,None,1.0,ok,200.6991981130559
73,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,nnClassifier,identity,None,8,None,None,adaptive,None,None,None,None,9,None,sgd,None,1.0,ok,221.5065539800562
74,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,nnClassifier,identity,None,9,None,None,adaptive,None,None,None,None,8,None,sgd,None,1.0,ok,239.96035045292228
75,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,nnClassifier,tanh,None,27,None,None,invscaling,None,None,None,None,3,None,lbfgs,None,1.0,ok,240.5923718959093
76,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,nnClassifier,tanh,None,26,None,None,invscaling,None,None,None,None,3,None,lbfgs,None,1.0,ok,241.15819778712466
77,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,nnClassifier,identity,None,12,None,None,constant,None,None,None,None,7,None,sgd,None,1.0,ok,245.14609486190602
78,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,13.0,log2,9.0,24.0,None,None,None,None,0.9957761351636748,ok,245.67188868811354
79,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,kneighborsClassifier,None,auto,None,None,33.0,None,None,None,None,None,None,3.0,None,uniform,0.9947201689545935,ok,245.8442264890764
80,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,nnClassifier,logistic,None,23,None,None,constant,None,None,None,None,8,None,sgd,None,1.0,ok,251.0511614670977
81,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,nnClassifier,relu,None,20,None,None,adaptive,None,None,None,None,7,None,adam,None,1.0,ok,253.62022341205738
82,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,nnClassifier,relu,None,13,None,None,adaptive,None,None,None,None,4,None,adam,None,1.0,ok,257.61184435803443
83,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,17.0,None,None,None,None,None,None,6.0,None,uniform,0.9957761351636748,ok,257.7716614769306
84,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,81.0,auto,2.0,32.0,None,None,None,None,0.9957761351636748,ok,258.36578292702325
85,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,nnClassifier,relu,None,14,None,None,constant,None,None,None,None,1,None,sgd,None,1.0,ok,271.84908966789953
86,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,nnClassifier,identity,None,31,None,None,adaptive,None,None,None,None,5,None,sgd,None,1.0,ok,278.533242567908
87,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,nnClassifier,identity,None,16,None,None,constant,None,None,None,None,10,None,sgd,None,1.0,ok,281.7271691970527
88,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,nnClassifier,identity,None,15,None,None,constant,None,None,None,None,10,None,sgd,None,1.0,ok,285.0180951000657
89,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,71.0,auto,17.0,2.0,None,None,None,None,0.9957761351636748,ok,285.66476861410774
90,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,kneighborsClassifier,None,kd_tree,None,None,10.0,None,None,None,None,None,None,5.0,None,distance,0.9936642027455121,ok,285.78564792801626
91,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,nnClassifier,logistic,None,25,None,None,invscaling,None,None,None,None,3,None,adam,None,1.0,ok,292.05586131010205
92,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,nnClassifier,logistic,None,10,None,None,constant,None,None,None,None,9,None,sgd,None,1.0,ok,299.4721640991047
93,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,nnClassifier,logistic,None,29,None,None,adaptive,None,None,None,None,2,None,lbfgs,None,1.0,ok,299.8642805980053
94,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,nnClassifier,logistic,None,30,None,None,adaptive,None,None,None,None,2,None,lbfgs,None,1.0,ok,300.24923582491465
95,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,98.0,log2,5.0,7.0,None,None,None,None,0.9957761351636748,ok,300.794068580959
96,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,kneighborsClassifier,None,brute,None,None,22.0,None,None,None,None,None,None,1.0,None,distance,0.9926082365364308,ok,300.9890272009652
