feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,1,0,1,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,14,auto,6,32,nan,nan,NA,NA,0.9169719169719169,448.5048072338104
0,1,0,1,1,1,0,1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,14,sqrt,2,17,nan,nan,NA,NA,0.9169719169719169,454.41078639030457
1,1,1,0,0,0,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,30,auto,12,9,nan,nan,NA,NA,0.905982905982906,460.0055818557739
1,0,1,0,0,1,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,46,auto,5,2,nan,nan,NA,NA,0.9267399267399268,467.19567012786865
1,0,1,0,1,0,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,16,log2,20,9,nan,nan,NA,NA,0.9230769230769231,473.62434220314026
1,1,1,0,0,0,0,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,69,sqrt,13,38,nan,nan,NA,NA,0.8888888888888888,479.5817561149597
0,0,1,0,0,0,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,10,sqrt,11,2,nan,nan,NA,NA,0.9157509157509157,485.67515683174133
0,0,0,1,1,0,1,0,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,47,log2,11,23,nan,nan,NA,NA,0.9108669108669109,491.54078245162964
1,1,1,1,0,1,0,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,34,log2,2,28,nan,nan,NA,NA,0.9377289377289377,497.5962119102478
1,1,1,0,1,0,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,17,log2,10,22,nan,nan,NA,NA,0.8986568986568987,503.26003551483154
0,0,0,1,1,1,0,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,6,auto,14,32,nan,nan,NA,NA,0.9108669108669109,508.7197825908661
0,0,1,1,0,0,1,0,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,63,auto,5,2,nan,nan,NA,NA,0.9145299145299145,514.3824408054352
1,0,0,0,0,0,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,26,sqrt,5,9,nan,nan,NA,NA,0.8424908424908425,520.3083045482635
0,0,0,1,1,0,1,0,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,85,log2,12,2,nan,nan,NA,NA,0.9047619047619048,526.3635458946228
0,0,1,1,0,0,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,22,auto,20,12,nan,nan,NA,NA,0.8791208791208791,531.5445482730865
0,0,0,1,0,1,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,10,sqrt,3,2,nan,nan,NA,NA,0.9230769230769231,536.5359470844269
1,1,1,0,1,0,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,9,log2,16,17,nan,nan,NA,NA,0.8962148962148963,541.6814823150635
