activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,20,gini,1,1,0,0,1,0,1,0,0,0,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,5,sgd,distance,0.9145299145299145
relu,auto,26,gini,1,0,1,1,1,0,1,0,0,0,1,0,21,invscaling,32,log2,7,9,randomForestClassifier,1,10,adam,distance,0.9096459096459096
tanh,auto,30,entropy,0,1,1,0,1,0,1,1,1,0,0,0,12,constant,60,sqrt,12,16,randomForestClassifier,6,7,lbfgs,uniform,0.8962148962148963
tanh,auto,30,entropy,0,1,1,0,1,0,1,1,0,0,0,0,35,adaptive,9,sqrt,15,26,randomForestClassifier,6,3,lbfgs,distance,0.8962148962148963
tanh,ball_tree,13,entropy,1,1,0,1,0,1,0,1,1,0,0,0,5,invscaling,32,sqrt,12,20,randomForestClassifier,1,7,lbfgs,distance,0.8937728937728938
relu,auto,26,gini,1,0,1,1,1,0,1,0,1,0,0,0,12,constant,60,sqrt,12,16,randomForestClassifier,6,7,lbfgs,uniform,0.8901098901098901
relu,brute,23,entropy,0,0,0,1,1,0,1,1,0,0,1,1,39,invscaling,27,auto,19,17,randomForestClassifier,7,5,sgd,distance,0.9157509157509157
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,4,invscaling,26,log2,16,13,randomForestClassifier,4,3,adam,uniform,0.9218559218559218
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,0,1,0,21,invscaling,92,log2,7,9,randomForestClassifier,1,10,sgd,distance,0.9157509157509157
tanh,kd_tree,20,gini,1,1,0,0,1,0,1,0,0,0,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,5,sgd,distance,0.9145299145299145
tanh,kd_tree,20,gini,1,1,0,0,1,0,1,0,0,0,1,0,21,invscaling,32,log2,15,21,randomForestClassifier,1,10,adam,distance,0.9133089133089133
relu,auto,26,gini,1,0,0,1,1,0,1,0,1,0,0,0,12,constant,60,sqrt,12,16,randomForestClassifier,6,7,lbfgs,uniform,0.8925518925518926
tanh,auto,30,entropy,0,1,1,0,1,0,1,1,0,0,0,0,35,adaptive,9,sqrt,15,26,randomForestClassifier,6,3,lbfgs,distance,0.8962148962148963
tanh,auto,30,entropy,0,0,1,0,1,0,1,1,1,0,0,0,5,invscaling,32,sqrt,12,20,randomForestClassifier,1,7,lbfgs,distance,0.8888888888888888
tanh,ball_tree,13,entropy,1,1,0,1,0,1,0,1,1,0,0,0,12,constant,60,sqrt,12,16,nnClassifier,6,7,lbfgs,uniform,0.5885225885225885
relu,auto,26,gini,1,0,1,1,1,0,1,0,0,1,1,1,33,invscaling,26,auto,3,13,randomForestClassifier,4,3,adam,uniform,0.9230769230769231
logistic,brute,23,entropy,0,0,0,1,1,1,1,1,0,1,1,1,33,invscaling,26,auto,16,13,randomForestClassifier,4,3,adam,uniform,0.9291819291819292
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,0,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,5,sgd,distance,0.9255189255189256
relu,auto,26,gini,1,0,1,1,1,0,1,0,0,1,1,1,33,invscaling,26,auto,3,13,randomForestClassifier,4,3,adam,uniform,0.9230769230769231
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,33,invscaling,26,log2,16,13,randomForestClassifier,4,3,adam,uniform,0.9218559218559218
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,4,invscaling,26,log2,16,13,randomForestClassifier,4,3,adam,uniform,0.9218559218559218
tanh,kd_tree,20,gini,1,1,0,0,1,0,1,0,0,0,1,0,21,invscaling,32,log2,7,9,randomForestClassifier,1,10,adam,distance,0.9157509157509157
