feature_0,feature_1,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,30,sqrt,6,10,nan,nan,NA,NA,0.8981132075471698,271.45171570777893
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,60,sqrt,8,30,nan,nan,NA,NA,0.8943396226415095,276.3419568538666
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,281.45815539360046
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,5,auto,6,19,nan,nan,NA,NA,0.8547169811320755,286.46605682373047
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,97,auto,7,20,nan,nan,NA,NA,0.8886792452830189,291.3794484138489
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,2,auto,10,18,nan,nan,NA,NA,0.730188679245283,296.16623282432556
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,5,log2,10,14,nan,nan,NA,NA,0.8547169811320755,301.328173160553
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,88,auto,14,35,nan,nan,NA,NA,0.8905660377358491,306.5655405521393
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,9,sqrt,20,3,nan,nan,NA,NA,0.8830188679245283,311.2334611415863
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,65,auto,13,14,nan,nan,NA,NA,0.8924528301886793,316.1116375923157
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,58,log2,9,18,nan,nan,NA,NA,0.8943396226415095,321.55003094673157
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,18,sqrt,12,34,nan,nan,NA,NA,0.8886792452830189,326.47253823280334
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,30,log2,10,39,nan,nan,NA,NA,0.8905660377358491,331.22266268730164
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,45,auto,20,11,nan,nan,NA,NA,0.8830188679245283,336.22094535827637
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,61,auto,10,37,nan,nan,NA,NA,0.8905660377358491,341.17956042289734
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,4,sqrt,13,19,nan,nan,NA,NA,0.8452830188679246,345.926815032959
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,29,sqrt,15,18,nan,nan,NA,NA,0.8849056603773585,350.78889322280884
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,7,auto,3,18,nan,nan,NA,NA,0.8867924528301887,355.6834886074066
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,82,auto,14,18,nan,nan,NA,NA,0.8867924528301887,360.4846000671387
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,15,log2,4,6,nan,nan,NA,NA,0.9056603773584906,365.9411954879761
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,1,sqrt,7,36,nan,nan,NA,NA,0.8867924528301887,371.3260610103607
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,3,sqrt,13,11,nan,nan,NA,NA,0.7679245283018868,376.0709328651428
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,1,auto,6,12,nan,nan,NA,NA,0.8981132075471698,380.94466185569763
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,1,log2,6,11,nan,nan,NA,NA,0.9,386.09356570243835
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,14,sqrt,3,15,nan,nan,NA,NA,0.8981132075471698,391.5754020214081
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,7,auto,2,22,nan,nan,NA,NA,0.8811320754716981,396.40550327301025
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,2,auto,9,39,nan,nan,NA,NA,0.730188679245283,401.11992478370667
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,57,auto,5,38,nan,nan,NA,NA,0.8905660377358491,406.394113779068
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,48,sqrt,4,40,nan,nan,NA,NA,0.8924528301886793,411.7292523384094
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,66,auto,9,6,nan,nan,NA,NA,0.8943396226415095,417.1344542503357
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,50,auto,19,40,nan,nan,NA,NA,0.8849056603773585,421.6760904788971
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,39,log2,11,38,nan,nan,NA,NA,0.8886792452830189,426.94114327430725
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,6,sqrt,1,40,nan,nan,NA,NA,0.8679245283018868,431.72015833854675
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,3,sqrt,7,32,nan,nan,NA,NA,0.7811320754716982,436.4955198764801
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,45,log2,18,38,nan,nan,NA,NA,0.8886792452830189,441.4968218803406
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,1,sqrt,6,36,nan,nan,NA,NA,0.8886792452830189,446.762202501297
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,2,sqrt,3,27,nan,nan,NA,NA,0.730188679245283,451.6011188030243
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,1,auto,16,8,nan,nan,NA,NA,0.8905660377358491,456.4200019836426
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,76,log2,6,27,nan,nan,NA,NA,0.8924528301886793,461.1316964626312
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,68,sqrt,5,3,nan,nan,NA,NA,0.9075471698113208,465.8592655658722
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,15,sqrt,13,8,nan,nan,NA,NA,0.8886792452830189,470.39733695983887
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,97,log2,10,17,nan,nan,NA,NA,0.8924528301886793,475.2428631782532
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,15,sqrt,3,13,nan,nan,NA,NA,0.9037735849056604,480.1693594455719
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,72,sqrt,6,40,nan,nan,NA,NA,0.8943396226415095,485.5772511959076
1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,4,auto,1,3,nan,nan,NA,NA,0.8283018867924529,490.97571086883545
