activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,18,entropy,0,1,0,1,1,0,1,30,invscaling,22,auto,7,32,kneighborsClassifier,5,9,sgd,uniform,0.49217221135029354
identity,ball_tree,9,gini,1,1,1,1,0,1,0,17,invscaling,48,sqrt,5,21,randomForestClassifier,1,1,lbfgs,distance,0.6594911937377691
logistic,ball_tree,12,gini,1,0,1,1,0,1,1,31,constant,30,log2,15,37,nnClassifier,3,8,adam,distance,0.03816046966731898
relu,brute,8,entropy,1,0,0,1,1,0,0,17,constant,34,log2,2,4,nnClassifier,10,4,lbfgs,uniform,0.03718199608610567
relu,kd_tree,22,entropy,1,1,0,1,1,1,0,10,adaptive,18,auto,3,9,randomForestClassifier,7,3,sgd,uniform,0.7045009784735812
relu,brute,21,entropy,0,1,0,1,1,1,1,8,constant,49,sqrt,9,3,randomForestClassifier,6,6,sgd,uniform,0.6389432485322897
relu,brute,22,gini,1,1,1,1,0,0,0,10,adaptive,29,sqrt,4,35,kneighborsClassifier,7,10,lbfgs,uniform,0.550880626223092
relu,kd_tree,19,entropy,1,1,0,0,1,0,1,17,adaptive,83,log2,6,4,kneighborsClassifier,9,10,lbfgs,uniform,0.5195694716242661
identity,brute,23,gini,0,1,1,0,0,1,0,37,constant,3,sqrt,8,25,kneighborsClassifier,10,9,lbfgs,uniform,0.4452054794520548
logistic,ball_tree,31,gini,0,1,0,1,0,0,1,12,constant,9,auto,13,17,kneighborsClassifier,3,5,adam,distance,0.7279843444227005
logistic,brute,22,entropy,0,0,1,1,1,0,1,37,adaptive,71,log2,19,27,randomForestClassifier,3,8,lbfgs,uniform,0.5831702544031311
identity,kd_tree,25,entropy,1,0,1,0,0,1,1,17,adaptive,87,sqrt,15,19,randomForestClassifier,10,8,sgd,uniform,0.5870841487279843
identity,kd_tree,24,gini,1,1,1,0,1,1,1,8,constant,17,auto,18,25,randomForestClassifier,2,1,sgd,distance,0.6702544031311155
tanh,ball_tree,23,gini,1,0,1,1,1,1,0,37,constant,44,sqrt,15,36,nnClassifier,6,10,lbfgs,distance,0.050880626223091974
logistic,kd_tree,9,gini,1,1,0,0,0,0,1,10,constant,17,log2,12,24,kneighborsClassifier,4,7,sgd,distance,0.6986301369863014
relu,auto,9,entropy,0,0,1,1,0,0,0,29,invscaling,95,log2,15,2,randomForestClassifier,3,2,lbfgs,uniform,0.30919765166340507
identity,ball_tree,20,entropy,1,1,0,1,1,0,0,40,constant,4,sqrt,11,34,randomForestClassifier,10,4,lbfgs,uniform,0.42367906066536204
identity,kd_tree,20,entropy,0,1,0,1,0,1,1,39,invscaling,72,log2,20,20,kneighborsClassifier,10,4,adam,uniform,0.44031311154598823
logistic,brute,9,entropy,0,0,1,0,1,0,0,3,adaptive,4,log2,2,16,randomForestClassifier,6,2,sgd,uniform,0.3131115459882583
identity,ball_tree,15,gini,0,1,0,1,1,1,0,15,adaptive,15,log2,13,38,nnClassifier,9,5,sgd,distance,0.0
relu,kd_tree,30,gini,1,1,0,1,0,0,1,17,constant,94,log2,19,8,kneighborsClassifier,8,1,sgd,distance,0.8013698630136986
logistic,brute,16,gini,1,0,0,1,1,0,0,9,invscaling,29,log2,16,11,randomForestClassifier,6,9,sgd,distance,0.5234833659491194
logistic,kd_tree,14,gini,1,1,1,0,1,0,1,23,invscaling,4,sqrt,4,13,randomForestClassifier,10,9,lbfgs,uniform,0.44031311154598823
identity,ball_tree,17,gini,0,0,0,1,0,0,1,27,invscaling,22,log2,3,3,kneighborsClassifier,2,2,adam,distance,0.7093933463796478
identity,brute,19,gini,1,0,1,1,0,1,1,18,adaptive,58,sqrt,9,2,nnClassifier,7,1,adam,uniform,0.008806262230919765
identity,auto,11,entropy,1,0,1,1,0,0,0,28,invscaling,61,auto,16,27,kneighborsClassifier,5,3,lbfgs,distance,0.5401174168297456
identity,auto,8,gini,0,0,1,1,1,1,0,36,adaptive,73,sqrt,13,37,kneighborsClassifier,1,5,lbfgs,uniform,0.5616438356164384
identity,brute,17,gini,1,1,0,1,1,1,0,17,invscaling,81,auto,2,12,nnClassifier,10,10,lbfgs,distance,0.0019569471624266144
logistic,auto,14,gini,1,0,0,0,0,0,0,34,constant,90,sqrt,10,7,randomForestClassifier,5,10,sgd,uniform,0.11350293542074363
tanh,kd_tree,26,entropy,1,1,1,0,1,0,0,23,constant,81,auto,5,30,randomForestClassifier,5,7,adam,distance,0.6164383561643836
relu,kd_tree,15,entropy,0,1,1,0,1,1,1,35,constant,51,auto,19,19,nnClassifier,3,5,adam,uniform,0.0273972602739726
relu,ball_tree,31,gini,0,1,1,0,1,0,1,6,invscaling,3,log2,3,7,nnClassifier,3,7,adam,distance,0.030332681017612523
tanh,brute,17,gini,1,1,1,1,1,0,0,22,constant,52,auto,14,38,randomForestClassifier,8,3,adam,uniform,0.6360078277886497
