activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,28,entropy,1,0,1,0,1,0,1,38,adaptive,20,log2,11,34,nnClassifier,4,2,lbfgs,distance,0.004892367906066536
logistic,ball_tree,29,gini,0,1,0,0,1,1,1,23,adaptive,56,auto,14,27,kneighborsClassifier,1,2,sgd,distance,0.8669275929549902
relu,ball_tree,20,entropy,1,0,0,0,0,0,0,24,invscaling,98,log2,2,36,nnClassifier,7,2,lbfgs,distance,0.003913894324853229
identity,kd_tree,20,entropy,1,1,0,1,0,1,1,23,invscaling,3,log2,16,19,randomForestClassifier,2,9,lbfgs,uniform,0.32778864970645794
tanh,auto,14,gini,0,1,1,1,0,1,0,39,adaptive,58,sqrt,12,27,randomForestClassifier,5,10,lbfgs,distance,0.5205479452054794
relu,brute,10,entropy,1,1,1,1,0,1,1,40,constant,8,log2,3,6,randomForestClassifier,5,8,adam,uniform,0.6487279843444227
identity,kd_tree,9,entropy,0,1,0,0,1,0,0,26,constant,63,log2,13,30,kneighborsClassifier,5,6,sgd,distance,0.3336594911937378
tanh,brute,17,entropy,0,0,1,0,0,1,0,38,constant,78,sqrt,20,15,randomForestClassifier,4,9,lbfgs,uniform,0.36007827788649704
tanh,ball_tree,10,gini,1,0,0,0,1,1,0,38,invscaling,93,auto,7,28,kneighborsClassifier,3,2,sgd,uniform,0.6125244618395304
relu,kd_tree,23,entropy,1,1,0,0,1,0,0,5,invscaling,32,log2,5,12,randomForestClassifier,8,8,sgd,distance,0.5166340508806262
tanh,kd_tree,15,gini,1,1,1,0,0,0,0,11,invscaling,80,sqrt,14,11,nnClassifier,1,9,lbfgs,distance,0.0
logistic,ball_tree,9,gini,0,0,0,0,0,0,0,21,adaptive,93,sqrt,6,4,kneighborsClassifier,10,6,lbfgs,uniform,0
tanh,brute,20,entropy,1,0,0,1,0,1,0,2,constant,38,auto,14,18,kneighborsClassifier,7,1,lbfgs,distance,0.6105675146771037
tanh,brute,10,entropy,1,1,1,1,0,1,0,27,constant,36,log2,3,25,randomForestClassifier,3,5,adam,uniform,0.6340508806262231
relu,ball_tree,17,gini,0,1,1,1,0,1,1,30,invscaling,65,auto,8,13,randomForestClassifier,10,4,lbfgs,uniform,0.6467710371819961
identity,ball_tree,27,entropy,0,1,1,0,0,0,0,5,adaptive,53,auto,7,38,nnClassifier,1,8,sgd,distance,0.0
relu,ball_tree,18,entropy,0,1,1,1,0,0,0,32,adaptive,89,auto,10,19,nnClassifier,4,7,adam,distance,0.008806262230919765
relu,ball_tree,24,entropy,0,0,1,1,0,1,0,40,adaptive,76,sqrt,17,12,randomForestClassifier,9,3,adam,distance,0.45303326810176126
identity,auto,16,gini,1,0,1,0,1,1,1,22,invscaling,41,log2,4,3,nnClassifier,5,7,sgd,uniform,0.0009784735812133072
tanh,ball_tree,24,entropy,1,1,1,1,1,0,1,18,invscaling,83,auto,2,18,randomForestClassifier,7,6,lbfgs,uniform,0.7436399217221135
tanh,kd_tree,30,gini,1,0,0,1,0,1,0,15,invscaling,14,auto,16,11,nnClassifier,10,1,adam,distance,0.02837573385518591
tanh,ball_tree,17,entropy,0,0,0,0,0,0,1,13,invscaling,76,auto,17,33,nnClassifier,5,1,sgd,distance,0.0
tanh,auto,24,gini,0,1,1,1,0,1,1,7,invscaling,76,auto,8,24,nnClassifier,4,1,adam,distance,0.0273972602739726
relu,brute,22,gini,0,1,1,0,0,1,1,6,adaptive,5,log2,14,10,randomForestClassifier,6,7,adam,uniform,0.3953033268101761
relu,kd_tree,22,gini,1,0,1,0,1,0,1,24,adaptive,47,sqrt,10,16,kneighborsClassifier,6,8,lbfgs,distance,0.8855185909980431
relu,kd_tree,26,entropy,0,1,0,0,1,1,1,24,invscaling,84,auto,2,35,randomForestClassifier,10,1,lbfgs,uniform,0.5812133072407045
logistic,kd_tree,13,gini,0,1,1,1,0,1,0,23,invscaling,41,log2,12,20,kneighborsClassifier,1,3,lbfgs,uniform,0.5039138943248532
relu,ball_tree,20,entropy,1,0,1,1,0,1,0,24,invscaling,57,sqrt,9,18,kneighborsClassifier,7,2,lbfgs,distance,0.7778864970645792
logistic,kd_tree,27,entropy,0,1,0,1,1,1,0,38,constant,92,auto,9,33,nnClassifier,4,1,lbfgs,uniform,0.015655577299412915
logistic,auto,22,entropy,0,0,0,1,1,1,1,36,invscaling,90,log2,19,31,kneighborsClassifier,4,3,lbfgs,distance,0.8698630136986302
logistic,kd_tree,23,gini,0,1,0,1,0,0,1,35,adaptive,59,sqrt,17,18,kneighborsClassifier,6,10,adam,uniform,0.36888454011741684
logistic,brute,20,gini,1,1,0,0,0,1,0,20,constant,27,log2,7,24,randomForestClassifier,8,4,sgd,distance,0.47162426614481406
tanh,kd_tree,25,entropy,1,1,1,1,1,0,1,17,invscaling,23,auto,2,4,randomForestClassifier,4,7,adam,uniform,0.8414872798434442
tanh,brute,11,entropy,0,0,0,0,1,1,0,28,adaptive,19,auto,4,26,nnClassifier,1,5,lbfgs,uniform,0.0
logistic,auto,15,entropy,1,0,0,1,0,0,0,18,adaptive,41,log2,10,19,randomForestClassifier,7,10,sgd,uniform,0.2720156555772994
logistic,auto,29,entropy,0,1,0,0,1,1,0,18,invscaling,82,sqrt,15,11,randomForestClassifier,2,1,lbfgs,uniform,0.449119373776908
identity,ball_tree,24,entropy,1,0,1,1,1,0,1,29,invscaling,76,sqrt,13,33,randomForestClassifier,1,4,lbfgs,uniform,0.6947162426614482
identity,kd_tree,24,gini,0,0,1,0,1,1,0,17,invscaling,72,auto,2,2,nnClassifier,2,6,adam,uniform,0.0009784735812133072
identity,auto,12,gini,1,1,0,1,1,0,0,40,invscaling,53,auto,18,39,kneighborsClassifier,10,6,sgd,uniform,0.5332681017612525
relu,ball_tree,13,entropy,1,1,1,1,1,0,1,14,constant,40,log2,15,17,kneighborsClassifier,1,7,sgd,uniform,0.6213307240704501
relu,brute,27,entropy,0,0,0,0,1,1,1,5,constant,88,log2,2,5,nnClassifier,7,5,sgd,distance,0.010763209393346379
identity,auto,9,gini,1,0,1,0,0,1,0,22,invscaling,50,sqrt,17,8,kneighborsClassifier,3,2,adam,uniform,0.5900195694716243
tanh,kd_tree,17,gini,1,0,0,1,0,0,0,33,constant,80,sqrt,17,32,kneighborsClassifier,1,9,lbfgs,distance,0.2720156555772994
identity,ball_tree,10,entropy,0,0,1,1,0,1,0,9,constant,67,log2,17,29,nnClassifier,8,5,sgd,uniform,0.0019569471624266144
relu,brute,27,gini,1,1,0,1,1,0,0,5,invscaling,89,log2,2,40,kneighborsClassifier,6,7,lbfgs,uniform,0.5342465753424658
identity,auto,11,entropy,0,0,0,0,0,0,1,34,constant,48,auto,13,27,nnClassifier,3,2,lbfgs,uniform,0.0009784735812133072
logistic,kd_tree,18,entropy,1,1,1,1,1,1,1,32,adaptive,88,sqrt,12,18,nnClassifier,2,8,lbfgs,uniform,0.0
logistic,kd_tree,32,gini,1,1,1,0,1,0,1,33,adaptive,4,sqrt,6,37,randomForestClassifier,10,2,lbfgs,distance,0.4334637964774951
identity,kd_tree,26,entropy,0,1,1,0,1,1,0,39,constant,52,auto,20,32,nnClassifier,9,5,sgd,distance,0.005870841487279843
logistic,kd_tree,30,entropy,0,1,0,1,1,0,0,11,constant,1,sqrt,9,22,kneighborsClassifier,5,7,lbfgs,uniform,0.4158512720156556
tanh,kd_tree,18,entropy,0,0,0,0,0,1,0,9,constant,58,log2,2,22,nnClassifier,3,2,sgd,distance,0.0
identity,auto,21,entropy,1,1,1,1,1,0,1,7,constant,26,sqrt,3,20,randomForestClassifier,10,10,adam,distance,0.7348336594911937
tanh,brute,10,entropy,0,0,1,0,1,0,1,5,adaptive,43,log2,7,17,kneighborsClassifier,4,6,lbfgs,uniform,0.5273972602739726
relu,kd_tree,21,gini,0,1,0,0,0,0,0,33,adaptive,66,log2,3,12,kneighborsClassifier,6,8,lbfgs,uniform,0.17318982387475537
tanh,kd_tree,17,gini,0,0,1,1,0,0,1,34,constant,72,log2,17,6,nnClassifier,3,5,adam,uniform,0.0019569471624266144
logistic,brute,21,gini,1,1,1,1,0,1,1,30,adaptive,75,log2,7,19,randomForestClassifier,3,3,sgd,distance,0.723091976516634
tanh,brute,13,entropy,1,0,1,1,0,1,0,16,adaptive,64,auto,5,18,randomForestClassifier,5,9,lbfgs,distance,0.6086105675146771
identity,ball_tree,10,gini,1,0,1,0,1,0,1,8,constant,48,log2,11,25,randomForestClassifier,5,9,lbfgs,uniform,0.6682974559686888
relu,brute,25,gini,0,1,0,1,1,0,1,25,invscaling,25,sqrt,7,6,kneighborsClassifier,9,2,lbfgs,distance,0.8532289628180039
identity,kd_tree,30,gini,1,1,0,0,1,1,1,34,invscaling,73,auto,4,23,randomForestClassifier,5,5,adam,uniform,0.6976516634050881
tanh,brute,19,gini,1,0,1,0,1,1,1,16,constant,65,auto,17,39,randomForestClassifier,3,5,lbfgs,uniform,0.6585127201565558
relu,ball_tree,8,entropy,0,0,0,0,0,0,1,14,constant,84,log2,11,7,nnClassifier,2,8,lbfgs,uniform,0.0
tanh,brute,16,entropy,1,0,0,0,1,1,1,24,adaptive,41,auto,6,5,nnClassifier,7,4,sgd,uniform,0.0273972602739726
identity,auto,29,gini,0,0,0,0,1,0,1,21,adaptive,69,auto,8,10,randomForestClassifier,1,9,lbfgs,distance,0.5068493150684932
identity,ball_tree,17,gini,0,1,1,0,1,1,1,13,adaptive,20,sqrt,2,29,kneighborsClassifier,3,7,adam,uniform,0.5587084148727984
tanh,kd_tree,21,entropy,1,1,1,0,0,1,1,39,invscaling,97,sqrt,9,5,kneighborsClassifier,7,3,sgd,uniform,0.5567514677103719
logistic,ball_tree,29,gini,0,0,1,1,0,0,1,13,adaptive,30,log2,8,26,kneighborsClassifier,3,1,adam,uniform,0.7935420743639922
tanh,brute,26,entropy,0,1,1,0,1,1,0,11,invscaling,15,sqrt,12,14,randomForestClassifier,8,8,lbfgs,distance,0.5352250489236791
relu,ball_tree,29,gini,1,1,0,0,0,1,0,18,invscaling,60,auto,9,24,kneighborsClassifier,1,9,adam,distance,0.5998043052837574
relu,brute,27,gini,1,0,0,1,1,0,1,23,invscaling,94,auto,9,14,randomForestClassifier,6,10,adam,uniform,0.6487279843444227
tanh,auto,23,entropy,1,0,0,1,1,0,0,30,invscaling,73,sqrt,15,21,kneighborsClassifier,4,8,adam,uniform,0.5078277886497065
tanh,ball_tree,13,entropy,1,0,0,0,0,1,1,22,constant,50,auto,4,8,kneighborsClassifier,6,2,adam,uniform,0.5577299412915852
tanh,auto,14,gini,1,1,1,1,1,0,1,39,constant,75,sqrt,5,25,kneighborsClassifier,2,4,lbfgs,distance,0.8953033268101761
identity,auto,20,gini,0,0,1,1,1,0,0,18,adaptive,49,log2,12,32,randomForestClassifier,3,2,adam,uniform,0.5156555772994129
logistic,ball_tree,27,gini,1,1,1,0,0,0,0,21,adaptive,74,sqrt,7,12,nnClassifier,9,1,adam,distance,0.02446183953033268
logistic,ball_tree,18,entropy,1,0,1,1,1,0,0,12,constant,61,log2,10,39,randomForestClassifier,3,8,sgd,uniform,0.5929549902152642
logistic,kd_tree,22,gini,0,1,1,1,1,0,1,7,invscaling,62,sqrt,6,34,randomForestClassifier,7,2,sgd,uniform,0.6594911937377691
relu,kd_tree,21,entropy,1,1,0,0,1,0,1,20,adaptive,4,sqrt,18,31,randomForestClassifier,5,5,lbfgs,distance,0.4334637964774951
identity,brute,28,entropy,0,0,1,0,0,1,1,5,adaptive,24,auto,14,7,kneighborsClassifier,10,5,sgd,uniform,0.4383561643835616
relu,kd_tree,29,entropy,1,1,1,1,1,1,1,4,invscaling,37,sqrt,14,3,randomForestClassifier,1,1,sgd,distance,0.6908023483365949
