activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,kd_tree,18,gini,0,0,1,0,1,1,0,4,constant,60,auto,17,28,nnClassifier,6,9,adam,uniform,0.025440313111545987
logistic,ball_tree,9,entropy,1,1,1,0,0,1,0,27,constant,28,sqrt,8,26,nnClassifier,8,6,adam,uniform,0.04598825831702544
identity,brute,9,gini,0,1,1,0,1,0,0,2,adaptive,98,sqrt,17,17,kneighborsClassifier,6,8,lbfgs,distance,0.639921722113503
relu,auto,24,gini,1,0,0,0,1,1,0,28,invscaling,60,log2,4,25,randomForestClassifier,3,10,adam,distance,0.5567514677103719
tanh,ball_tree,18,entropy,0,1,1,1,1,0,0,13,adaptive,68,log2,11,39,nnClassifier,2,9,adam,uniform,0.007827788649706457
tanh,brute,26,entropy,0,1,0,1,0,0,0,15,adaptive,11,sqrt,16,37,randomForestClassifier,4,2,sgd,uniform,0.22700587084148727
logistic,ball_tree,8,gini,1,0,0,1,1,0,1,19,invscaling,56,auto,20,40,nnClassifier,4,1,adam,uniform,0.03913894324853229
tanh,kd_tree,18,entropy,1,1,0,1,0,0,0,26,adaptive,8,sqrt,2,4,randomForestClassifier,8,10,adam,uniform,0.42367906066536204
tanh,kd_tree,8,gini,1,0,1,0,0,1,0,19,invscaling,9,sqrt,4,20,kneighborsClassifier,10,7,sgd,distance,0.726027397260274
logistic,ball_tree,10,entropy,0,1,0,0,1,0,1,32,adaptive,28,sqrt,12,33,randomForestClassifier,1,6,sgd,distance,0.45107632093933464
logistic,auto,25,entropy,1,1,0,1,1,0,0,31,invscaling,26,sqrt,12,4,nnClassifier,10,10,sgd,uniform,0.0
logistic,brute,30,entropy,0,1,1,1,1,1,1,23,invscaling,74,auto,9,39,nnClassifier,1,1,lbfgs,distance,0.0
identity,kd_tree,27,gini,1,0,1,1,0,0,1,36,invscaling,64,log2,2,9,nnClassifier,5,10,lbfgs,distance,0.008806262230919765
tanh,ball_tree,9,entropy,0,1,0,1,1,0,1,40,adaptive,24,auto,17,13,nnClassifier,2,8,sgd,uniform,0.004892367906066536
identity,ball_tree,10,entropy,0,1,1,1,0,0,0,40,constant,97,sqrt,9,31,nnClassifier,6,3,lbfgs,uniform,0.003913894324853229
relu,ball_tree,16,gini,0,0,0,1,0,1,1,22,invscaling,18,sqrt,6,11,nnClassifier,6,6,sgd,distance,0.0
tanh,brute,11,entropy,0,0,1,1,1,0,0,26,constant,42,log2,6,18,kneighborsClassifier,8,9,sgd,uniform,0.48140900195694714
tanh,kd_tree,26,gini,1,0,0,1,1,0,0,9,invscaling,63,auto,5,38,randomForestClassifier,4,2,sgd,uniform,0.4911937377690802
relu,brute,28,gini,0,0,1,1,0,0,1,16,constant,67,log2,20,26,kneighborsClassifier,3,3,adam,uniform,0.3913894324853229
tanh,kd_tree,31,gini,1,1,1,1,1,0,1,8,invscaling,59,auto,12,8,kneighborsClassifier,6,4,sgd,distance,0.8825831702544031
identity,ball_tree,25,entropy,0,1,0,0,0,1,0,39,invscaling,71,sqrt,7,24,nnClassifier,9,10,adam,distance,0.0
relu,auto,25,entropy,0,1,0,0,0,1,0,29,constant,22,log2,2,33,randomForestClassifier,9,8,adam,distance,0.3336594911937378
identity,ball_tree,31,entropy,1,0,0,1,0,0,0,11,constant,19,auto,8,14,kneighborsClassifier,2,2,sgd,distance,0.2162426614481409
logistic,kd_tree,17,gini,1,1,1,0,0,1,1,19,adaptive,19,sqrt,5,32,nnClassifier,10,6,sgd,distance,0.010763209393346379
tanh,brute,29,gini,1,1,1,1,1,1,1,26,invscaling,76,log2,12,17,kneighborsClassifier,3,10,adam,distance,0.8825831702544031
relu,auto,9,gini,0,1,0,0,1,0,1,20,invscaling,96,sqrt,12,28,randomForestClassifier,6,5,sgd,distance,0.45596868884540115
logistic,auto,20,gini,1,0,0,1,1,1,0,20,invscaling,96,log2,10,14,randomForestClassifier,8,7,sgd,distance,0.6007827788649707
identity,brute,12,gini,1,1,0,0,1,0,0,23,adaptive,17,auto,12,25,randomForestClassifier,5,6,adam,distance,0.48532289628180036
identity,auto,26,entropy,1,1,1,0,1,0,1,5,invscaling,2,sqrt,20,36,kneighborsClassifier,2,8,sgd,distance,0.87279843444227
relu,kd_tree,20,gini,0,0,0,0,0,1,0,20,constant,36,sqrt,18,25,nnClassifier,4,5,lbfgs,distance,0.0019569471624266144
