activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,17,gini,1,1,1,1,32,constant,45,auto,9,18,nnClassifier,3,4,adam,distance,0.9780092592592593,149.3245721310377
relu,auto,30,gini,1,1,1,1,11,constant,12,auto,12,13,nnClassifier,3,6,adam,distance,0.9803240740740741,149.32460441091098
relu,auto,27,gini,1,1,1,1,21,constant,42,auto,9,13,nnClassifier,2,6,adam,distance,0.9814814814814815,149.3246363310609
relu,auto,21,gini,1,1,1,1,18,constant,21,auto,9,12,nnClassifier,3,6,adam,distance,0.5115740740740741,149.32466813991778
relu,auto,17,gini,1,1,1,1,20,constant,56,auto,11,10,nnClassifier,3,8,adam,distance,0.9780092592592593,149.32470002002083
relu,auto,28,gini,1,1,1,1,18,constant,74,auto,8,32,nnClassifier,5,6,adam,distance,0.5104166666666666,149.32473200908862
relu,auto,27,gini,1,1,1,1,20,constant,82,auto,7,13,nnClassifier,2,6,adam,distance,1.0,149.3247636789456
relu,auto,25,gini,1,1,1,1,20,constant,63,auto,12,12,nnClassifier,4,6,adam,distance,0.5104166666666666,149.32479474903084
relu,auto,25,gini,1,1,1,1,22,constant,79,auto,11,11,nnClassifier,2,6,adam,distance,0.5555555555555556,149.3248267879244
relu,auto,20,gini,1,1,1,1,21,constant,22,auto,8,13,nnClassifier,1,5,adam,distance,0.5138888888888888,149.32485854788683
relu,auto,30,gini,1,1,1,1,18,constant,13,auto,7,10,nnClassifier,3,8,adam,distance,0.9814814814814815,149.32489036791958
relu,auto,26,gini,1,1,1,1,22,constant,80,auto,7,13,nnClassifier,4,7,adam,distance,0.9826388888888888,149.3249220668804
relu,auto,17,gini,1,1,1,1,20,constant,17,auto,10,11,nnClassifier,3,9,adam,distance,0.9803240740740741,149.32495396700688
relu,auto,28,gini,1,1,1,1,20,constant,22,auto,9,11,nnClassifier,3,6,adam,distance,0.5115740740740741,448.1125359830912
relu,auto,29,gini,1,1,1,1,20,constant,44,auto,9,9,nnClassifier,3,7,adam,distance,0.5115740740740741,448.1125915630255
relu,auto,24,gini,1,1,1,1,18,constant,83,auto,9,20,nnClassifier,2,8,adam,distance,0.5115740740740741,448.1126260620076
relu,auto,31,gini,1,1,1,1,20,constant,39,auto,10,16,nnClassifier,5,9,adam,distance,0.5115740740740741,448.1126588420011
relu,auto,20,gini,1,1,1,1,18,constant,48,auto,8,10,nnClassifier,2,7,adam,distance,0.5115740740740741,448.1126911819447
relu,auto,29,gini,1,1,1,1,22,constant,14,auto,13,25,nnClassifier,6,6,adam,distance,0.5115740740740741,448.11272340104915
relu,auto,27,gini,1,1,1,1,24,constant,30,auto,10,27,nnClassifier,5,4,adam,distance,0.5115740740740741,448.1127560310997
relu,auto,16,gini,1,1,1,1,33,constant,41,auto,9,14,nnClassifier,3,4,adam,distance,0.5115740740740741,448.1127881309949
relu,auto,26,gini,1,1,1,1,15,constant,16,auto,8,11,nnClassifier,3,7,adam,distance,0.5115740740740741,448.1128202099353
relu,auto,28,gini,1,1,1,1,17,constant,38,auto,9,11,nnClassifier,1,6,adam,distance,0.5115740740740741,448.112852249993
relu,auto,25,gini,1,1,1,1,14,constant,21,auto,9,12,nnClassifier,3,3,adam,distance,0.5115740740740741,448.1128841799218
relu,auto,21,gini,1,1,1,1,20,constant,52,auto,7,12,nnClassifier,6,5,adam,distance,0.5115740740740741,448.1129161689896
relu,auto,28,gini,1,1,1,1,21,constant,70,auto,6,28,nnClassifier,1,6,adam,distance,0.5115740740740741,448.1129480989184
relu,auto,29,gini,1,1,1,1,20,constant,78,auto,11,12,nnClassifier,4,6,adam,distance,0.5115740740740741,448.1129799580667
relu,auto,29,gini,1,1,1,1,21,constant,59,auto,16,11,nnClassifier,5,6,adam,distance,0.5115740740740741,448.1130120079033
relu,auto,29,gini,1,1,1,1,18,constant,75,auto,10,15,nnClassifier,1,6,adam,distance,0.5115740740740741,448.1130438980181
relu,auto,24,gini,1,1,1,1,20,constant,22,auto,9,9,nnClassifier,5,5,adam,distance,0.5115740740740741,448.11308677704073
relu,auto,26,gini,1,1,1,1,22,constant,17,auto,8,11,nnClassifier,3,6,adam,distance,0.5115740740740741,448.11311875702813
relu,auto,28,gini,1,1,1,1,20,constant,76,auto,10,9,nnClassifier,1,7,adam,distance,0.5115740740740741,448.1131508569233
relu,auto,15,gini,1,1,1,1,18,constant,16,auto,6,9,nnClassifier,3,6,adam,distance,0.5115740740740741,448.1131827759091
relu,auto,28,gini,1,1,1,1,20,constant,22,auto,9,11,nnClassifier,3,6,adam,distance,0.5115740740740741,744.228335916996
relu,auto,28,gini,1,1,1,1,23,constant,40,auto,9,9,nnClassifier,3,7,adam,distance,0.5115740740740741,744.2283853769768
relu,auto,24,gini,1,1,1,1,17,constant,79,auto,13,16,nnClassifier,3,7,adam,distance,0.5115740740740741,744.2284192959778
relu,auto,30,gini,1,1,1,1,16,constant,43,auto,10,13,nnClassifier,9,5,adam,distance,0.5115740740740741,744.2284518759698
relu,auto,16,gini,1,1,1,1,19,constant,44,auto,7,10,nnClassifier,6,5,adam,distance,0.5115740740740741,744.2284839050844
relu,auto,26,gini,1,1,1,1,24,constant,10,auto,12,21,nnClassifier,7,3,adam,distance,0.5115740740740741,744.2285162350163
relu,auto,23,gini,1,1,1,1,24,constant,34,auto,10,23,nnClassifier,4,1,adam,distance,0.5115740740740741,744.2285587049555
relu,auto,18,gini,1,1,1,1,29,constant,37,auto,9,10,nnClassifier,5,7,adam,distance,0.5115740740740741,744.2285910539795
relu,auto,30,gini,1,1,1,1,11,constant,12,auto,10,13,nnClassifier,3,6,adam,distance,0.5115740740740741,744.2286229738966
relu,auto,28,gini,1,1,1,1,20,constant,34,auto,11,12,nnClassifier,5,6,adam,distance,0.5138888888888888,744.2286548139527
relu,auto,29,gini,1,1,1,1,18,constant,21,auto,10,13,nnClassifier,3,6,adam,distance,0.5115740740740741,744.2286867429502
relu,auto,19,gini,1,1,1,1,20,constant,48,auto,8,11,nnClassifier,2,6,adam,distance,0.5104166666666666,744.2287187830079
relu,auto,28,gini,1,1,1,1,21,constant,66,auto,8,24,nnClassifier,1,6,adam,distance,0.5138888888888888,744.2287508819718
relu,auto,28,gini,1,1,1,1,20,constant,74,auto,7,8,nnClassifier,2,6,adam,distance,0.5115740740740741,744.2287830018904
relu,auto,26,gini,1,1,1,1,25,constant,55,auto,12,14,nnClassifier,5,5,adam,distance,0.5115740740740741,744.2288150920067
relu,auto,25,gini,1,1,1,1,19,constant,71,auto,9,12,nnClassifier,3,6,adam,distance,0.5127314814814815,744.2288471609354
relu,auto,28,gini,1,1,1,1,19,constant,22,auto,10,9,nnClassifier,3,8,adam,distance,0.5115740740740741,744.2288793209009
relu,auto,24,gini,1,1,1,1,20,constant,13,auto,9,11,nnClassifier,3,5,adam,distance,0.5115740740740741,744.2289111509454
relu,auto,29,gini,1,1,1,1,19,constant,79,auto,11,13,nnClassifier,5,6,adam,distance,0.5138888888888888,744.2289428599179
relu,auto,19,gini,1,1,1,1,17,constant,20,auto,5,9,nnClassifier,4,9,adam,distance,0.5115740740740741,744.2289748999756
relu,auto,28,gini,1,1,1,1,20,constant,22,auto,9,11,nnClassifier,3,6,adam,distance,0.5115740740740741,1025.843183672987
relu,auto,28,gini,1,1,1,1,26,constant,36,auto,9,13,nnClassifier,1,5,adam,distance,0.5115740740740741,1025.8432362619787
relu,auto,23,gini,1,1,1,1,21,constant,75,auto,16,20,nnClassifier,2,5,adam,distance,0.5115740740740741,1025.843269631965
relu,auto,29,gini,1,1,1,1,12,constant,39,auto,9,17,nnClassifier,5,9,adam,distance,0.5115740740740741,1025.8433022310492
relu,auto,20,gini,1,1,1,1,20,constant,40,auto,10,12,nnClassifier,4,6,adam,distance,0.5138888888888888,1025.843334560981
relu,auto,28,gini,1,1,1,1,20,constant,14,auto,15,25,nnClassifier,3,7,adam,distance,0.5115740740740741,1025.843367089983
relu,auto,20,gini,1,1,1,1,24,constant,30,auto,10,20,nnClassifier,2,5,adam,distance,0.5115740740740741,1025.8433989998884
relu,auto,22,gini,1,1,1,1,25,constant,33,auto,9,14,nnClassifier,4,5,adam,distance,0.5115740740740741,1025.8434312399477
relu,auto,28,gini,1,1,1,1,15,constant,12,auto,10,17,nnClassifier,3,7,adam,distance,0.5115740740740741,1025.8434633689467
relu,auto,26,gini,1,1,1,1,21,constant,33,auto,10,11,nnClassifier,5,6,adam,distance,0.5115740740740741,1025.8434954090044
relu,auto,28,gini,1,1,1,1,14,constant,23,auto,10,15,nnClassifier,3,3,adam,distance,0.5115740740740741,1025.8435273689684
relu,auto,19,gini,1,1,1,1,20,constant,44,auto,9,12,nnClassifier,1,6,adam,distance,0.5115740740740741,1025.8435592679307
relu,auto,28,gini,1,1,1,1,19,constant,62,auto,9,20,nnClassifier,1,6,adam,distance,0.5138888888888888,1025.8435914081056
relu,auto,27,gini,1,1,1,1,20,constant,78,auto,7,8,nnClassifier,5,6,adam,distance,0.5115740740740741,1025.843623647932
relu,auto,28,gini,1,1,1,1,26,constant,51,auto,15,10,nnClassifier,5,6,adam,distance,0.5115740740740741,1025.8436555669177
relu,auto,22,gini,1,1,1,1,23,constant,72,auto,11,15,nnClassifier,2,6,adam,distance,0.5115740740740741,1025.843687477056
relu,auto,24,gini,1,1,1,1,21,constant,22,auto,8,13,nnClassifier,2,7,adam,distance,0.5115740740740741,1025.8437196959276
relu,auto,26,gini,1,1,1,1,19,constant,17,auto,10,10,nnClassifier,3,7,adam,distance,0.5115740740740741,1025.8437515560072
relu,auto,28,gini,1,1,1,1,20,constant,75,auto,11,9,nnClassifier,5,9,adam,distance,0.5115740740740741,1025.8437835660297
relu,auto,18,gini,1,1,1,1,19,constant,22,auto,9,9,nnClassifier,2,6,adam,distance,0.5115740740740741,1025.8438155949116
