activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,27,gini,1,1,23,constant,77,auto,17,32,nnClassifier,8,10,adam,distance,0.8943396226415095,46.163900741841644
relu,auto,27,gini,1,1,30,constant,57,auto,17,20,nnClassifier,9,9,adam,distance,0.9018867924528302,46.16392988106236
relu,auto,28,gini,1,1,32,constant,45,auto,17,26,nnClassifier,8,10,adam,distance,0.9018867924528302,46.16395879094489
relu,auto,25,gini,1,1,28,constant,46,auto,17,6,nnClassifier,10,9,adam,distance,0.9018867924528302,46.16398849990219
relu,auto,26,gini,1,1,27,constant,12,auto,17,20,nnClassifier,9,9,adam,distance,0.9018867924528302,46.16401795996353
relu,auto,23,gini,1,1,30,constant,49,auto,17,22,nnClassifier,8,8,adam,distance,0.5075471698113208,46.16404758905992
relu,auto,17,gini,1,1,30,constant,10,auto,12,17,nnClassifier,9,10,adam,distance,0.5452830188679245,46.164077028864995
relu,auto,25,gini,1,1,21,constant,37,auto,17,17,nnClassifier,10,9,adam,distance,0.8943396226415095,46.16410672804341
relu,auto,13,gini,1,1,30,constant,78,auto,18,22,nnClassifier,10,8,adam,distance,0.8962264150943396,46.16413608798757
relu,auto,20,gini,1,1,34,constant,42,auto,15,22,nnClassifier,10,8,adam,distance,0.5188679245283019,318.76963226799853
relu,auto,27,gini,1,1,34,constant,49,auto,15,19,nnClassifier,9,6,adam,distance,0.5264150943396226,318.7696799270343
relu,auto,19,gini,1,1,18,constant,58,auto,13,14,nnClassifier,7,9,adam,distance,0.5207547169811321,318.7697109270375
relu,auto,30,gini,1,1,16,constant,55,auto,17,20,nnClassifier,10,10,adam,distance,0.5245283018867924,318.76974066603
relu,auto,25,gini,1,1,35,constant,80,auto,15,25,nnClassifier,9,9,adam,distance,0.5264150943396226,318.7697708560154
relu,auto,21,gini,1,1,15,constant,65,auto,17,22,nnClassifier,10,9,adam,distance,0.5245283018867924,318.769800264854
relu,auto,29,gini,1,1,21,constant,65,auto,19,15,nnClassifier,10,10,adam,distance,0.5226415094339623,318.76983005483635
relu,auto,22,gini,1,1,27,constant,16,auto,19,20,nnClassifier,8,6,adam,distance,0.5113207547169811,318.7698594138492
relu,auto,27,gini,1,1,26,constant,27,auto,13,23,nnClassifier,8,6,adam,distance,0.5132075471698113,318.7698885940481
relu,auto,26,gini,1,1,20,constant,56,auto,17,18,nnClassifier,9,9,adam,distance,0.5150943396226415,318.7699176229071
relu,auto,20,gini,1,1,15,constant,58,auto,17,19,nnClassifier,10,7,adam,distance,0.5094339622641509,318.76994678284973
relu,auto,27,gini,1,1,27,constant,73,auto,17,28,nnClassifier,10,7,adam,distance,0.5132075471698113,318.7699759718962
relu,auto,27,gini,1,1,30,constant,57,auto,17,20,nnClassifier,9,9,adam,distance,0.5188679245283019,318.77000519190915
relu,auto,27,gini,1,1,30,constant,49,auto,17,22,nnClassifier,9,10,adam,distance,0.5226415094339623,318.7700345609337
relu,auto,29,gini,1,1,27,constant,42,auto,17,8,nnClassifier,9,9,adam,distance,0.5264150943396226,318.77006390085444
relu,auto,28,gini,1,1,28,constant,16,auto,17,20,nnClassifier,9,9,adam,distance,0.5264150943396226,318.77009315998293
relu,auto,27,gini,1,1,32,constant,53,auto,18,21,nnClassifier,9,10,adam,distance,0.5113207547169811,318.7701221900061
relu,auto,19,gini,1,1,30,constant,6,auto,16,19,nnClassifier,5,6,adam,distance,0.5283018867924528,318.77015129989013
relu,auto,22,gini,1,1,25,constant,38,auto,17,19,nnClassifier,9,10,adam,distance,0.5264150943396226,318.77018074900843
relu,auto,17,gini,1,1,29,constant,74,auto,14,18,nnClassifier,10,9,adam,distance,0.5018867924528302,318.77020970894955
relu,auto,16,gini,1,1,34,constant,46,auto,17,19,nnClassifier,8,10,adam,distance,0.5188679245283019,576.5270566109102
relu,auto,27,gini,1,1,30,constant,47,auto,11,19,nnClassifier,8,9,adam,distance,0.5188679245283019,576.5271040408406
relu,auto,18,gini,1,1,22,constant,54,auto,15,11,nnClassifier,6,6,adam,distance,0.5471698113207547,576.5271351500414
relu,auto,28,gini,1,1,20,constant,57,auto,17,17,nnClassifier,9,10,adam,distance,0.5188679245283019,576.5271656799596
relu,auto,27,gini,1,1,33,constant,79,auto,17,29,nnClassifier,6,7,adam,distance,0.5226415094339623,576.5271960790269
relu,auto,17,gini,1,1,12,constant,65,auto,15,22,nnClassifier,8,9,adam,distance,0.5245283018867924,576.52722613886
relu,auto,31,gini,1,1,25,constant,61,auto,19,19,nnClassifier,9,10,adam,distance,0.5245283018867924,576.5272566578351
relu,auto,21,gini,1,1,27,constant,20,auto,17,20,nnClassifier,4,4,adam,distance,0.5245283018867924,576.5272866678424
relu,auto,28,gini,1,1,27,constant,31,auto,17,22,nnClassifier,10,4,adam,distance,0.5132075471698113,576.527331297053
relu,auto,26,gini,1,1,16,constant,52,auto,16,15,nnClassifier,5,9,adam,distance,0.5264150943396226,576.5273616369814
relu,auto,20,gini,1,1,19,constant,58,auto,18,21,nnClassifier,7,9,adam,distance,0.5188679245283019,576.5273916260339
relu,auto,27,gini,1,1,23,constant,69,auto,17,25,nnClassifier,10,10,adam,distance,0.5264150943396226,576.5274214758538
relu,auto,27,gini,1,1,30,constant,57,auto,17,20,nnClassifier,9,9,adam,distance,0.5188679245283019,576.5274513249751
relu,auto,28,gini,1,1,29,constant,53,auto,17,26,nnClassifier,8,9,adam,distance,0.5188679245283019,576.5274897839408
relu,auto,29,gini,1,1,31,constant,46,auto,13,12,nnClassifier,8,9,adam,distance,0.5226415094339623,576.527519763913
relu,auto,28,gini,1,1,27,constant,20,auto,17,20,nnClassifier,9,9,adam,distance,0.5150943396226415,576.5275495329406
relu,auto,29,gini,1,1,31,constant,57,auto,17,20,nnClassifier,10,10,adam,distance,0.5188679245283019,576.5275791829918
relu,auto,19,gini,1,1,30,constant,10,auto,12,18,nnClassifier,4,4,adam,distance,0.5377358490566038,576.5276089629624
relu,auto,26,gini,1,1,29,constant,42,auto,19,16,nnClassifier,8,7,adam,distance,0.5226415094339623,576.5276386118494
relu,auto,21,gini,1,1,31,constant,71,auto,14,21,nnClassifier,7,7,adam,distance,0.5245283018867924,576.5276682218537
relu,auto,20,gini,1,1,30,constant,42,auto,16,23,nnClassifier,10,9,adam,distance,0.5150943396226415,829.9667030340061
relu,auto,27,gini,1,1,29,constant,43,auto,7,15,nnClassifier,9,7,adam,distance,0.5132075471698113,829.9667557929642
relu,auto,14,gini,1,1,18,constant,52,auto,12,15,nnClassifier,2,6,adam,distance,0.5264150943396226,829.9667872230057
relu,auto,27,gini,1,1,16,constant,60,auto,17,20,nnClassifier,10,8,adam,distance,0.5150943396226415,829.9668179720175
relu,auto,27,gini,1,1,37,constant,75,auto,13,32,nnClassifier,4,10,adam,distance,0.5037735849056604,829.9668479820248
relu,auto,13,gini,1,1,16,constant,65,auto,14,18,nnClassifier,10,8,adam,distance,0.5150943396226415,829.9668783708476
relu,auto,27,gini,1,1,29,constant,62,auto,17,21,nnClassifier,10,10,adam,distance,0.5245283018867924,829.966907680966
relu,auto,21,gini,1,1,24,constant,21,auto,14,20,nnClassifier,8,8,adam,distance,0.5339622641509434,829.9669376099482
relu,auto,30,gini,1,1,25,constant,27,auto,13,19,nnClassifier,8,2,adam,distance,0.5075471698113208,829.9669672900345
relu,auto,30,gini,1,1,20,constant,50,auto,18,11,nnClassifier,4,9,adam,distance,0.5415094339622641,829.9669970788527
relu,auto,24,gini,1,1,22,constant,56,auto,19,21,nnClassifier,10,8,adam,distance,0.5264150943396226,829.9670265088789
relu,auto,27,gini,1,1,23,constant,68,auto,17,28,nnClassifier,9,9,adam,distance,0.5264150943396226,829.9670564478729
relu,auto,27,gini,1,1,30,constant,57,auto,17,20,nnClassifier,9,9,adam,distance,0.5188679245283019,829.9670859579928
relu,auto,26,gini,1,1,31,constant,49,auto,17,23,nnClassifier,7,10,adam,distance,0.5226415094339623,829.9671153968666
relu,auto,27,gini,1,1,28,constant,50,auto,12,8,nnClassifier,5,9,adam,distance,0.5150943396226415,829.9671449868474
relu,auto,27,gini,1,1,26,constant,24,auto,17,20,nnClassifier,9,9,adam,distance,0.5150943396226415,829.9671745358501
relu,auto,30,gini,1,1,29,constant,59,auto,17,20,nnClassifier,10,8,adam,distance,0.5245283018867924,829.9672039358411
relu,auto,17,gini,1,1,30,constant,14,auto,9,19,nnClassifier,8,8,adam,distance,0.5320754716981132,829.9672335649375
relu,auto,28,gini,1,1,26,constant,44,auto,18,15,nnClassifier,9,8,adam,distance,0.5150943396226415,829.96726316493
relu,auto,24,gini,1,1,31,constant,67,auto,18,19,nnClassifier,9,6,adam,distance,0.5358490566037736,829.9672926838975
