activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,10,gini,1,1,6,invscaling,25,auto,16,28,nnClassifier,5,8,sgd,distance,0,59.607589970109984
logistic,ball_tree,21,gini,1,1,34,invscaling,49,sqrt,16,34,nnClassifier,7,7,sgd,uniform,0.5584905660377358,59.607618319103494
identity,ball_tree,25,gini,1,1,21,invscaling,41,sqrt,14,29,randomForestClassifier,2,6,sgd,distance,0.9056603773584906,59.60764768905938
identity,auto,19,entropy,1,1,7,invscaling,92,sqrt,12,17,nnClassifier,1,7,adam,distance,0,59.60767738893628
tanh,kd_tree,15,entropy,1,1,16,invscaling,74,sqrt,8,26,randomForestClassifier,6,8,adam,uniform,0,59.60770587902516
identity,kd_tree,25,gini,1,1,21,invscaling,7,auto,7,33,kneighborsClassifier,5,8,sgd,distance,0,59.60773417796008
relu,kd_tree,14,gini,1,1,15,constant,85,auto,14,36,kneighborsClassifier,2,8,sgd,uniform,0.6773584905660377,59.60776242800057
relu,auto,21,gini,1,1,25,constant,27,auto,11,29,nnClassifier,2,9,adam,distance,0.8924528301886793,177.87063285312615
relu,auto,17,gini,1,1,12,constant,79,auto,12,32,nnClassifier,1,9,adam,distance,0.9075471698113208,177.8706784620881
relu,auto,17,gini,1,1,22,constant,27,auto,15,37,nnClassifier,1,8,adam,distance,0.5113207547169811,177.87070958106779
relu,auto,19,gini,1,1,20,constant,84,auto,13,35,nnClassifier,1,8,adam,distance,0.9075471698113208,177.87074031098746
relu,auto,18,gini,1,1,27,constant,65,auto,15,27,nnClassifier,1,10,adam,distance,0.5037735849056604,177.87077079107985
relu,auto,19,gini,1,1,20,constant,29,auto,12,26,nnClassifier,1,9,adam,distance,0.8905660377358491,177.8708011400886
relu,auto,23,gini,1,1,12,constant,45,auto,12,36,nnClassifier,1,6,adam,distance,0.8943396226415095,177.87083088001236
relu,auto,19,gini,1,1,21,constant,87,auto,19,37,nnClassifier,1,7,adam,distance,0.9018867924528302,177.8708605589345
relu,auto,16,gini,1,1,16,constant,30,auto,12,31,nnClassifier,1,8,adam,distance,0.9075471698113208,177.8708903689403
relu,auto,18,gini,1,1,20,constant,84,auto,11,35,nnClassifier,6,7,adam,distance,0.8943396226415095,177.87092000804842
relu,auto,22,gini,1,1,12,constant,62,auto,9,34,nnClassifier,1,8,adam,distance,0.8849056603773585,177.87096060812473
relu,auto,20,gini,1,1,21,constant,26,auto,8,33,nnClassifier,1,7,adam,distance,0.8924528301886793,177.87099105701782
relu,auto,24,gini,1,1,18,constant,89,auto,9,30,nnClassifier,1,8,adam,distance,0.8924528301886793,177.87102088704705
relu,auto,14,gini,1,1,10,constant,29,auto,12,32,nnClassifier,1,8,adam,distance,0.5018867924528302,177.8710506160278
relu,auto,17,gini,1,1,30,constant,53,auto,20,35,nnClassifier,4,6,adam,distance,0.5584905660377358,177.8710801259149
relu,auto,23,gini,1,1,20,constant,44,auto,11,26,nnClassifier,3,4,adam,distance,0.9037735849056604,177.8711102050729
relu,auto,19,gini,1,1,11,constant,88,auto,16,21,nnClassifier,1,6,adam,distance,0.5320754716981132,177.87113972497173
relu,auto,19,gini,1,1,20,constant,78,auto,11,29,nnClassifier,2,10,adam,distance,0.9056603773584906,177.87116950401105
relu,auto,21,gini,1,1,18,constant,11,auto,11,35,nnClassifier,1,7,adam,distance,0.8924528301886793,177.8711992839817
relu,auto,18,gini,1,1,19,constant,83,auto,11,36,nnClassifier,1,10,adam,distance,0.8905660377358491,177.87122885300778
relu,auto,17,gini,1,1,22,constant,31,auto,7,27,nnClassifier,2,8,adam,distance,0.47924528301886793,312.5380594339222
relu,auto,17,gini,1,1,16,constant,81,auto,16,35,nnClassifier,1,9,adam,distance,0.5584905660377358,312.5381115539931
relu,auto,17,gini,1,1,23,constant,31,auto,12,37,nnClassifier,1,9,adam,distance,0.5584905660377358,312.5381431931164
relu,auto,19,gini,1,1,20,constant,84,auto,13,35,nnClassifier,1,8,adam,distance,0.5584905660377358,312.5381739931181
relu,auto,22,gini,1,1,23,constant,69,auto,11,31,nnClassifier,1,8,adam,distance,0.5584905660377358,312.5382056129165
relu,auto,19,gini,1,1,20,constant,33,auto,10,30,nnClassifier,5,6,adam,distance,0.5584905660377358,312.53823942202143
relu,auto,19,gini,1,1,14,constant,49,auto,8,33,nnClassifier,5,9,adam,distance,0.5584905660377358,312.53827047208324
relu,auto,20,gini,1,1,20,constant,89,auto,15,34,nnClassifier,1,9,adam,distance,0.5584905660377358,312.5383008120116
relu,auto,20,gini,1,1,20,constant,34,auto,14,34,nnClassifier,1,8,adam,distance,0.5584905660377358,312.5383306920994
relu,auto,17,gini,1,1,20,constant,85,auto,11,35,nnClassifier,2,8,adam,distance,0.5283018867924528,312.5383606310934
relu,auto,18,gini,1,1,16,constant,66,auto,13,36,nnClassifier,3,4,adam,distance,0.5584905660377358,312.5383906411007
relu,auto,18,gini,1,1,19,constant,30,auto,12,36,nnClassifier,1,7,adam,distance,0.5584905660377358,312.53842060104944
relu,auto,22,gini,1,1,22,constant,89,auto,12,27,nnClassifier,1,8,adam,distance,0.5584905660377358,312.538450849941
relu,auto,18,gini,1,1,14,constant,33,auto,10,36,nnClassifier,1,8,adam,distance,0.5584905660377358,312.5384806699585
relu,auto,21,gini,1,1,34,constant,57,auto,20,36,nnClassifier,1,6,adam,distance,0.5169811320754717,312.5385105200112
relu,auto,23,gini,1,1,20,constant,48,auto,9,30,nnClassifier,5,6,adam,distance,0.5113207547169811,312.5385402399115
relu,auto,19,gini,1,1,15,constant,84,auto,15,25,nnClassifier,1,7,adam,distance,0.5584905660377358,312.53857030905783
relu,auto,18,gini,1,1,16,constant,76,auto,8,31,nnClassifier,4,9,adam,distance,0.47924528301886793,312.5386001490988
relu,auto,19,gini,1,1,19,constant,15,auto,13,34,nnClassifier,1,7,adam,distance,0.5584905660377358,312.5386305889115
relu,auto,18,gini,1,1,16,constant,84,auto,13,35,nnClassifier,1,7,adam,distance,0.5584905660377358,312.53866037912667
relu,auto,21,gini,1,1,26,constant,35,auto,11,26,nnClassifier,6,8,adam,distance,0.4811320754716981,459.54890539101325
relu,auto,13,gini,1,1,12,constant,77,auto,13,36,nnClassifier,1,8,adam,distance,0.5584905660377358,459.54896943992935
relu,auto,19,gini,1,1,22,constant,35,auto,13,37,nnClassifier,1,6,adam,distance,0.5584905660377358,459.54900172003545
relu,auto,19,gini,1,1,20,constant,84,auto,13,35,nnClassifier,1,8,adam,distance,0.5584905660377358,459.5490323000122
relu,auto,18,gini,1,1,19,constant,68,auto,13,30,nnClassifier,1,10,adam,distance,0.5584905660377358,459.5490624499507
relu,auto,19,gini,1,1,20,constant,37,auto,14,26,nnClassifier,4,7,adam,distance,0.5188679245283019,459.5490925889462
relu,auto,23,gini,1,1,18,constant,45,auto,7,35,nnClassifier,1,5,adam,distance,0.5188679245283019,459.54912296892144
relu,auto,19,gini,1,1,21,constant,85,auto,16,33,nnClassifier,1,8,adam,distance,0.5584905660377358,459.54915303899907
relu,auto,22,gini,1,1,16,constant,38,auto,13,33,nnClassifier,1,8,adam,distance,0.5584905660377358,459.549193427898
relu,auto,21,gini,1,1,20,constant,84,auto,15,35,nnClassifier,6,6,adam,distance,0.4811320754716981,459.5492240379099
relu,auto,21,gini,1,1,15,constant,70,auto,11,32,nnClassifier,3,6,adam,distance,0.5264150943396226,459.549254237907
relu,auto,18,gini,1,1,19,constant,34,auto,8,36,nnClassifier,1,8,adam,distance,0.5584905660377358,459.54928413708694
relu,auto,21,gini,1,1,23,constant,85,auto,8,27,nnClassifier,1,8,adam,distance,0.5584905660377358,459.5493143070489
relu,auto,19,gini,1,1,18,constant,37,auto,14,36,nnClassifier,1,8,adam,distance,0.5584905660377358,459.5493447671179
relu,auto,24,gini,1,1,30,constant,54,auto,16,36,nnClassifier,5,7,adam,distance,0.5584905660377358,459.54937494709156
relu,auto,27,gini,1,1,22,constant,52,auto,13,27,nnClassifier,1,10,adam,distance,0.5226415094339623,459.5494049161207
relu,auto,19,gini,1,1,19,constant,86,auto,15,29,nnClassifier,1,8,adam,distance,0.5584905660377358,459.54943483602256
relu,auto,15,gini,1,1,16,constant,80,auto,10,29,nnClassifier,8,6,adam,distance,0.5150943396226415,459.54946513590403
relu,auto,23,gini,1,1,22,constant,19,auto,12,34,nnClassifier,3,8,adam,distance,0.5584905660377358,459.5494951249566
relu,auto,17,gini,1,1,20,constant,85,auto,15,36,nnClassifier,1,7,adam,distance,0.5584905660377358,459.5495247449726
relu,auto,25,gini,1,1,25,constant,39,auto,7,29,nnClassifier,2,8,adam,distance,0.5245283018867924,628.331508398056
relu,auto,17,gini,1,1,8,constant,77,auto,13,33,nnClassifier,1,8,adam,distance,0.5584905660377358,628.3315536379814
relu,auto,16,gini,1,1,20,constant,39,auto,16,33,nnClassifier,1,6,adam,distance,0.5584905660377358,628.3315853879321
relu,auto,19,gini,1,1,20,constant,84,auto,13,35,nnClassifier,1,8,adam,distance,0.5584905660377358,628.331616437994
relu,auto,17,gini,1,1,23,constant,72,auto,14,29,nnClassifier,1,8,adam,distance,0.5584905660377358,628.3316466470715
relu,auto,19,gini,1,1,20,constant,41,auto,17,30,nnClassifier,1,6,adam,distance,0.5207547169811321,628.3316772670951
relu,auto,22,gini,1,1,14,constant,49,auto,11,34,nnClassifier,5,4,adam,distance,0.5584905660377358,628.3317074971274
relu,auto,19,gini,1,1,20,constant,88,auto,12,35,nnClassifier,1,8,adam,distance,0.5584905660377358,628.3317373560276
relu,auto,18,gini,1,1,13,constant,42,auto,12,29,nnClassifier,1,8,adam,distance,0.5584905660377358,628.3317673960701
relu,auto,22,gini,1,1,20,constant,85,auto,13,35,nnClassifier,2,6,adam,distance,0.5245283018867924,628.3317971460056
relu,auto,25,gini,1,1,19,constant,68,auto,7,35,nnClassifier,1,6,adam,distance,0.5283018867924528,628.3318270561285
relu,auto,20,gini,1,1,20,constant,38,auto,5,36,nnClassifier,1,9,adam,distance,0.5584905660377358,628.3318571751006
relu,auto,25,gini,1,1,19,constant,89,auto,4,27,nnClassifier,1,8,adam,distance,0.5584905660377358,628.3318870950025
relu,auto,15,gini,1,1,21,constant,41,auto,13,32,nnClassifier,1,8,adam,distance,0.5584905660377358,628.3319171050098
relu,auto,26,gini,1,1,27,constant,58,auto,19,35,nnClassifier,9,9,adam,distance,0.5207547169811321,628.3319584450219
relu,auto,23,gini,1,1,24,constant,48,auto,12,31,nnClassifier,5,6,adam,distance,0.5584905660377358,628.3319886939134
relu,auto,19,gini,1,1,19,constant,86,auto,14,26,nnClassifier,1,5,adam,distance,0.5584905660377358,628.3320185039192
relu,auto,18,gini,1,1,19,constant,82,auto,10,30,nnClassifier,4,6,adam,distance,0.5113207547169811,628.3320484140422
relu,auto,24,gini,1,1,20,constant,23,auto,12,34,nnClassifier,2,8,adam,distance,0.5113207547169811,628.3320784938987
relu,auto,18,gini,1,1,21,constant,85,auto,13,36,nnClassifier,3,9,adam,distance,0.5584905660377358,628.3321084429044
