activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,16,mae,1,0,1,0,1,1,0,1,1,0,0,1,26,adaptive,92,sqrt,8,10,nnRegressor,6,8,adam,uniform,0.9999091983460768
identity,ball_tree,12,poisson,0,0,1,0,0,0,0,1,1,0,0,1,26,adaptive,92,sqrt,8,10,nnRegressor,6,8,adam,uniform,0.9999999999203192
tanh,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,1,0,1,4,constant,46,auto,8,28,randomForestRegressor,7,10,adam,uniform,0.9999670973178888
identity,kd_tree,9,mse,1,0,1,0,0,0,1,1,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,uniform,0.9999343575990199
identity,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,distance,0.9999342636022583
tanh,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,40,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,distance,0.9999342636022583
tanh,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,uniform,0.9999342636022583
identity,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,40,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,distance,0.9999342636022583
tanh,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,32,adaptive,86,auto,17,2,randomForestRegressor,8,3,sgd,uniform,0.9999342636022583
tanh,ball_tree,17,mae,0,1,1,1,0,1,0,0,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,uniform,0.9999111992676973
relu,ball_tree,16,mae,1,0,1,0,1,1,0,1,1,0,0,1,26,adaptive,92,sqrt,8,10,nnRegressor,6,8,adam,uniform,0.9999091983460768
identity,ball_tree,12,poisson,0,0,1,0,0,0,0,1,0,1,0,1,4,constant,46,auto,8,28,randomForestRegressor,7,10,adam,uniform,0.3717408145115738
tanh,kd_tree,9,poisson,0,0,1,0,0,0,1,1,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,uniform,0.8655141258046322
identity,kd_tree,9,mse,1,0,1,0,0,0,1,1,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,distance,0.9999343575990199
identity,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,40,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,uniform,0.9999342636022583
tanh,kd_tree,9,mse,0,1,1,0,0,0,1,1,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,uniform,0.9999342393386702
tanh,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,40,invscaling,2,auto,14,2,randomForestRegressor,8,9,sgd,distance,0.8904226193911294
identity,kd_tree,9,mse,0,1,1,0,0,0,1,1,0,0,1,0,32,adaptive,86,auto,17,2,randomForestRegressor,8,3,sgd,uniform,0.9999342393386702
tanh,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,0,1,0,32,invscaling,86,auto,16,35,randomForestRegressor,8,9,sgd,uniform,0.9999341875744505
tanh,ball_tree,22,mae,0,1,1,1,0,1,1,0,1,0,0,1,26,adaptive,92,sqrt,8,10,nnRegressor,6,8,adam,uniform,0.9989811646628393
relu,ball_tree,16,mae,1,0,1,0,1,1,0,1,1,0,0,1,26,adaptive,92,log2,8,10,nnRegressor,6,8,adam,uniform,0.9999091983460768
