,feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
87,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,68,log2,10,2,None,None,None,None,0.9679679679679679,ok,151.77152330987155
88,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,98,auto,4,23,None,None,None,None,0.965965965965966,ok,153.36278031696565
89,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,73,log2,8,25,None,None,None,None,0.960960960960961,ok,154.41591101000085
90,0,1,1,nnClassifier,logistic,None,16.0,None,None,adaptive,None,None,None,None,6.0,None,sgd,None,0.9319319319319319,ok,180.20537021383643
91,0,0,1,kneighborsClassifier,None,ball_tree,None,None,21.0,None,None,None,None,None,None,9.0,None,uniform,0.965965965965966,ok,180.26907280180603
92,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,88,auto,6,19,None,None,None,None,0.965965965965966,ok,181.5472715429496
93,0,0,1,randomForestClassifier,None,None,None,gini,None,None,30,sqrt,20,32,None,None,None,None,0.9679679679679679,ok,182.52725140796974
94,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
95,0,0,1,randomForestClassifier,None,None,None,gini,None,None,18,sqrt,19,34,None,None,None,None,0.9679679679679679,ok,183.5334211718291
96,0,1,1,nnClassifier,identity,None,20.0,None,None,constant,None,None,None,None,9.0,None,adam,None,0.934934934934935,ok,187.06622831290588
97,0,0,1,randomForestClassifier,None,None,None,gini,None,None,44,auto,17,30,None,None,None,None,0.9679679679679679,ok,188.04489928297698
98,0,0,1,kneighborsClassifier,None,brute,None,None,9.0,None,None,None,None,None,None,6.0,None,distance,0.950950950950951,ok,188.20981560880318
99,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,7,auto,15,40,None,None,None,None,0.9669669669669669,ok,189.2657509178389
