feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,6,sqrt,8,22,nan,nan,NA,NA,0.9871794871794872,139.84131407737732
0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,nnClassifier,tanh,NA,18,NA,nan,invscaling,nan,NA,nan,nan,8,nan,sgd,NA,0.23626373626373626,158.9301152229309
0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,log2,2,18,nan,nan,NA,NA,0.9908424908424909,164.82160568237305
1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,30,sqrt,17,24,nan,nan,NA,NA,0.9688644688644689,170.70366406440735
1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,10,auto,13,27,nan,nan,NA,NA,0.9908424908424909,176.55625414848328
0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,7,auto,10,37,nan,nan,NA,NA,0.9377289377289377,182.25738167762756
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,43,auto,2,34,nan,nan,NA,NA,0.9340659340659341,188.1100926399231
0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,76,log2,1,13,nan,nan,NA,NA,0.9945054945054945,194.25792813301086
0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,62,log2,18,28,nan,nan,NA,NA,0.9523809523809523,200.44147729873657
1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,9,log2,12,19,nan,nan,NA,NA,0.9853479853479854,206.13944125175476
0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,18,sqrt,4,15,nan,nan,NA,NA,0.9963369963369964,212.41114139556885
0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,96,sqrt,6,19,nan,nan,NA,NA,0.9725274725274725,218.63427877426147
1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,6,sqrt,6,32,nan,nan,NA,NA,0.9835164835164835,224.683411359787
1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,65,auto,7,20,nan,nan,NA,NA,0.9505494505494505,231.13646459579468
0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,50,auto,15,13,nan,nan,NA,NA,0.9413919413919414,237.30016446113586
0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,77,sqrt,4,36,nan,nan,NA,NA,0.9926739926739927,243.1088650226593
0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,16,sqrt,8,13,nan,nan,NA,NA,0.9835164835164835,249.32121515274048
1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,24,sqrt,3,6,nan,nan,NA,NA,0.9761904761904762,255.68152499198914
0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,35,sqrt,11,33,nan,nan,NA,NA,0.9963369963369964,261.8514988422394
0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,62,auto,8,39,nan,nan,NA,NA,0.989010989010989,267.7389543056488
1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,47,sqrt,3,40,nan,nan,NA,NA,0.9706959706959707,273.20590901374817
1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,71,sqrt,2,3,nan,nan,NA,NA,0.9871794871794872,279.0668206214905
1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,60,log2,13,37,nan,nan,NA,NA,0.9908424908424909,285.0705180168152
0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,sqrt,17,19,nan,nan,NA,NA,0.9926739926739927,290.7328495979309
0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,59,sqrt,12,35,nan,nan,NA,NA,0.9633699633699634,296.43165946006775
0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,69,log2,6,28,nan,nan,NA,NA,0.9908424908424909,302.46886444091797
1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,16,sqrt,15,37,nan,nan,NA,NA,0.989010989010989,308.1300985813141
1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,98,log2,7,14,nan,nan,NA,NA,0.9798534798534798,314.43233251571655
0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,58,sqrt,11,3,nan,nan,NA,NA,0.9798534798534798,320.61953926086426
0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,20,sqrt,5,33,nan,nan,NA,NA,0.978021978021978,326.2606101036072
1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,15,sqrt,15,27,nan,nan,NA,NA,0.9743589743589743,332.28488397598267
0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,60,log2,20,21,nan,nan,NA,NA,0.967032967032967,338.52907156944275
1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,2,sqrt,3,10,nan,nan,NA,NA,0.86996336996337,343.7140555381775
0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,37,sqrt,7,2,nan,nan,NA,NA,0.9963369963369964,349.59759402275085
0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,51,sqrt,17,23,nan,nan,NA,NA,0.9871794871794872,356.0716767311096
1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,68,auto,17,20,nan,nan,NA,NA,0.9945054945054945,361.52638006210327
0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,92,log2,11,7,nan,nan,NA,NA,0.9871794871794872,367.31904196739197
0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,74,log2,9,20,nan,nan,NA,NA,0.9853479853479854,373.1418209075928
1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,99,sqrt,3,39,nan,nan,NA,NA,0.9871794871794872,379.0935616493225
0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,25,sqrt,13,30,nan,nan,NA,NA,0.989010989010989,385.24597573280334
