feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,16,auto,3,12,nan,nan,NA,NA,0.9853479853479854,179.80459332466125
0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,55,log2,2,2,nan,nan,NA,NA,0.9725274725274725,186.0082025527954
1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.8553113553113553,190.91668915748596
1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,17,sqrt,4,10,nan,nan,NA,NA,0.9615384615384616,197.04454159736633
1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,62,auto,4,21,nan,nan,NA,NA,0.9725274725274725,203.54939436912537
0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,14,sqrt,1,33,nan,nan,NA,NA,0.967032967032967,209.605783700943
0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,31,log2,7,27,nan,nan,NA,NA,0.9908424908424909,215.1424949169159
1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,83,auto,4,32,nan,nan,NA,NA,0.978021978021978,221.1596131324768
0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,log2,3,27,nan,nan,NA,NA,0.9908424908424909,227.34799027442932
1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,36,sqrt,20,18,nan,nan,NA,NA,0.9816849816849816,233.29849553108215
0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,86,sqrt,1,3,nan,nan,NA,NA,0.9981684981684982,239.66544365882874
1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,53,sqrt,12,9,nan,nan,NA,NA,0.9816849816849816,245.68322277069092
1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,2,auto,2,22,nan,nan,NA,NA,0.8772893772893773,250.87598037719727
1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,11,sqrt,1,23,nan,nan,NA,NA,0.9871794871794872,256.573778629303
0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,7,auto,9,18,nan,nan,NA,NA,0.9816849816849816,262.2811996936798
1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,3,log2,8,17,nan,nan,NA,NA,0.8864468864468864,268.2869510650635
0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,7,sqrt,7,33,nan,nan,NA,NA,0.9908424908424909,274.38764095306396
1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,8,sqrt,16,15,nan,nan,NA,NA,0.9725274725274725,280.5814895629883
0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,log2,1,18,nan,nan,NA,NA,0.9358974358974359,285.75988388061523
0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,48,sqrt,18,4,nan,nan,NA,NA,0.9871794871794872,291.1808822154999
0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,57,sqrt,8,26,nan,nan,NA,NA,0.9816849816849816,297.28176760673523
0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,6,auto,3,18,nan,nan,NA,NA,0.9688644688644689,303.0015780925751
0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,98,log2,20,38,nan,nan,NA,NA,0.9853479853479854,309.0361931324005
1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,sqrt,15,18,nan,nan,NA,NA,0.9597069597069597,314.61676502227783
0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,32,log2,2,38,nan,nan,NA,NA,0.9853479853479854,320.30418586730957
0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,kneighborsClassifier,NA,brute,nan,NA,8,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.847985347985348,325.3284559249878
0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,48,log2,3,33,nan,nan,NA,NA,0.9963369963369964,331.77013182640076
0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,37,auto,2,33,nan,nan,NA,NA,0.9761904761904762,337.85252714157104
1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,86,auto,2,30,nan,nan,NA,NA,0.9743589743589743,344.12577986717224
0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,auto,12,8,nan,nan,NA,NA,0.9413919413919414,349.81730031967163
0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,21,auto,7,30,nan,nan,NA,NA,0.978021978021978,356.16091084480286
0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,76,sqrt,13,10,nan,nan,NA,NA,0.9926739926739927,362.2154188156128
0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,100,log2,19,39,nan,nan,NA,NA,0.9761904761904762,368.2703619003296
1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,auto,7,35,nan,nan,NA,NA,0.9633699633699634,373.942773103714
1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,99,auto,14,3,nan,nan,NA,NA,0.9725274725274725,380.18190455436707
1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,9,log2,14,5,nan,nan,NA,NA,0.9761904761904762,386.5028488636017
0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,68,auto,2,2,nan,nan,NA,NA,0.9963369963369964,393.1821541786194
1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,47,sqrt,1,7,nan,nan,NA,NA,0.9926739926739927,399.62909388542175
1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,8,auto,7,7,nan,nan,NA,NA,0.989010989010989,406.02709889411926
1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,77,log2,1,3,nan,nan,NA,NA,0.9633699633699634,412.8475925922394
0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,20,sqrt,9,37,nan,nan,NA,NA,0.9157509157509157,419.47960567474365
0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,21,log2,4,38,nan,nan,NA,NA,0.967032967032967,425.6482708454132
1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,log2,7,18,nan,nan,NA,NA,0.9139194139194139,431.23158073425293
0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,sqrt,12,4,nan,nan,NA,NA,0.9358974358974359,436.7818372249603
0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,71,log2,2,24,nan,nan,NA,NA,0.9908424908424909,442.921270608902
1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,93,auto,2,21,nan,nan,NA,NA,0.9908424908424909,449.1326377391815
0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,24,log2,6,19,nan,nan,NA,NA,0.9487179487179487,455.0938036441803
0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,34,log2,18,37,nan,nan,NA,NA,0.9908424908424909,460.9941234588623
0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,7,sqrt,4,17,nan,nan,NA,NA,0.9926739926739927,466.81874084472656
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,56,log2,7,34,nan,nan,NA,NA,0.9706959706959707,472.6842129230499
0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,17,auto,6,9,nan,nan,NA,NA,0.989010989010989,478.73079466819763
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,21,log2,16,34,nan,nan,NA,NA,0.9523809523809523,484.2459421157837
1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,41,sqrt,16,13,nan,nan,NA,NA,0.967032967032967,490.27277755737305
0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,79,sqrt,8,35,nan,nan,NA,NA,0.9688644688644689,496.24587392807007
0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,auto,6,17,nan,nan,NA,NA,0.9194139194139194,501.70916223526
1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,61,log2,19,38,nan,nan,NA,NA,0.9816849816849816,507.2768225669861
1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,nnClassifier,tanh,NA,25,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.29120879120879123,523.0742878913879
1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,71,log2,15,16,nan,nan,NA,NA,0.9761904761904762,529.3570218086243
1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,77,sqrt,14,35,nan,nan,NA,NA,0.9230769230769231,535.4070115089417
0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,nnClassifier,logistic,NA,24,NA,nan,constant,nan,NA,nan,nan,4,nan,lbfgs,NA,0.2765567765567766,542.7486038208008
1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,35,auto,5,8,nan,nan,NA,NA,0.9908424908424909,548.6193742752075
0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,kneighborsClassifier,NA,brute,nan,NA,8,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9084249084249084,553.3189861774445
0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,76,sqrt,2,3,nan,nan,NA,NA,0.9926739926739927,559.3452200889587
1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,12,log2,11,35,nan,nan,NA,NA,0.9139194139194139,565.2099766731262
0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,6,auto,13,13,nan,nan,NA,NA,0.9743589743589743,570.5483496189117
0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,89,auto,1,2,nan,nan,NA,NA,0.9835164835164835,576.6041016578674
0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,25,auto,19,6,nan,nan,NA,NA,0.9706959706959707,581.7654359340668
1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,99,auto,6,3,nan,nan,NA,NA,0.9926739926739927,587.1487700939178
0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,6,sqrt,13,33,nan,nan,NA,NA,0.9725274725274725,592.1084749698639
0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,83,log2,6,34,nan,nan,NA,NA,0.9945054945054945,597.652245759964
0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,14,log2,13,7,nan,nan,NA,NA,0.9945054945054945,603.0073516368866
1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,64,log2,6,8,nan,nan,NA,NA,0.9908424908424909,608.7458927631378
0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,78,sqrt,4,8,nan,nan,NA,NA,0.9340659340659341,614.5802512168884
1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,5,auto,17,20,nan,nan,NA,NA,0.9212454212454212,619.841796875
0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,21,sqrt,15,12,nan,nan,NA,NA,0.9926739926739927,625.4574224948883
