activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,12,entropy,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,37,invscaling,9,sqrt,20,35,nnClassifier,4,9,sgd,uniform,0.0
logistic,brute,30,entropy,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,2,invscaling,80,auto,20,39,nnClassifier,7,3,sgd,distance,0.0
identity,brute,28,entropy,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,7,adaptive,32,auto,7,8,nnClassifier,8,1,adam,uniform,0.07818181818181819
relu,auto,17,entropy,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,27,constant,87,auto,18,28,randomForestClassifier,7,2,adam,uniform,0.9527272727272728
relu,brute,19,gini,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,2,invscaling,14,auto,10,18,randomForestClassifier,8,10,lbfgs,distance,0.9472727272727273
relu,brute,12,entropy,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,4,constant,1,sqrt,9,21,kneighborsClassifier,4,2,adam,uniform,0.9836363636363636
logistic,auto,29,entropy,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,18,adaptive,54,auto,13,31,randomForestClassifier,9,5,lbfgs,uniform,0.9290909090909091
tanh,kd_tree,20,gini,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,28,adaptive,100,log2,7,17,randomForestClassifier,3,10,sgd,distance,0.9490909090909091
identity,brute,18,entropy,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,25,adaptive,81,log2,12,37,randomForestClassifier,3,10,lbfgs,uniform,0.9581818181818181
identity,brute,14,gini,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,18,invscaling,97,sqrt,8,17,randomForestClassifier,9,3,lbfgs,uniform,0.96
identity,auto,29,gini,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,5,adaptive,46,auto,7,26,randomForestClassifier,4,3,adam,uniform,0.9636363636363636
relu,brute,31,gini,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,15,adaptive,7,auto,20,22,kneighborsClassifier,5,3,adam,uniform,0.9890909090909091
relu,ball_tree,9,entropy,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,22,adaptive,49,log2,16,27,kneighborsClassifier,8,7,adam,distance,0.9890909090909091
